CODCARPR,TIPO_CARRERA,JORNADA_MAT,VERSION,CODIGO_SIES_FINAL,CONFIANZA,NOTAS,CODIGO_UNICO,NOMBRE_CARRERA,TIPO_PLAN_CARRERA,DURACION_ESTUDIOS,DURACION_TOTAL,MODALIDAD,JORNADA_OF,COD_SEDE,NOMBRE_SEDE,VIGENCIA,tp_esperado_src,tp_match,jornada_da_num,jornada_consistente
ADMP,ADMINISTRACION PUBLICA,O,V1,I162S2C83J4V1,95%,Mapeo online,I162S2C83J4V1,ADMINISTRACION PUBLICA,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
ADMP,ADMINISTRACION PUBLICA,O,V2,I162S2C83J4V2,95%,Mapeo online,I162S2C83J4V2,ADMINISTRACION PUBLICA,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,1,False,4,True
AUDT,AUDITORIA,O,V1,I162S2C86J4V1,95%,Mapeo online,I162S2C86J4V1,AUDITORIA,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1,1,True,4,True
AUDT,AUDITORIA,O,V2,I162S2C86J4V2,95%,Mapeo online,I162S2C86J4V2,AUDITORIA,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,1,False,4,True
CADMP,CONTINUIDAD ADMINISTRACION PUBLICA,O,V2,I162S2C83J4V2,95%,Mapeo online,I162S2C83J4V2,ADMINISTRACION PUBLICA,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,3,True,4,True
CAUDT,CONTINUIDAD AUDITORIA,O,V2,I162S2C86J4V2,95%,Mapeo online,I162S2C86J4V2,AUDITORIA,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,3,True,4,True
CIACI,CONTINUIDAD INGENIERIA AUTOMATIZACION Y CONTROL INDUSTRIAL,O,V2,I162S2C22J4V2,95%,Mapeo online,I162S2C22J4V2,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,3,True,4,True
CIADM,CONTINUIDAD INGENIERIA ADMINISTRACION DE EMPRESAS,O,V2,I162S2C76J4V2,95%,Mapeo online,I162S2C76J4V2,INGENIERIA EN ADMINISTRACION DE EMPRESAS,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,3,True,4,True
CICDA,CONTINUIDAD INGENIERIA CIENCIA DE DATOS,O,V2,I162S2C88J4V2,95%,Mapeo online,I162S2C88J4V2,INGENIERIA EN CIENCIA DE DATOS,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,3,True,4,True
CICIB,CONTINUIDAD INGENIERIA CIBERSEGURIDAD,O,V1,I162S2C46J4V1,95%,Mapeo online,I162S2C46J4V1,INGENIERIA EN CIBERSEGURIDAD,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,3,True,4,True
CICIB,CONTINUIDAD INGENIERIA CIBERSEGURIDAD,V,V3,I162S2C46J2V3,100%,Mapeo oficial,I162S2C46J2V3,INGENIERIA EN CIBERSEGURIDAD,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,3,True,2,True
CICRE,CONTINUIDAD INGENIERIA CONECTIVIDAD Y REDES,O,V3,I162S2C3J4V3,95%,Mapeo online,I162S2C3J4V3,INGENIERIA EN CONECTIVIDAD Y REDES,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,3,True,4,True
CICRE,CONTINUIDAD INGENIERIA CONECTIVIDAD Y REDES,V,V3,I162S2C3J2V3,100%,Mapeo oficial,I162S2C3J2V3,INGENIERIA EN CONECTIVIDAD Y REDES,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1,3,True,2,True
CIFIN,CONTINUIDAD INGENIERIA FINANZAS,O,V2,I162S2C111J4V2,95%,Mapeo online,I162S2C111J4V2,INGENIERIA EN FINANZAS,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1,3,True,4,True
