CODIGO_CARRERA_SIES_FINAL	DURACION_ESTUDIOS_REF	filas
I162S2C57J4V1	5	328
I162S2C46J4V3	8	253
I162S2C1J4V2	8	238
I162S2C3J4V2	8	150
I162S2C47J4V1	5	135
I162S2C76J4V1	8	135
I162S2C3J4V3	4	115
I162S2C83J4V1	8	104
I162S2C46J4V1	4	96
I162S2C77J4V1	8	94
I162S2C1J4V3	4	77
I162S2C78J4V1	5	76
I162S2C79J4V1	5	74
I162S2C91J2V1	5	72
I162S2C86J4V1	8	63
I162S2C6J4V2	5	62
I162S2C87J4V2	8	46
I162S2C88J4V1	8	45
I162S2C46J2V1	8	41
I162S2C85J4V1	5	39
I162S2C22J4V2	4	38
I162S2C91J1V1	5	37
I162S2C1J1V2	8	30
I162S2C57J2V1	5	25
I162S2C46J1V1	8	24
I162S2C57J1V1	5	23
I162S2C79J2V1	5	22
I162S2C89J4V1	5	22
I162S2C84J4V1	5	20
I162S2C76J2V1	8	18
I162S2C77J4V2	4	17
I162S2C76J4V2	4	16
I162S2C77J2V1	8	14
I162S2C47J2V1	5	13
I162S2C47J1V1	5	11
I162S2C78J2V1	5	10
I162S2C112J4V1	8	1
I162S2C3J2V3	4	1
I162S2C46J2V3	4	1
I162S2C76J1V1	8	1
