CODCLI,CODCARPR_NORM,NOMBRE_CARRERA_FUENTE,JORNADA_FUENTE,MODALIDAD,JOR,VERSION,CODIGO_CARRERA_SIES_FINAL,SIES_RESOLUCION_HEURISTICA,SIES_CONFIANZA_POST,DURACION_ESTUDIOS_REF,ESTADO_CARGA_PREGRADO,CODIGOS_SIES_POTENCIALES,SIES_MATCH_DIAG,COD_CAR_FINAL_SIES
20251IINF129,IINF,INGENIERIA EN INFORMATICA,D,1,1,2,I162S2C1J1V2,REGLA_TIPO_PLAN_JORNADA,95%,8,OK_CARGA_PREGRADO,I162S2C1J1V2 | I162S2C1J2V1 | I162S2C1J2V2 | I162S2C1J2V3 | I162S2C1J2V4,MATCH_SIES_AMBIGUO,1
20253ADMP009,ADMP,ADMINISTRACION PUBLICA,O,3,4,1,I162S2C83J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C83J4V1 | I162S2C83J4V2,MATCH_SIES_AMBIGUO,83
20251AUDT047,AUDT,AUDITORIA,O,3,4,1,I162S2C86J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C86J4V1 | I162S2C86J4V2,MATCH_SIES_AMBIGUO,86
20241ICIB128,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20251CIIND022,CIIND,CONTINUIDAD INGENIERIA INDUSTRIAL,O,3,4,2,I162S2C22J4V2,REGLA_TIPO_PLAN_JORNADA,95%,4,OK_CARGA_PREGRADO,I162S2C22J2V2 | I162S2C22J4V2,MATCH_SIES_AMBIGUO,22
20251ICIB003,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20253IIND010,IIND,INGENIERIA INDUSTRIAL,O,3,4,2,I162S2C87J4V2,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C87J4V1 | I162S2C87J4V2,MATCH_SIES_AMBIGUO,87
20252IADM004,IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,O,3,4,1,I162S2C76J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C76J4V1 | I162S2C76J4V2,MATCH_SIES_AMBIGUO,76
20241ICIB189,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20251ICDA038,ICDA,INGENIERIA EN CIENCIA DE DATOS,O,3,4,1,I162S2C88J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C88J4V1 | I162S2C88J4V2,MATCH_SIES_AMBIGUO,88
20241ICIB192,ICIB,INGENIERIA EN CIBERSEGURIDAD,D,1,1,1,I162S2C46J1V1,REGLA_TIPO_PLAN_JORNADA,95%,8,OK_CARGA_PREGRADO,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V3,MATCH_SIES_AMBIGUO,46
20252ICIB025,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20251AUDT025,AUDT,AUDITORIA,O,3,4,1,I162S2C86J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C86J4V1 | I162S2C86J4V2,MATCH_SIES_AMBIGUO,86
20253ICIB017,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20251ADMP086,ADMP,ADMINISTRACION PUBLICA,O,3,4,1,I162S2C83J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C83J4V1 | I162S2C83J4V2,MATCH_SIES_AMBIGUO,83
20251ICDA006,ICDA,INGENIERIA EN CIENCIA DE DATOS,O,3,4,1,I162S2C88J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C88J4V1 | I162S2C88J4V2,MATCH_SIES_AMBIGUO,88
20251TENS099,TENS,TECNICO EN ENFERMERIA,D,1,1,1,I162S2C91J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,OK_CARGA_PREGRADO,I162S2C91J1V1 | I162S2C91J2V1,MATCH_SIES_AMBIGUO,91
20241ICIB047,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20251IADM021,IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,O,3,4,1,I162S2C76J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C76J4V1 | I162S2C76J4V2,MATCH_SIES_AMBIGUO,76
20252IIND018,IIND,INGENIERIA INDUSTRIAL,O,3,4,2,I162S2C87J4V2,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C87J4V1 | I162S2C87J4V2,MATCH_SIES_AMBIGUO,87
20231IECSREOL025,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,95%,8,OK_CARGA_PREGRADO,I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3,MATCH_SIES_AMBIGUO,46
20251ADMP083,ADMP,ADMINISTRACION PUBLICA,O,3,4,1,I162S2C83J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C83J4V1 | I162S2C83J4V2,MATCH_SIES_AMBIGUO,83
20251TENS119,TENS,TECNICO EN ENFERMERIA,D,1,1,1,I162S2C91J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,OK_CARGA_PREGRADO,I162S2C91J1V1 | I162S2C91J2V1,MATCH_SIES_AMBIGUO,91
20251IINF115,IINF,INGENIERIA EN INFORMATICA,D,1,1,2,I162S2C1J1V2,REGLA_TIPO_PLAN_JORNADA,95%,8,OK_CARGA_PREGRADO,I162S2C1J1V2 | I162S2C1J2V1 | I162S2C1J2V2 | I162S2C1J2V3 | I162S2C1J2V4,MATCH_SIES_AMBIGUO,1
20251AUDT018,AUDT,AUDITORIA,O,3,4,1,I162S2C86J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C86J4V1 | I162S2C86J4V2,MATCH_SIES_AMBIGUO,86
20251AUDT018,AUDT,AUDITORIA,O,3,4,1,I162S2C86J4V1,REGLA_TIPO_PLAN,95%,8,EXCLUIDO_DUPLICADO_INTRA_CODCLI,I162S2C86J4V1 | I162S2C86J4V2,MATCH_SIES_AMBIGUO,86
20251TCIB032,TCIB,TECNICO EN CIBERSEGURIDAD,D,1,1,1,I162S2C47J1V1,REGLA_TIPO_PLAN_JORNADA,95%,5,OK_CARGA_PREGRADO,I162S2C47J1V1 | I162S2C47J2V1,MATCH_SIES_AMBIGUO,47
20251IADM040,IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,O,3,4,1,I162S2C76J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C76J4V1 | I162S2C76J4V2,MATCH_SIES_AMBIGUO,76
20251IADM029,IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,O,3,4,1,I162S2C76J4V1,REGLA_TIPO_PLAN,95%,8,OK_CARGA_PREGRADO,I162S2C76J4V1 | I162S2C76J4V2,MATCH_SIES_AMBIGUO,76
