COD_CAR,MODALIDAD,JOR,VERSION,NIV_ACA,n_stage
1,1,1,2,1,7
1,1,1,2,2,11
1,1,1,2,3,2
1,1,1,2,4,4
1,1,1,2,5,2
1,1,1,2,6,4
1,3,4,2,1,88
1,3,4,2,2,37
1,3,4,2,3,30
1,3,4,2,4,22
1,3,4,2,5,12
1,3,4,2,6,18
1,3,4,2,7,3
1,3,4,2,8,28
1,3,4,3,1,19
1,3,4,3,2,21
1,3,4,3,3,12
1,3,4,3,4,25
112,3,4,1,2,1
22,3,4,2,1,22
22,3,4,2,2,9
22,3,4,2,3,7
3,1,2,3,1,1
3,3,4,2,1,31
3,3,4,2,2,11
3,3,4,2,3,16
3,3,4,2,4,20
3,3,4,2,5,10
3,3,4,2,6,15
3,3,4,2,7,9
3,3,4,2,8,38
3,3,4,3,1,34
3,3,4,3,2,21
3,3,4,3,3,17
3,3,4,3,4,43
46,1,1,1,1,2
46,1,1,1,2,8
46,1,1,1,3,8
46,1,1,1,4,1
46,1,1,1,5,2
46,1,1,1,6,3
46,1,2,1,1,8
46,1,2,1,2,2
46,1,2,1,3,4
46,1,2,1,4,4
46,1,2,1,5,4
46,1,2,1,6,5
46,1,2,1,8,14
46,1,2,3,2,1
46,3,4,1,1,28
46,3,4,1,2,17
46,3,4,1,3,12
46,3,4,1,4,39
46,3,4,3,1,81
46,3,4,3,2,28
46,3,4,3,3,36
46,3,4,3,4,8
46,3,4,3,5,13
46,3,4,3,6,10
46,3,4,3,7,12
46,3,4,3,8,65
47,1,1,1,1,2
47,1,1,1,2,3
47,1,1,1,3,3
47,1,1,1,4,2
47,1,1,1,5,1
47,1,2,1,1,2
47,1,2,1,2,1
47,1,2,1,3,5
47,1,2,1,5,5
47,3,4,1,1,41
47,3,4,1,2,16
47,3,4,1,3,14
47,3,4,1,4,11
47,3,4,1,5,53
57,1,1,1,1,9
57,1,1,1,2,2
57,1,1,1,3,5
57,1,1,1,5,7
57,1,2,1,1,6
57,1,2,1,2,3
57,1,2,1,3,4
57,1,2,1,4,1
57,1,2,1,5,11
57,3,4,1,1,78
57,3,4,1,2,47
57,3,4,1,3,41
57,3,4,1,4,31
57,3,4,1,5,131
6,3,4,2,1,23
6,3,4,2,2,9
6,3,4,2,3,7
6,3,4,2,4,4
6,3,4,2,5,19
76,1,1,1,1,1
76,1,2,1,1,11
76,1,2,1,2,1
76,1,2,1,3,6
76,3,4,1,1,91
76,3,4,1,2,23
76,3,4,1,3,17
76,3,4,1,4,1
76,3,4,1,5,1
76,3,4,1,6,2
76,3,4,2,1,7
76,3,4,2,2,4
76,3,4,2,3,5
77,1,2,1,1,9
77,1,2,1,2,2
77,1,2,1,3,2
77,1,2,1,4,1
77,3,4,1,1,67
77,3,4,1,2,13
77,3,4,1,3,8
77,3,4,1,4,2
77,3,4,1,5,2
77,3,4,1,6,2
77,3,4,2,1,8
77,3,4,2,2,5
77,3,4,2,3,4
78,1,2,1,1,4
78,1,2,1,2,4
78,1,2,1,3,2
78,3,4,1,1,51
78,3,4,1,2,9
78,3,4,1,3,9
78,3,4,1,4,3
78,3,4,1,5,4
79,1,2,1,1,11
79,1,2,1,2,4
79,1,2,1,3,3
79,1,2,1,4,2
79,1,2,1,5,2
79,3,4,1,1,40
79,3,4,1,2,16
79,3,4,1,3,12
79,3,4,1,4,4
79,3,4,1,5,2
83,3,4,1,1,83
83,3,4,1,2,14
83,3,4,1,3,7
84,3,4,1,1,16
84,3,4,1,2,2
84,3,4,1,3,2
85,3,4,1,1,28
85,3,4,1,2,8
85,3,4,1,3,3
86,3,4,1,1,37
86,3,4,1,2,17
86,3,4,1,3,9
87,3,4,2,1,40
87,3,4,2,2,6
88,3,4,1,1,25
88,3,4,1,2,13
88,3,4,1,3,7
89,3,4,1,1,10
89,3,4,1,2,2
89,3,4,1,3,10
91,1,1,1,1,17
91,1,1,1,2,14
91,1,1,1,3,6
91,1,2,1,1,50
91,1,2,1,2,14
91,1,2,1,3,8
