LETRA	COLUMNA	DICTAMEN	FILAS_OK	FILAS_MU32	FILAS_CSV	CONTRATO_OK	BRIDGE_MATCH_PCT	BRIDGE_MISSING_CODCLI	BRIDGE_AMBIGUOUS	MISMATCH_CRUDO	MISMATCH_AFECTA_DICTAMEN	OBSERVACION_MISMATCH	MU32_VS_CSV_POSICIONAL	DICTAMEN_RAZONES
A	TIPO_DOC	OK	2587	2587	2587	SI	100.0	0	0	0	NO	Sin diferencias detectadas.	SI	Contrato OK; Puente CODCLI completo
B	N_DOC	OK	2587	2587	2587	SI	100.0	0	0	0	NO	Sin diferencias detectadas.	SI	Contrato OK; Puente CODCLI completo
C	DV	OK	2587	2587	2587	SI	100.0	0	0	0	NO	Sin diferencias detectadas.	SI	Contrato DV OK; Validado por CODCLI/NDV/alineación de salida
D	PRIMER_APELLIDO	OK	2587	2587	2587	SI	100.0	0	0	0	NO	Sin diferencias detectadas.	SI	Contrato OK; Puente CODCLI completo
E	SEGUNDO_APELLIDO	OK	2587	2587	2587	SI	100.0	0	0	0	NO	Sin diferencias detectadas.	SI	Contrato OK; Puente CODCLI completo
F	NOMBRE	OK	2587	2587	2587	SI	100.0	0	0	0	NO	Sin diferencias detectadas.	SI	Contrato OK; Puente CODCLI completo
G	SEXO	OK	2587	2587	2587	SI	100.0	0	0	0	NO	Sin diferencias detectadas.	SI	Contrato OK; Puente CODCLI completo
H	FECH_NAC	OK	2587	2587	2587	SI	100.0	0	0	0	NO	Sin diferencias detectadas.	SI	Contrato OK; Puente CODCLI completo
I	NAC	OK	2587	2587	2587	SI	100.0	0	0	0	NO	Sin diferencias detectadas.	SI	Contrato OK; Puente CODCLI completo
J	PAIS_EST_SEC	OK	2587	2587	2587	SI	100.0	0	0	0	NO	Sin diferencias detectadas.	SI	Contrato OK; Puente CODCLI completo
K	COD_SED	OK	2587	2587	2587	SI	100.0	0	0	0	NO	Sin diferencias detectadas.	SI	Contrato OK; Puente CODCLI completo
L	COD_CAR	OK	2587	2587	2587	SI	100.0	0	0	86	NO	Las 86 diferencias provienen del merge por clave parcial (TIPO_DOC+N_DOC+DV) que genera expansion many-to-many en estudiantes multi-carrera. Resuelto por puente CODCLI completo (bridge_missing_codcli=0).	SI	Contrato OK; Puente CODCLI completo
M	MODALIDAD	OK	2587	2587	2587	SI	100.0	0	0	4	NO	Las 4 diferencias provienen del merge por clave parcial (TIPO_DOC+N_DOC+DV) que genera expansion many-to-many en estudiantes multi-carrera. Resuelto por puente CODCLI completo (bridge_missing_codcli=0).	SI	Contrato OK; Puente CODCLI completo
N	JOR	OK	2587	2587	2587	SI	100.0	0	0	6	NO	Las 6 diferencias provienen del merge por clave parcial (TIPO_DOC+N_DOC+DV) que genera expansion many-to-many en estudiantes multi-carrera. Resuelto por puente CODCLI completo (bridge_missing_codcli=0).	SI	Contrato OK; Puente CODCLI completo
O	VERSION	OK	2587	2587	2587	SI	100.0	0	0	66	NO	Las 66 diferencias provienen del merge por clave parcial (TIPO_DOC+N_DOC+DV) que genera expansion many-to-many en estudiantes multi-carrera. Resuelto por puente CODCLI completo (bridge_missing_codcli=0).	SI	Contrato OK; Puente CODCLI completo
P	FOR_ING_ACT	OK	2587	2587	2587	SI	100.0	0	0	0	NO	Sin diferencias detectadas.	SI	Contrato OK; Puente CODCLI completo
Q	ANIO_ING_ACT	OK	2587	2587	2587	SI	100.0	0	0	64	NO	Las 64 diferencias provienen del merge por clave parcial (TIPO_DOC+N_DOC+DV) que genera expansion many-to-many en estudiantes multi-carrera. Resuelto por puente CODCLI completo (bridge_missing_codcli=0).	SI	Contrato OK; Puente CODCLI completo
R	SEM_ING_ACT	OK	2587	2587	2587	SI	100.0	0	0	20	NO	Las 20 diferencias provienen del merge por clave parcial (TIPO_DOC+N_DOC+DV) que genera expansion many-to-many en estudiantes multi-carrera. Resuelto por puente CODCLI completo (bridge_missing_codcli=0).	SI	Contrato OK; Puente CODCLI completo
S	ANIO_ING_ORI	OK	2587	2587	2587	SI	100.0	0	0	64	NO	Las 64 diferencias provienen del merge por clave parcial (TIPO_DOC+N_DOC+DV) que genera expansion many-to-many en estudiantes multi-carrera. Resuelto por puente CODCLI completo (bridge_missing_codcli=0).	SI	Contrato OK; Puente CODCLI completo
T	SEM_ING_ORI	OK	2587	2587	2587	SI	100.0	0	0	20	NO	Las 20 diferencias provienen del merge por clave parcial (TIPO_DOC+N_DOC+DV) que genera expansion many-to-many en estudiantes multi-carrera. Resuelto por puente CODCLI completo (bridge_missing_codcli=0).	SI	Contrato OK; Puente CODCLI completo
U	ASI_INS_ANT	OK	2587	2587	2587	SI	100.0	0	0	64	NO	Las 64 diferencias provienen del merge por clave parcial (TIPO_DOC+N_DOC+DV) que genera expansion many-to-many en estudiantes multi-carrera. Resuelto por puente CODCLI completo (bridge_missing_codcli=0).	SI	Contrato OK; Puente CODCLI completo
V	ASI_APR_ANT	OK	2587	2587	2587	SI	100.0	0	0	82	NO	Las 82 diferencias provienen del merge por clave parcial (TIPO_DOC+N_DOC+DV) que genera expansion many-to-many en estudiantes multi-carrera. Resuelto por puente CODCLI completo (bridge_missing_codcli=0).	SI	Contrato OK; Puente CODCLI completo
W	PROM_PRI_SEM	OK	2587	2587	2587	SI	100.0	0	0	84	NO	Las 84 diferencias provienen del merge por clave parcial (TIPO_DOC+N_DOC+DV) que genera expansion many-to-many en estudiantes multi-carrera. Resuelto por puente CODCLI completo (bridge_missing_codcli=0).	SI	Contrato OK; Puente CODCLI completo
X	PROM_SEG_SEM	OK	2587	2587	2587	SI	100.0	0	0	80	NO	Las 80 diferencias provienen del merge por clave parcial (TIPO_DOC+N_DOC+DV) que genera expansion many-to-many en estudiantes multi-carrera. Resuelto por puente CODCLI completo (bridge_missing_codcli=0).	SI	Contrato OK; Puente CODCLI completo
Y	ASI_INS_HIS	OK	2587	2587	2587	SI	100.0	0	0	64	NO	Las 64 diferencias provienen del merge por clave parcial (TIPO_DOC+N_DOC+DV) que genera expansion many-to-many en estudiantes multi-carrera. Resuelto por puente CODCLI completo (bridge_missing_codcli=0).	SI	Contrato OK; Puente CODCLI completo
