CODCLI	CODCARPR_NORM	JORNADA_FUENTE	ANIO_ING_ACT	PLAN_DE_ESTUDIO	N_CODES_SIES	CODIGOS_SIES_POTENCIALES	CODIGO_CARRERA_SIES_FINAL	SIES_MATCH_STATUS	SIES_MATCH_DIAG	SIES_RESOLUCION_HEURISTICA	SIES_CONFIANZA_POST	DURACION_ESTUDIOS_REF	FLAG_GOBERNANZA_V2	CODIGO_UNICO_ACADEMICO	ESTADO_RESOLUCION_ACADEMICA	JUSTIFICACION_ACADEMICA
20251CIINF031	CIINF	O	2025	CIINF20241	1	I162S2C1J4V3	I162S2C1J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	I162S2C1J4V3	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CIINF20241. DurRef=4.
20251IINF143	IINF	O	2025	IINF20241	1	I162S2C1J4V2	I162S2C1J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C1J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=IINF20241. DurRef=8.
20251TLOG017	TLOG	O	2025	TLOG20241	1	I162S2C79J4V1	I162S2C79J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C79J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TLOG20241. DurRef=5.
20251CILOG003	CILOG	O	2025	CILOG20241	1	I162S2C77J4V2	I162S2C77J4V2	MATCH_SIES	MATCH_SIES_UNICO			4	SI	I162S2C77J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CILOG20241. DurRef=4.
20251ICRE058	ICRE	O	2025	ICRE20241	1	I162S2C3J4V2	I162S2C3J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C3J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=ICRE20241. DurRef=8.
20241TPAS076	TPAS	O	2024	TPAS20241	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C57J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TPAS20241. DurRef=5.
20251ILOG036	ILOG	O	2025	ILOG20241	1	I162S2C77J4V1	I162S2C77J4V1	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C77J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=ILOG20241. DurRef=8.
20251CICIB054	CICIB	O	2025	CICIB20241	1	I162S2C46J4V1	I162S2C46J4V1	MATCH_SIES	MATCH_SIES_UNICO			4	SI	I162S2C46J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CICIB20241. DurRef=4.
20242TCRE001	TCRE	O	2024	TCRE20241	1	I162S2C6J4V2	I162S2C6J4V2	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C6J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TCRE20241. DurRef=5.
20251TENS111	TENS	V	2025	TENS20251	1	I162S2C91J2V1	I162S2C91J2V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C91J2V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=V. Plan=TENS20251. DurRef=5.
20241CICRE057	CICRE	O	2024	CICRE20241	1	I162S2C3J4V3	I162S2C3J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	I162S2C3J4V3	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CICRE20241. DurRef=4.
20241TCIB105	TCIB	O	2024	TCIB20241	1	I162S2C47J4V1	I162S2C47J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C47J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TCIB20241. DurRef=5.
20251TCDA017	TCDA	O	2025	TCDA20251	1	I162S2C89J4V1	I162S2C89J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C89J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TCDA20251. DurRef=5.
20251TADP028	TADP	O	2025	TADP20251	1	I162S2C84J4V1	I162S2C84J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C84J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TADP20251. DurRef=5.
20251TAMD091	TAMD	V	2025	TAMD20241	1	I162S2C78J2V1	I162S2C78J2V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C78J2V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=V. Plan=TAMD20241. DurRef=5.
20251IADM072	IADM	V	2025	IADM20241	1	I162S2C76J2V1	I162S2C76J2V1	MATCH_SIES	MATCH_SIES_UNICO			8	SI	I162S2C76J2V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=V. Plan=IADM20241. DurRef=8.
20251CIADM002	CIADM	O	2025	CIADM20241	1	I162S2C76J4V2	I162S2C76J4V2	MATCH_SIES	MATCH_SIES_UNICO			4	SI	I162S2C76J4V2	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CIADM20241. DurRef=4.
20251CONG041	CONG	O	2025	CONG20251	1	I162S2C85J4V1	I162S2C85J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C85J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=CONG20251. DurRef=5.
20231TCSREOL014	TCSREOL	O	2023	TCSREOL20231	1	I162S2C47J4V1	I162S2C47J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C47J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TCSREOL20231. DurRef=5.
20221TPAREOL010	TPAREOL	O	2022	TPAREOL20211	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	I162S2C57J4V1	RESUELTO	N_CODES_SIES=1 determinístico. Jornada=O. Plan=TPAREOL20211. DurRef=5.
