CODIGO_CARRERA_SIES_FINAL	CODCLI_UNICOS	FILAS_MATCH
I162S2C101J4V1	0	0
I162S2C102J4V1	0	0
I162S2C103J4V1	0	0
I162S2C104J4V1	0	0
I162S2C105J4V1	0	0
I162S2C10J1V1	0	0
I162S2C10J2V1	0	0
I162S2C10J4V1	0	0
I162S2C111J4V1	0	0
I162S2C111J4V2	0	0
I162S2C112J4V1	1	1
I162S2C112J4V2	0	0
I162S2C113J4V1	0	0
I162S2C113J4V2	0	0
I162S2C114J2V1	0	0
I162S2C115J2V1	0	0
I162S2C116J4V1	0	0
I162S2C117J4V1	0	0
I162S2C118J4V1	0	0
I162S2C119J4V1	0	0
I162S2C11J1V1	0	0
I162S2C11J2V1	0	0
I162S2C11J4V1	0	0
I162S2C124J4V1	0	0
I162S2C124J4V2	0	0
I162S2C125J4V1	0	0
I162S2C125J4V2	0	0
I162S2C13J1V1	0	0
I162S2C13J2V1	0	0
I162S2C1J1V1	0	0
I162S2C1J1V2	29	29
I162S2C1J2V1	0	0
I162S2C1J2V2	0	0
I162S2C1J2V3	0	0
I162S2C1J2V4	0	0
I162S2C1J4V1	0	0
I162S2C1J4V2	239	239
I162S2C1J4V3	77	77
I162S2C21J1V1	0	0
I162S2C21J2V1	0	0
I162S2C22J1V1	0	0
I162S2C22J2V1	0	0
I162S2C22J2V2	0	0
I162S2C22J4V1	0	0
I162S2C22J4V2	38	38
I162S2C23J1V1	0	0
I162S2C23J2V1	0	0
I162S2C24J1V1	0	0
I162S2C24J2V1	0	0
I162S2C2J1V1	0	0
I162S2C2J1V2	0	0
I162S2C2J2V1	0	0
I162S2C2J2V2	0	0
I162S2C2J4V1	0	0
I162S2C2J4V2	0	0
I162S2C35J1V1	0	0
I162S2C35J1V2	0	0
I162S2C35J2V1	0	0
I162S2C35J2V2	0	0
I162S2C35J4V1	0	0
I162S2C35J4V2	0	0
I162S2C3J1V1	0	0
I162S2C3J1V2	0	0
I162S2C3J2V1	0	0
I162S2C3J2V2	0	0
I162S2C3J2V3	1	1
I162S2C3J2V4	0	0
I162S2C3J4V1	0	0
I162S2C3J4V2	150	150
I162S2C3J4V3	115	115
I162S2C40J2V1	0	0
I162S2C41J2V1	0	0
I162S2C46J1V1	23	23
I162S2C46J2V1	42	42
I162S2C46J2V2	0	0
I162S2C46J2V3	1	1
I162S2C46J4V1	96	96
I162S2C46J4V2	0	0
I162S2C46J4V3	253	253
I162S2C47J1V1	11	11
I162S2C47J2V1	13	13
I162S2C47J4V1	135	135
I162S2C48J4V1	0	0
I162S2C53J3V1	0	0
I162S2C57J1V1	23	23
I162S2C57J2V1	25	25
I162S2C57J4V1	328	328
I162S2C63J4V1	0	0
I162S2C64J4V1	0	0
I162S2C65J4V1	0	0
I162S2C66J4V1	0	0
I162S2C67J4V1	0	0
I162S2C68J4V1	0	0
I162S2C69J4V1	0	0
I162S2C6J1V1	0	0
I162S2C6J1V2	0	0
I162S2C6J2V1	0	0
I162S2C6J2V2	0	0
I162S2C6J4V1	0	0
I162S2C6J4V2	62	62
I162S2C70J4V1	0	0
I162S2C71J4V1	0	0
I162S2C76J1V1	1	1
I162S2C76J2V1	18	18
I162S2C76J4V1	135	135
I162S2C76J4V2	16	16
I162S2C77J1V1	0	0
I162S2C77J2V1	14	14
I162S2C77J4V1	94	94
I162S2C77J4V2	17	17
I162S2C78J1V1	0	0
I162S2C78J2V1	10	10
I162S2C78J4V1	76	76
I162S2C79J1V1	0	0
I162S2C79J2V1	21	21
I162S2C79J4V1	75	75
I162S2C83J4V1	104	104
I162S2C83J4V2	0	0
I162S2C84J4V1	20	20
I162S2C85J4V1	39	39
I162S2C86J4V1	63	63
I162S2C86J4V2	0	0
I162S2C87J4V1	0	0
I162S2C87J4V2	46	46
I162S2C88J4V1	45	45
I162S2C88J4V2	0	0
I162S2C89J4V1	22	22
I162S2C90J2V1	0	0
I162S2C90J2V2	0	0
I162S2C91J1V1	37	37
I162S2C91J2V1	72	72
I162S2C95J4V1	0	0
I162S2C96J4V1	0	0
I162S2C97J4V1	0	0
I162S2C98J4V1	0	0
I162S2C99J4V1	0	0
I162S3C114J2V1	0	0
I162S3C115J2V1	0	0
I162S3C91J2V1	0	0
