COD_CAR,MODALIDAD,JOR,VERSION,NIV_ACA,n_control,n_stage,delta_n
1,1,1,2,1,7,7,0
1,1,1,2,2,11,11,0
1,1,1,2,3,2,2,0
1,1,1,2,4,4,4,0
1,1,1,2,5,2,2,0
1,1,1,2,6,4,4,0
1,3,4,2,1,88,88,0
1,3,4,2,2,37,37,0
1,3,4,2,3,30,30,0
1,3,4,2,4,22,22,0
1,3,4,2,5,12,12,0
1,3,4,2,6,18,18,0
1,3,4,2,7,3,3,0
1,3,4,2,8,28,28,0
1,3,4,3,1,19,19,0
1,3,4,3,2,21,21,0
1,3,4,3,3,12,12,0
1,3,4,3,4,25,25,0
112,3,4,1,2,1,1,0
22,3,4,2,1,22,22,0
22,3,4,2,2,9,9,0
22,3,4,2,3,7,7,0
3,1,2,3,1,1,1,0
3,3,4,2,1,31,31,0
3,3,4,2,2,11,11,0
3,3,4,2,3,16,16,0
3,3,4,2,4,20,20,0
3,3,4,2,5,10,10,0
3,3,4,2,6,15,15,0
3,3,4,2,7,9,9,0
3,3,4,2,8,38,38,0
3,3,4,3,1,34,34,0
3,3,4,3,2,21,21,0
3,3,4,3,3,17,17,0
3,3,4,3,4,43,43,0
46,1,1,1,1,2,2,0
46,1,1,1,2,8,8,0
46,1,1,1,3,8,8,0
46,1,1,1,4,1,1,0
46,1,1,1,5,2,2,0
46,1,1,1,6,3,3,0
46,1,2,1,1,8,8,0
46,1,2,1,2,2,2,0
46,1,2,1,3,4,4,0
46,1,2,1,4,4,4,0
46,1,2,1,5,4,4,0
46,1,2,1,6,5,5,0
46,1,2,1,8,14,14,0
46,1,2,3,2,1,1,0
46,3,4,1,1,28,28,0
46,3,4,1,2,17,17,0
46,3,4,1,3,12,12,0
46,3,4,1,4,39,39,0
46,3,4,3,1,81,81,0
46,3,4,3,2,28,28,0
46,3,4,3,3,36,36,0
46,3,4,3,4,8,8,0
46,3,4,3,5,13,13,0
46,3,4,3,6,10,10,0
46,3,4,3,7,12,12,0
46,3,4,3,8,65,65,0
47,1,1,1,1,2,2,0
47,1,1,1,2,3,3,0
47,1,1,1,3,3,3,0
47,1,1,1,4,2,2,0
47,1,1,1,5,1,1,0
47,1,2,1,1,2,2,0
47,1,2,1,2,1,1,0
47,1,2,1,3,5,5,0
47,1,2,1,5,5,5,0
47,3,4,1,1,41,41,0
47,3,4,1,2,16,16,0
47,3,4,1,3,14,14,0
47,3,4,1,4,11,11,0
47,3,4,1,5,53,53,0
57,1,1,1,1,9,9,0
57,1,1,1,2,2,2,0
57,1,1,1,3,5,5,0
57,1,1,1,5,7,7,0
57,1,2,1,1,6,6,0
57,1,2,1,2,3,3,0
57,1,2,1,3,4,4,0
57,1,2,1,4,1,1,0
57,1,2,1,5,11,11,0
57,3,4,1,1,78,78,0
57,3,4,1,2,47,47,0
57,3,4,1,3,41,41,0
57,3,4,1,4,31,31,0
57,3,4,1,5,131,131,0
6,3,4,2,1,23,23,0
6,3,4,2,2,9,9,0
6,3,4,2,3,7,7,0
6,3,4,2,4,4,4,0
6,3,4,2,5,19,19,0
76,1,1,1,1,1,1,0
76,1,2,1,1,11,11,0
76,1,2,1,2,1,1,0
76,1,2,1,3,6,6,0
76,3,4,1,1,91,91,0
76,3,4,1,2,23,23,0
76,3,4,1,3,17,17,0
76,3,4,1,4,1,1,0
76,3,4,1,5,1,1,0
76,3,4,1,6,2,2,0
76,3,4,2,1,7,7,0
76,3,4,2,2,4,4,0
76,3,4,2,3,5,5,0
77,1,2,1,1,9,9,0
77,1,2,1,2,2,2,0
77,1,2,1,3,2,2,0
77,1,2,1,4,1,1,0
77,3,4,1,1,67,67,0
77,3,4,1,2,13,13,0
77,3,4,1,3,8,8,0
77,3,4,1,4,2,2,0
77,3,4,1,5,2,2,0
77,3,4,1,6,2,2,0
77,3,4,2,1,8,8,0
77,3,4,2,2,5,5,0
77,3,4,2,3,4,4,0
78,1,2,1,1,4,4,0
78,1,2,1,2,4,4,0
78,1,2,1,3,2,2,0
78,3,4,1,1,51,51,0
78,3,4,1,2,9,9,0
78,3,4,1,3,9,9,0
78,3,4,1,4,3,3,0
78,3,4,1,5,4,4,0
79,1,2,1,1,11,11,0
79,1,2,1,2,4,4,0
79,1,2,1,3,3,3,0
79,1,2,1,4,2,2,0
79,1,2,1,5,2,2,0
79,3,4,1,1,40,40,0
79,3,4,1,2,16,16,0
79,3,4,1,3,12,12,0
79,3,4,1,4,4,4,0
79,3,4,1,5,2,2,0
83,3,4,1,1,83,83,0
83,3,4,1,2,14,14,0
83,3,4,1,3,7,7,0
84,3,4,1,1,16,16,0
84,3,4,1,2,2,2,0
84,3,4,1,3,2,2,0
85,3,4,1,1,28,28,0
85,3,4,1,2,8,8,0
85,3,4,1,3,3,3,0
86,3,4,1,1,37,37,0
86,3,4,1,2,17,17,0
86,3,4,1,3,9,9,0
87,3,4,2,1,40,40,0
87,3,4,2,2,6,6,0
88,3,4,1,1,25,25,0
88,3,4,1,2,13,13,0
88,3,4,1,3,7,7,0
89,3,4,1,1,10,10,0
89,3,4,1,2,2,2,0
89,3,4,1,3,10,10,0
91,1,1,1,1,17,17,0
91,1,1,1,2,14,14,0
91,1,1,1,3,6,6,0
91,1,2,1,1,50,50,0
91,1,2,1,2,14,14,0
91,1,2,1,3,8,8,0
