CODCARR,codigos_unicos,jornadas,versiones,es_ambiguo
ADMP,1,1,1,False
ASRE,1,2,2,False
ASREOL,1,1,1,False
AUDT,1,1,1,False
CADMP,1,1,1,False
CIADM,1,1,1,False
CICIB,1,2,2,False
CICRE,1,2,2,False
CIIND,1,1,1,False
CIINF,1,1,1,False
CILOG,1,1,1,False
CONG,1,1,1,False
COTEIQ,1,1,1,False
COTENS,1,1,1,False
COTFAR,1,1,1,False
DACD,1,1,1,False
DCBS,1,1,1,False
IADM,1,3,3,False
ICDA,1,1,1,False
ICIB,1,3,3,False
ICRE,1,2,2,False
IECIRE,1,3,3,False
IECIREOL,1,1,1,False
IECSRE,1,2,2,False
IECSREOL,1,1,1,False
IEMORE,1,1,1,False
IETMRE,1,3,3,False
IETMREOL,1,1,1,False
IFIN,1,1,1,False
IIND,1,1,1,False
IINF,1,3,3,False
ILOG,1,2,2,False
IMDI,1,1,1,False
IPRE,1,1,1,False
IRHU,1,1,1,False
ISEP,1,1,1,False
NATP,1,1,1,False
NAUTRE,1,1,1,False
NCONRE,1,2,2,False
NCONREOL,1,1,1,False
NECIRE,1,1,1,False
NETMRE,1,1,1,False
NICCRE,1,1,1,False
NICCREOL,1,2,2,False
NICIRE,1,1,1,False
NINFRE,1,1,1,False
NINFREOL,1,1,1,False
NITMRE,1,1,1,False
NTCCRE,1,1,1,False
NTCCREOL,1,1,1,False
TADP,1,1,1,False
TAMD,1,3,3,False
TCDA,1,1,1,False
TCIB,1,3,3,False
TCRE,1,2,2,False
TCSRE,1,2,2,False
TCSREOL,1,2,2,False
TEIQ,1,1,1,False
TENS,1,2,2,False
TFAR,1,1,1,False
TFIN,1,1,1,False
TICL,1,1,1,False
TLOG,1,2,2,False
TMDI,1,1,1,False
TMIRE,1,1,1,False
TPARE,1,2,2,False
TPAREOL,1,1,1,False
TPAS,1,3,3,False
TPCRE,1,3,3,False
TPCREOL,1,1,1,False
TPRE,1,1,1,False
TRHU,1,1,1,False
TTMRE,1,2,2,False
TTMREOL,1,1,1,False
