CHECK_ID	DESCRIPCION	RESULTADO	DETALLE	HOJA
C1_VARIABILIDAD	FOR_ING_ACT variable	PASS	[1, 2, 3, 11]	ARCHIVO_LISTO_SUBIDA
C2_RANGO_1_11	Todos en [1..11]	PASS	min=1 max=11	ARCHIVO_LISTO_SUBIDA
C3_SIN_FIJO	Sin FIJO_1_TABLERO_CERRADO	PASS	count=0	ARCHIVO_LISTO_SUBIDA
C4_MU32_VARIABLE	MU32 variable	PASS	[1, 2, 3, 11]	MATRICULA_UNIFICADA_32
C5_MU32_RANGO	MU32 en [1..11]	PASS	min=1 max=11	MATRICULA_UNIFICADA_32
C6_DIST_1	FOR=1	INFO	n=5650 (81.3%)	ARCHIVO_LISTO_SUBIDA
C6_DIST_2	FOR=2	INFO	n=379 (5.5%)	ARCHIVO_LISTO_SUBIDA
C6_DIST_3	FOR=3	INFO	n=472 (6.8%)	ARCHIVO_LISTO_SUBIDA
C6_DIST_11	FOR=11	INFO	n=448 (6.4%)	ARCHIVO_LISTO_SUBIDA
C7_TRACE	Concordancia vs trace	PASS	6351/6949 (91.4%)	CROSS
