CODCLI	CODCARPR_NORM	JORNADA_FUENTE	PLAN_DE_ESTUDIO	ANIO_ING_ACT	N_CODES_SIES	CODIGOS_SIES_POTENCIALES	CODIGO_CARRERA_SIES_FINAL	SIES_MATCH_STATUS	SIES_MATCH_DIAG	SIES_RESOLUCION_HEURISTICA	SIES_CONFIANZA_POST	DURACION_ESTUDIOS_REF	FLAG_GOBERNANZA_V2	AMBIGUEDAD_ESTRUCTURAL	EFECTO_PLAN_ESTUDIOS_ALUMNO	JUSTIFICACION_AUDITORIA
20251CIINF031	CIINF	O	CIINF20241	2025	1	I162S2C1J4V3	I162S2C1J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: CIINF20241. Jornada: O.
20251IINF143	IINF	O	IINF20241	2025	1	I162S2C1J4V2	I162S2C1J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: IINF20241. Jornada: O.
20251TLOG017	TLOG	O	TLOG20241	2025	1	I162S2C79J4V1	I162S2C79J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TLOG20241. Jornada: O.
20251CILOG003	CILOG	O	CILOG20241	2025	1	I162S2C77J4V2	I162S2C77J4V2	MATCH_SIES	MATCH_SIES_UNICO			4	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: CILOG20241. Jornada: O.
20251ICRE058	ICRE	O	ICRE20241	2025	1	I162S2C3J4V2	I162S2C3J4V2	MATCH_SIES	MATCH_SIES_UNICO			8	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: ICRE20241. Jornada: O.
20241TPAS076	TPAS	O	TPAS20241	2024	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TPAS20241. Jornada: O.
20251ILOG036	ILOG	O	ILOG20241	2025	1	I162S2C77J4V1	I162S2C77J4V1	MATCH_SIES	MATCH_SIES_UNICO			8	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: ILOG20241. Jornada: O.
20251CICIB054	CICIB	O	CICIB20241	2025	1	I162S2C46J4V1	I162S2C46J4V1	MATCH_SIES	MATCH_SIES_UNICO			4	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: CICIB20241. Jornada: O.
20242TCRE001	TCRE	O	TCRE20241	2024	1	I162S2C6J4V2	I162S2C6J4V2	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TCRE20241. Jornada: O.
20251TENS111	TENS	V	TENS20251	2025	1	I162S2C91J2V1	I162S2C91J2V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TENS20251. Jornada: V.
20241CICRE057	CICRE	O	CICRE20241	2024	1	I162S2C3J4V3	I162S2C3J4V3	MATCH_SIES	MATCH_SIES_UNICO			4	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: CICRE20241. Jornada: O.
20241TCIB105	TCIB	O	TCIB20241	2024	1	I162S2C47J4V1	I162S2C47J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TCIB20241. Jornada: O.
20251TCDA017	TCDA	O	TCDA20251	2025	1	I162S2C89J4V1	I162S2C89J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TCDA20251. Jornada: O.
20251TADP028	TADP	O	TADP20251	2025	1	I162S2C84J4V1	I162S2C84J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TADP20251. Jornada: O.
20251TAMD091	TAMD	V	TAMD20241	2025	1	I162S2C78J2V1	I162S2C78J2V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TAMD20241. Jornada: V.
20251IADM072	IADM	V	IADM20241	2025	1	I162S2C76J2V1	I162S2C76J2V1	MATCH_SIES	MATCH_SIES_UNICO			8	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: IADM20241. Jornada: V.
20251CIADM002	CIADM	O	CIADM20241	2025	1	I162S2C76J4V2	I162S2C76J4V2	MATCH_SIES	MATCH_SIES_UNICO			4	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: CIADM20241. Jornada: O.
20251CONG041	CONG	O	CONG20251	2025	1	I162S2C85J4V1	I162S2C85J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: CONG20251. Jornada: O.
20231TCSREOL014	TCSREOL	O	TCSREOL20231	2023	1	I162S2C47J4V1	I162S2C47J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TCSREOL20231. Jornada: O.
20221TPAREOL010	TPAREOL	O	TPAREOL20211	2022	1	I162S2C57J4V1	I162S2C57J4V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TPAREOL20211. Jornada: O.
20221TCSRE017	TCSRE	D	TCSRE20211	2022	1	I162S2C47J1V1	I162S2C47J1V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TCSRE20211. Jornada: D.
20211TPARE006	TPARE	V	TPARE20211	2021	1	I162S2C57J2V1	I162S2C57J2V1	MATCH_SIES	MATCH_SIES_UNICO			5	SI	SIN_AMBIGUEDAD	NO_REQUERIDO	N_CODES_SIES=1 → no hay ambigüedad; PLAN_ESTUDIOS_ALUMNO no sería necesario. Plan vigente: TPARE20211. Jornada: V.
