CODCARPR_NORM,NOMBRE_CARRERA_FUENTE,JORNADA_FUENTE,MODALIDAD,JOR,VERSION,CODIGO_CARRERA_SIES_FINAL,SIES_RESOLUCION_HEURISTICA,DURACION_ESTUDIOS_REF,SIES_MATCH_DIAG,ESTADO_CARGA_PREGRADO
ADMP,ADMINISTRACION PUBLICA,O,3,4,1,I162S2C83J4V1,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
ADMP,ADMINISTRACION PUBLICA,O,3,4,1,I162S2C83J4V1,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
AUDT,AUDITORIA,O,3,4,1,I162S2C86J4V1,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
AUDT,AUDITORIA,O,3,4,1,I162S2C86J4V1,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
CIIND,CONTINUIDAD INGENIERIA INDUSTRIAL,O,3,4,2,I162S2C22J4V2,REGLA_TIPO_PLAN_JORNADA,4,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
CIIND,CONTINUIDAD INGENIERIA INDUSTRIAL,O,3,4,2,I162S2C22J4V2,REGLA_TIPO_PLAN_JORNADA,4,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,D,1,1,1,I162S2C76J1V1,REGLA_TIPO_PLAN_JORNADA,8,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,O,3,4,1,I162S2C76J4V1,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,O,3,4,1,I162S2C76J4V1,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
ICDA,INGENIERIA EN CIENCIA DE DATOS,O,3,4,1,I162S2C88J4V1,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
ICDA,INGENIERIA EN CIENCIA DE DATOS,O,3,4,1,I162S2C88J4V1,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
ICIB,INGENIERIA EN CIBERSEGURIDAD,D,1,1,1,I162S2C46J1V1,REGLA_TIPO_PLAN_JORNADA,8,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
ICIB,INGENIERIA EN CIBERSEGURIDAD,D,1,1,1,I162S2C46J1V1,REGLA_TIPO_PLAN_JORNADA,8,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
ICIB,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
ICIB,INGENIERIA EN CIBERSEGURIDAD,V,1,2,1,I162S2C46J2V1,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
ICIB,INGENIERIA EN CIBERSEGURIDAD,V,1,2,1,I162S2C46J2V1,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
ICRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,1,2,,,PENDIENTE_GOBERNANZA,,MATCH_SIES_AMBIGUO,EXCLUIDO_SIN_MATCH_SIES
IECIREOL,INGENIERIA EN INFORMATICA,O,3,4,,,PENDIENTE_GOBERNANZA,,MATCH_SIES_AMBIGUO,EXCLUIDO_SIN_MATCH_SIES
IECSRE,INGENIERIA EN CIBERSEGURIDAD,V,1,2,1,I162S2C46J2V1,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
IECSRE,INGENIERIA EN CIBERSEGURIDAD,V,1,2,1,I162S2C46J2V1,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,8,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,3,4,3,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,8,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
IETMRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,1,2,,,PENDIENTE_GOBERNANZA,,MATCH_SIES_AMBIGUO,EXCLUIDO_SIN_MATCH_SIES
IETMREOL,INGENIERIA EN CONECTIVIDAD Y REDES,O,3,4,,,PENDIENTE_GOBERNANZA,,MATCH_SIES_AMBIGUO,EXCLUIDO_SIN_MATCH_SIES
IIND,INGENIERIA INDUSTRIAL,O,3,4,2,I162S2C87J4V2,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
IIND,INGENIERIA INDUSTRIAL,O,3,4,2,I162S2C87J4V2,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
IINF,INGENIERIA EN INFORMATICA,D,1,1,2,I162S2C1J1V2,REGLA_TIPO_PLAN_JORNADA,8,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
IINF,INGENIERIA EN INFORMATICA,D,1,1,2,I162S2C1J1V2,REGLA_TIPO_PLAN_JORNADA,8,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
IINF,INGENIERIA EN INFORMATICA,V,1,2,,,PENDIENTE_GOBERNANZA,,MATCH_SIES_AMBIGUO,EXCLUIDO_SIN_MATCH_SIES
IMDI,INGENIERIA EN MARKETING DIGITAL,O,3,4,1,I162S2C112J4V1,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
IMDI,INGENIERIA EN MARKETING DIGITAL,O,3,4,1,I162S2C112J4V1,REGLA_TIPO_PLAN,8,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
NETMRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,1,2,,,PENDIENTE_GOBERNANZA,,MATCH_SIES_AMBIGUO,EXCLUIDO_SIN_MATCH_SIES
NITMRE,INGENIERIA EN CONECTIVIDAD Y REDES,V,1,2,,,PENDIENTE_GOBERNANZA,,MATCH_SIES_AMBIGUO,EXCLUIDO_SIN_MATCH_SIES
TCIB,TECNICO EN CIBERSEGURIDAD,D,1,1,1,I162S2C47J1V1,REGLA_TIPO_PLAN_JORNADA,5,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
TCIB,TECNICO EN CIBERSEGURIDAD,D,1,1,1,I162S2C47J1V1,REGLA_TIPO_PLAN_JORNADA,5,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
TCRE,TECNICO EN CONECTIVIDAD Y REDES,V,1,2,,,PENDIENTE_GOBERNANZA,,MATCH_SIES_AMBIGUO,EXCLUIDO_SIN_MATCH_SIES
TENS,TECNICO EN ENFERMERIA,D,1,1,1,I162S2C91J1V1,REGLA_TIPO_PLAN_JORNADA,5,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
TENS,TECNICO EN ENFERMERIA,D,1,1,1,I162S2C91J1V1,REGLA_TIPO_PLAN_JORNADA,5,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
TMIRE,TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL,V,1,2,,,PENDIENTE_GOBERNANZA,,MATCH_SIES_AMBIGUO,EXCLUIDO_SIN_MATCH_SIES
TPAS,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,D,1,1,1,I162S2C57J1V1,REGLA_TIPO_PLAN_JORNADA,5,MATCH_SIES_AMBIGUO,OK_CARGA_PREGRADO
TPAS,TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS,D,1,1,1,I162S2C57J1V1,REGLA_TIPO_PLAN_JORNADA,5,MATCH_SIES_AMBIGUO,EXCLUIDO_DUPLICADO_INTRA_CODCLI
TTMREOL,TECNICO EN CONECTIVIDAD Y REDES,O,3,4,,,PENDIENTE_GOBERNANZA,,MATCH_SIES_AMBIGUO,EXCLUIDO_SIN_MATCH_SIES
