COD_CAR,n_mu,pct_mu,n_stage,pct_stage,delta_n
1,382,13.5,345,13.34,37
11,1,0.04,0,0.0,1
112,1,0.04,1,0.04,0
22,38,1.34,38,1.47,0
3,302,10.67,266,10.28,36
46,415,14.66,415,16.04,0
47,159,5.62,159,6.15,0
53,33,1.17,0,0.0,33
57,376,13.29,376,14.53,0
6,75,2.65,62,2.4,13
63,19,0.67,0,0.0,19
66,32,1.13,0,0.0,32
69,9,0.32,0,0.0,9
70,14,0.49,0,0.0,14
76,170,6.01,170,6.57,0
77,125,4.42,125,4.83,0
78,86,3.04,86,3.32,0
79,96,3.39,96,3.71,0
83,104,3.67,104,4.02,0
84,20,0.71,20,0.77,0
85,39,1.38,39,1.51,0
86,63,2.23,63,2.44,0
87,46,1.63,46,1.78,0
88,45,1.59,45,1.74,0
89,22,0.78,22,0.85,0
91,108,3.82,109,4.21,-1
95,5,0.18,0,0.0,5
97,10,0.35,0,0.0,10
ECCURYDP,35,1.24,0,0.0,35
