COD_CAR,MODALIDAD,JOR,VERSION,NIV_ACA,n_mu,n_stage,delta_n
46,3,4,1,1,391,28,363
57,3,4,1,1,375,78,297
1,3,4,2,1,291,88,203
3,3,4,2,1,161,31,130
47,3,4,1,1,158,41,117
3,3,4,3,1,116,34,82
78,1,2,1,1,86,4,82
76,3,4,1,1,154,91,63
1,3,4,3,1,77,19,58
91,1,2,1,1,108,50,58
79,3,4,1,1,96,40,56
6,3,4,2,1,70,23,47
87,3,4,1,1,46,0,46
77,3,4,1,1,108,67,41
ECCURYDP,3,4,1,1,35,0,35
53,2,3,1,1,33,0,33
66,3,4,1,1,32,0,32
86,3,4,1,1,63,37,26
83,3,4,1,1,104,83,21
3,3,4,1,1,20,0,20
88,3,4,1,1,45,25,20
63,3,4,1,1,19,0,19
46,1,1,1,1,19,2,17
22,3,4,2,1,38,22,16
1,3,4,1,1,14,0,14
70,3,4,1,1,14,0,14
89,3,4,1,1,22,10,12
85,3,4,1,1,39,28,11
97,3,4,1,1,10,0,10
69,3,4,1,1,9,0,9
76,3,4,2,1,16,7,9
77,3,4,2,1,17,8,9
6,3,4,1,1,5,0,5
95,3,4,1,1,5,0,5
84,3,4,1,1,20,16,4
3,1,2,1,1,2,0,2
3,1,2,3,1,3,1,2
11,1,2,1,1,1,0,1
112,3,4,1,1,1,0,1
112,3,4,1,2,0,1,-1
46,1,1,1,4,0,1,-1
46,1,2,3,2,0,1,-1
47,1,1,1,1,1,2,-1
47,1,1,1,5,0,1,-1
47,1,2,1,2,0,1,-1
57,1,2,1,4,0,1,-1
76,1,1,1,1,0,1,-1
76,1,2,1,2,0,1,-1
76,3,4,1,4,0,1,-1
76,3,4,1,5,0,1,-1
77,1,2,1,4,0,1,-1
1,1,1,2,3,0,2,-2
1,1,1,2,5,0,2,-2
46,1,1,1,5,0,2,-2
46,1,2,1,2,0,2,-2
47,1,1,1,4,0,2,-2
47,1,2,1,1,0,2,-2
57,1,1,1,2,0,2,-2
76,3,4,1,6,0,2,-2
77,1,2,1,2,0,2,-2
77,1,2,1,3,0,2,-2
77,3,4,1,4,0,2,-2
77,3,4,1,5,0,2,-2
77,3,4,1,6,0,2,-2
78,1,2,1,3,0,2,-2
79,1,2,1,4,0,2,-2
79,1,2,1,5,0,2,-2
79,3,4,1,5,0,2,-2
84,3,4,1,2,0,2,-2
84,3,4,1,3,0,2,-2
89,3,4,1,2,0,2,-2
1,3,4,2,7,0,3,-3
46,1,1,1,6,0,3,-3
46,1,2,1,1,5,8,-3
47,1,1,1,2,0,3,-3
47,1,1,1,3,0,3,-3
57,1,2,1,2,0,3,-3
78,3,4,1,4,0,3,-3
79,1,2,1,3,0,3,-3
85,3,4,1,3,0,3,-3
1,1,1,2,4,0,4,-4
1,1,1,2,6,0,4,-4
46,1,2,1,3,0,4,-4
46,1,2,1,4,0,4,-4
46,1,2,1,5,0,4,-4
57,1,2,1,3,0,4,-4
6,3,4,2,4,0,4,-4
76,3,4,2,2,0,4,-4
77,3,4,2,3,0,4,-4
78,1,2,1,2,0,4,-4
78,3,4,1,5,0,4,-4
79,1,2,1,2,0,4,-4
79,3,4,1,4,0,4,-4
46,1,2,1,6,0,5,-5
47,1,2,1,3,0,5,-5
47,1,2,1,5,0,5,-5
57,1,1,1,3,0,5,-5
57,1,2,1,1,1,6,-5
76,3,4,2,3,0,5,-5
77,3,4,2,2,0,5,-5
76,1,2,1,3,0,6,-6
87,3,4,2,2,0,6,-6
91,1,1,1,3,0,6,-6
1,1,1,2,1,0,7,-7
22,3,4,2,3,0,7,-7
57,1,1,1,5,0,7,-7
6,3,4,2,3,0,7,-7
83,3,4,1,3,0,7,-7
88,3,4,1,3,0,7,-7
46,1,1,1,2,0,8,-8
46,1,1,1,3,0,8,-8
46,3,4,3,4,0,8,-8
77,3,4,1,3,0,8,-8
85,3,4,1,2,0,8,-8
91,1,2,1,3,0,8,-8
22,3,4,2,2,0,9,-9
3,3,4,2,7,0,9,-9
57,1,1,1,1,0,9,-9
6,3,4,2,2,0,9,-9
77,1,2,1,1,0,9,-9
78,3,4,1,2,0,9,-9
78,3,4,1,3,0,9,-9
86,3,4,1,3,0,9,-9
3,3,4,2,5,0,10,-10
46,3,4,3,6,0,10,-10
89,3,4,1,3,0,10,-10
1,1,1,2,2,0,11,-11
3,3,4,2,2,0,11,-11
47,3,4,1,4,0,11,-11
57,1,2,1,5,0,11,-11
76,1,2,1,1,0,11,-11
79,1,2,1,1,0,11,-11
1,3,4,2,5,0,12,-12
1,3,4,3,3,0,12,-12
46,3,4,1,3,0,12,-12
46,3,4,3,7,0,12,-12
79,3,4,1,3,0,12,-12
46,3,4,3,5,0,13,-13
77,3,4,1,2,0,13,-13
88,3,4,1,2,0,13,-13
46,1,2,1,8,0,14,-14
47,3,4,1,3,0,14,-14
83,3,4,1,2,0,14,-14
91,1,1,1,2,0,14,-14
91,1,2,1,2,0,14,-14
3,3,4,2,6,0,15,-15
3,3,4,2,3,0,16,-16
47,3,4,1,2,0,16,-16
79,3,4,1,2,0,16,-16
3,3,4,3,3,0,17,-17
46,3,4,1,2,0,17,-17
76,3,4,1,3,0,17,-17
86,3,4,1,2,0,17,-17
91,1,1,1,1,0,17,-17
1,3,4,2,6,0,18,-18
6,3,4,2,5,0,19,-19
3,3,4,2,4,0,20,-20
1,3,4,3,2,0,21,-21
3,3,4,3,2,0,21,-21
1,3,4,2,4,0,22,-22
76,3,4,1,2,0,23,-23
1,3,4,3,4,0,25,-25
1,3,4,2,8,0,28,-28
46,3,4,3,2,0,28,-28
1,3,4,2,3,0,30,-30
57,3,4,1,4,0,31,-31
46,3,4,3,3,0,36,-36
1,3,4,2,2,0,37,-37
3,3,4,2,8,0,38,-38
46,3,4,1,4,0,39,-39
87,3,4,2,1,0,40,-40
57,3,4,1,3,0,41,-41
3,3,4,3,4,0,43,-43
57,3,4,1,2,0,47,-47
78,3,4,1,1,0,51,-51
47,3,4,1,5,0,53,-53
46,3,4,3,8,0,65,-65
46,3,4,3,1,0,81,-81
57,3,4,1,5,0,131,-131
