COD_CAR,CODIGO_UNICO,NOMBRE_CARRERA,TIPO_PLAN_CARRERA,DURACION_ESTUDIOS,DURACION_TOTAL,MODALIDAD,JORNADA,COD_SEDE,NOMBRE_SEDE,VIGENCIA
1,I162S2C1J1V1,INGENIERIA EN INFORMATICA,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1
1,I162S2C1J1V2,INGENIERIA EN INFORMATICA,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1
1,I162S2C1J2V1,INGENIERIA EN INFORMATICA,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1
1,I162S2C1J2V2,INGENIERIA EN INFORMATICA,3,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1
1,I162S2C1J2V3,INGENIERIA EN INFORMATICA,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1
1,I162S2C1J2V4,INGENIERIA EN INFORMATICA,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1
1,I162S2C1J4V1,INGENIERIA EN INFORMATICA,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
1,I162S2C1J4V2,INGENIERIA EN INFORMATICA,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
1,I162S2C1J4V3,INGENIERIA EN INFORMATICA,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
111,I162S2C111J4V1,INGENIERIA EN FINANZAS,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
111,I162S2C111J4V2,INGENIERIA EN FINANZAS,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
112,I162S2C112J4V1,INGENIERIA EN MARKETING DIGITAL,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
112,I162S2C112J4V2,INGENIERIA EN MARKETING DIGITAL,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
113,I162S2C113J4V1,INGENIERIA EN RECURSOS HUMANOS,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
113,I162S2C113J4V2,INGENIERIA EN RECURSOS HUMANOS,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
124,I162S2C124J4V1,INGENIERIA EN PREVENCION DE RIESGOS,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
124,I162S2C124J4V2,INGENIERIA EN PREVENCION DE RIESGOS,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
125,I162S2C125J4V1,INGENIERIA EN SEGURIDAD PRIVADA,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
125,I162S2C125J4V2,INGENIERIA EN SEGURIDAD PRIVADA,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
22,I162S2C22J1V1,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1
22,I162S2C22J2V1,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1
22,I162S2C22J2V2,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1
22,I162S2C22J4V1,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
22,I162S2C22J4V2,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
3,I162S2C3J1V1,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1
3,I162S2C3J1V2,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1
3,I162S2C3J2V1,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1
3,I162S2C3J2V2,INGENIERIA EN CONECTIVIDAD Y REDES,3,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1
3,I162S2C3J2V3,INGENIERIA EN CONECTIVIDAD Y REDES,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1
3,I162S2C3J2V4,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1
3,I162S2C3J4V1,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
3,I162S2C3J4V2,INGENIERIA EN CONECTIVIDAD Y REDES,1,8,8,3,4,2,CASA CENTRAL (SANTIAGO),1
3,I162S2C3J4V3,INGENIERIA EN CONECTIVIDAD Y REDES,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
46,I162S2C46J1V1,INGENIERIA EN CIBERSEGURIDAD,1,8,8,1,1,2,CASA CENTRAL (SANTIAGO),1
46,I162S2C46J2V1,INGENIERIA EN CIBERSEGURIDAD,1,8,8,1,2,2,CASA CENTRAL (SANTIAGO),1
46,I162S2C46J2V2,INGENIERIA EN CIBERSEGURIDAD,3,5,5,1,2,2,CASA CENTRAL (SANTIAGO),1
46,I162S2C46J2V3,INGENIERIA EN CIBERSEGURIDAD,3,4,4,1,2,2,CASA CENTRAL (SANTIAGO),1
46,I162S2C46J4V1,INGENIERIA EN CIBERSEGURIDAD,3,4,4,3,4,2,CASA CENTRAL (SANTIAGO),1
