COD_CAR_FINAL_SIES,CODCARPR_NORM,NOMBRE_CARRERA_FUENTE,JORNADA_FUENTE,CODIGO_CARRERA_SIES_FINAL,SIES_RESOLUCION_HEURISTICA,DURACION_ESTUDIOS_REF,n_codcli,CODIGO_UNICO,TIPO_PLAN_CARRERA,DURACION_ESTUDIOS,MODALIDAD,JORNADA,NOMBRE_CARRERA,COD_SEDE,NOMBRE_SEDE,VIGENCIA,CLASE_PLAN
1,IINF,INGENIERIA EN INFORMATICA,D,I162S2C1J1V2,REGLA_TIPO_PLAN_JORNADA,8,30,I162S2C1J1V2,1,8,1,1,INGENIERIA EN INFORMATICA,2,CASA CENTRAL (SANTIAGO),1,REGULAR
112,IMDI,INGENIERIA EN MARKETING DIGITAL,O,I162S2C112J4V1,REGLA_TIPO_PLAN,8,1,I162S2C112J4V1,1,8,3,4,INGENIERIA EN MARKETING DIGITAL,2,CASA CENTRAL (SANTIAGO),1,REGULAR
22,CIIND,CONTINUIDAD INGENIERIA INDUSTRIAL,O,I162S2C22J4V2,REGLA_TIPO_PLAN_JORNADA,4,38,I162S2C22J4V2,3,4,3,4,INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL,2,CASA CENTRAL (SANTIAGO),1,CONTINUIDAD/PROSECUCION
46,ICIB,INGENIERIA EN CIBERSEGURIDAD,D,I162S2C46J1V1,REGLA_TIPO_PLAN_JORNADA,8,24,I162S2C46J1V1,1,8,1,1,INGENIERIA EN CIBERSEGURIDAD,2,CASA CENTRAL (SANTIAGO),1,REGULAR
46,ICIB,INGENIERIA EN CIBERSEGURIDAD,O,I162S2C46J4V3,REGLA_TIPO_PLAN,8,234,I162S2C46J4V3,1,8,3,4,INGENIERIA EN CIBERSEGURIDAD,2,CASA CENTRAL (SANTIAGO),1,REGULAR
46,ICIB,INGENIERIA EN CIBERSEGURIDAD,V,I162S2C46J2V1,REGLA_TIPO_PLAN,8,36,I162S2C46J2V1,1,8,1,2,INGENIERIA EN CIBERSEGURIDAD,2,CASA CENTRAL (SANTIAGO),1,REGULAR
46,IECSRE,INGENIERIA EN CIBERSEGURIDAD,V,I162S2C46J2V1,REGLA_TIPO_PLAN,8,5,I162S2C46J2V1,1,8,1,2,INGENIERIA EN CIBERSEGURIDAD,2,CASA CENTRAL (SANTIAGO),1,REGULAR
46,IECSREOL,INGENIERIA EN CIBERSEGURIDAD,O,I162S2C46J4V3,REGLA_TIPO_PLAN_JORNADA,8,19,I162S2C46J4V3,1,8,3,4,INGENIERIA EN CIBERSEGURIDAD,2,CASA CENTRAL (SANTIAGO),1,REGULAR
76,IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,D,I162S2C76J1V1,REGLA_TIPO_PLAN_JORNADA,8,1,I162S2C76J1V1,1,8,1,1,INGENIERIA EN ADMINISTRACION DE EMPRESAS,2,CASA CENTRAL (SANTIAGO),1,REGULAR
76,IADM,INGENIERIA EN ADMINISTRACION DE EMPRESAS,O,I162S2C76J4V1,REGLA_TIPO_PLAN,8,135,I162S2C76J4V1,1,8,3,4,INGENIERIA EN ADMINISTRACION DE EMPRESAS,2,CASA CENTRAL (SANTIAGO),1,REGULAR
83,ADMP,ADMINISTRACION PUBLICA,O,I162S2C83J4V1,REGLA_TIPO_PLAN,8,104,I162S2C83J4V1,1,8,3,4,ADMINISTRACION PUBLICA,2,CASA CENTRAL (SANTIAGO),1,REGULAR
86,AUDT,AUDITORIA,O,I162S2C86J4V1,REGLA_TIPO_PLAN,8,63,I162S2C86J4V1,1,8,3,4,AUDITORIA,2,CASA CENTRAL (SANTIAGO),1,REGULAR
87,IIND,INGENIERIA INDUSTRIAL,O,I162S2C87J4V2,REGLA_TIPO_PLAN,8,46,I162S2C87J4V2,1,8,3,4,INGENIERIA INDUSTRIAL,2,CASA CENTRAL (SANTIAGO),1,REGULAR
88,ICDA,INGENIERIA EN CIENCIA DE DATOS,O,I162S2C88J4V1,REGLA_TIPO_PLAN,8,45,I162S2C88J4V1,1,8,3,4,INGENIERIA EN CIENCIA DE DATOS,2,CASA CENTRAL (SANTIAGO),1,REGULAR
