CODCARPR	TIPO_CARRERA	JORNADA	VERSION	CODIGO_SIES_FINAL	CONFIANZA	NOTAS
ADMP	ADMINISTRACION PUBLICA	D	V1	I162S2C83J1V1	95%	Mapeo online
ADMP	ADMINISTRACION PUBLICA	D	V2	I162S2C83J1V2	95%	Mapeo online
ADMP	ADMINISTRACION PUBLICA	O	V1	I162S2C83J4V1	95%	Mapeo online
ADMP	ADMINISTRACION PUBLICA	O	V2	I162S2C83J4V2	95%	Mapeo online
ADMP	ADMINISTRACION PUBLICA	V	V1	I162S2C83J2V1	100%	Mapeo oficial
AUDT	AUDITORIA	D	V1	I162S2C86J1V1	95%	Mapeo online
AUDT	AUDITORIA	O	V1	I162S2C86J4V1	95%	Mapeo online
AUDT	AUDITORIA	O	V2	I162S2C86J4V2	95%	Mapeo online
AUDT	AUDITORIA	V	V1	I162S2C86J2V1	100%	Mapeo oficial
CADMP	CONTINUIDAD ADMINISTRACION PUBLICA	D	V1	I162S2C83J1V1	95%	Mapeo online
CADMP	CONTINUIDAD ADMINISTRACION PUBLICA	D	V2	I162S2C83J1V2	95%	Mapeo online
CADMP	CONTINUIDAD ADMINISTRACION PUBLICA	O	V2	I162S2C83J4V2	95%	Mapeo online
CADMP	CONTINUIDAD ADMINISTRACION PUBLICA	V	V1	I162S2C83J2V1	100%	Mapeo oficial
CADMP	CONTINUIDAD ADMINISTRACION PUBLICA	V	V2	I162S2C83J2V2	100%	Mapeo oficial
CAUDT	CONTINUIDAD AUDITORIA	D	V1	I162S2C86J1V1	95%	Mapeo online
CAUDT	CONTINUIDAD AUDITORIA	O	V2	I162S2C86J4V2	95%	Mapeo online
CAUDT	CONTINUIDAD AUDITORIA	V	V1	I162S2C86J2V1	100%	Mapeo oficial
CIACI	CONTINUIDAD INGENIERIA AUTOMATIZACION Y CONTROL INDUSTRIAL	O	V2	I162S2C22J4V2	95%	Mapeo online
CIADM	CONTINUIDAD INGENIERIA ADMINISTRACION DE EMPRESAS	O	V2	I162S2C76J4V2	95%	Mapeo online
CICDA	CONTINUIDAD INGENIERIA CIENCIA DE DATOS	O	V2	I162S2C88J4V2	95%	Mapeo online
CICIB	CONTINUIDAD INGENIERIA CIBERSEGURIDAD	O	V1	I162S2C46J4V1	95%	Mapeo online
CICIB	CONTINUIDAD INGENIERIA CIBERSEGURIDAD	V	V3	I162S2C46J2V3	100%	Mapeo oficial
CICRE	CONTINUIDAD INGENIERIA CONECTIVIDAD Y REDES	O	V3	I162S2C3J4V3	95%	Mapeo online
CICRE	CONTINUIDAD INGENIERIA CONECTIVIDAD Y REDES	V	V3	I162S2C3J2V3	100%	Mapeo oficial
CIFIN	CONTINUIDAD INGENIERIA FINANZAS	O	V2	I162S2C111J4V2	95%	Mapeo online
CIIND	CONTINUIDAD INGENIERIA INDUSTRIAL	O	V2	I162S2C22J4V2	95%	Mapeo online
CIINF	CONTINUIDAD INGENIERIA INFORMATICA	O	V3	I162S2C1J4V3	95%	Mapeo online
CILOG	CONTINUIDAD INGENIERIA LOGISTICA	O	V2	I162S2C77J4V2	95%	Mapeo online
CIMDI	CONTINUIDAD INGENIERIA MARKETING DIGITAL	O	V2	I162S2C112J4V2	95%	Mapeo online
CIPRE	CONTINUIDAD EN PREVENCION DE RIESGOS	O	V2	I162S2C124J4V2	95%	Mapeo online
CIRHU	CONTINUIDAD INGENIERIA RECURSOS HUMANOS	O	V2	I162S2C113J4V2	95%	Mapeo online
CISEP	CONTINUIDAD INGENIERIA EN SEGURIDAD PRIVADA	O	V2	I162S2C125J4V2	95%	Mapeo online
CNATP	CONTINUIDAD NATUROPATIA	V	V1	I162S2C90J2V1	100%	Mapeo oficial
CNATP	CONTINUIDAD NATUROPATIA	V	V2	I162S2C90J2V2	100%	Mapeo oficial
CONG	CONTABILIDAD GENERAL	D	V1	I162S2C85J1V1	95%	Mapeo online
CONG	CONTABILIDAD GENERAL	O	V1	I162S2C85J4V1	95%	Mapeo online
CONG	CONTABILIDAD GENERAL	V	V1	I162S2C85J2V1	100%	Mapeo oficial
COTEIQ	TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA	D	V1	I162S2C114J1V1	95%	Mapeo online
COTEIQ	TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA	V	V1	I162S2C114J2V1	100%	Mapeo oficial
COTENS	TECNICO EN ENFERMERIA	D	V1	I162S2C91J1V1	100%	Mapeo oficial
COTENS	TECNICO EN ENFERMERIA	V	V1	I162S2C91J2V1	100%	Mapeo oficial
COTFAR	TECNICO EN FARMACIA	D	V1	I162S2C115J1V1	100%	Mapeo oficial
COTFAR	TECNICO EN FARMACIA	V	V1	I162S2C115J2V1	100%	Mapeo oficial
DACD	DIPLOMADO EN ARQUITECTURA CLOUD	O	V1	I162S2C63J4V1	95%	Mapeo online
DCBS	DIPLOMADO EN CIBERSEGURIDAD	O	V1	I162S2C53J3V1	95%	Mapeo online
DDSC	DIPLOMADO EN DATA SCIENCE	O	V1	I162S2C97J4V1	95%	Mapeo online
DFSK	DIPLOMADO EN FULLSTACK	O	V1	I162S2C66J4V1	95%	Mapeo online
DGDA	DIPLOMADO EN GOBERNANZA DE DATOS	O	V1	I162S2C96J4V1	95%	Mapeo online
DIAR	DIPLOMADO EN INTELIGENCIA ARTIFICIAL	O	V1	I162S2C95J4V1	95%	Mapeo online
DICD	DIPLOMADO EN INFRAESTRUCTURA CLOUD	O	V1	I162S2C69J4V1	95%	Mapeo online
DQAS	DIPLOMADO EN QUALITY ASSURANCE	O	V1	I162S2C67J4V1	95%	Mapeo online
DRID	DIPLOMADO EN REDES INDUSTRIALES	O	V1	I162S2C70J4V1	95%	Mapeo online
DSCM	DIPLOMADO EN SUPPLY CHAIN MANAGEMENT Y MINERIA DE REQUERIMIENTOS	O	V1	I162S2C97J4V1	95%	Mapeo online
DSFA	DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO	O	V1	I162S2C101J4V1	95%	Mapeo online
DSOF	DIPLOMADO EN SEGURIDAD OFENSIVA	O	V1	I162S2C68J4V1	95%	Mapeo online
IACI	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	D	V1	I162S2C22J2V1	100%	Mapeo oficial
IACI	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	D	V2	I162S2C22J2V2	100%	Mapeo oficial
IACI	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	O	V1	I162S2C22J4V1	95%	Mapeo online
IACI	INGENIERIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL	O	V2	I162S2C22J4V2	95%	Mapeo online
IADM	INGENIERIA EN ADMINISTRACION DE EMPRESAS	D	V1	I162S2C76J2V1	100%	Mapeo oficial
IADM	INGENIERIA EN ADMINISTRACION DE EMPRESAS	O	V1	I162S2C76J4V1	95%	Mapeo online
IADM	INGENIERIA EN ADMINISTRACION DE EMPRESAS	O	V2	I162S2C76J4V2	95%	Mapeo online
IADM	INGENIERIA EN ADMINISTRACION DE EMPRESAS	V	V1	I162S2C76J2V1	100%	Mapeo oficial
ICDA	INGENIERIA EN CIENCIA DE DATOS	O	V1	I162S2C88J4V1	95%	Mapeo online
ICDA	INGENIERIA EN CIENCIA DE DATOS	O	V2	I162S2C88J4V2	95%	Mapeo online
ICIB	INGENIERIA EN CIBERSEGURIDAD	D	V1	I162S2C46J1V1	100%	Mapeo oficial
ICIB	INGENIERIA EN CIBERSEGURIDAD	D	V3	I162S2C46J2V3	100%	Mapeo oficial
ICIB	INGENIERIA EN CIBERSEGURIDAD	O	V1	I162S2C46J4V1	95%	Mapeo online
ICIB	INGENIERIA EN CIBERSEGURIDAD	O	V2	I162S2C46J4V2	95%	Mapeo online
ICIB	INGENIERIA EN CIBERSEGURIDAD	O	V3	I162S2C46J4V3	95%	Mapeo online
ICIB	INGENIERIA EN CIBERSEGURIDAD	V	V1	I162S2C46J2V1	100%	Mapeo oficial
ICIB	INGENIERIA EN CIBERSEGURIDAD	V	V2	I162S2C46J2V2	100%	Mapeo oficial
ICIB	INGENIERIA EN CIBERSEGURIDAD	V	V3	I162S2C46J2V3	100%	Mapeo oficial
ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	D	V1	I162S2C3J2V1	100%	Mapeo oficial
ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	D	V2	I162S2C3J1V2	100%	Mapeo oficial
ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	D	V3	I162S2C3J2V3	100%	Mapeo oficial
ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	D	V4	I162S2C3J2V4	100%	Mapeo oficial
ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	V2	I162S2C3J4V2	95%	Mapeo online
ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	V	V1	I162S2C3J2V1	100%	Mapeo oficial
ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	V	V2	I162S2C3J2V2	100%	Mapeo oficial
ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	V	V3	I162S2C3J2V3	100%	Mapeo oficial
ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	V	V4	I162S2C3J2V4	100%	Mapeo oficial
IECIRE	INGENIERIA EN INFORMATICA	D	V1	I162S2C1J1V1	100%	Mapeo oficial
IECIRE	INGENIERIA EN INFORMATICA	O	V1	I162S2C1J4V1	95%	Mapeo online
IECIRE	INGENIERIA EN INFORMATICA	V	V1	I162S2C1J2V1	100%	Mapeo oficial
IECIRE	INGENIERIA EN INFORMATICA	V	V4	I162S2C1J2V4	100%	Mapeo oficial
IECIREOL	INGENIERIA EN INFORMATICA	O	V1	I162S2C1J4V1	95%	Mapeo online
IECIREOL	INGENIERIA EN INFORMATICA	O	V2	I162S2C1J4V2	95%	Mapeo online
IECSRE	INGENIERIA EN CIBERSEGURIDAD	D	V1	I162S2C46J2V1	100%	Mapeo oficial
IECSRE	INGENIERIA EN CIBERSEGURIDAD	V	V1	I162S2C46J2V1	100%	Mapeo oficial
IECSRE	INGENIERIA EN CIBERSEGURIDAD	V	V2	I162S2C46J2V2	100%	Mapeo oficial
IECSRE	INGENIERIA EN CIBERSEGURIDAD	V	V3	I162S2C46J2V3	100%	Mapeo oficial
IECSREOL	INGENIERIA EN CIBERSEGURIDAD	O	V1	I162S2C46J1V1	95%	Mapeo online
IECSREOL	INGENIERIA EN CIBERSEGURIDAD	O	V2	I162S2C46J2V2	95%	Mapeo online
IECSREOL	INGENIERIA EN CIBERSEGURIDAD	O	V3	I162S2C46J2V3	95%	Mapeo online
IETMRE	INGENIERIA EN CONECTIVIDAD Y REDES	V	V2	I162S2C3J2V2	100%	Mapeo oficial
IETMRE	INGENIERIA EN CONECTIVIDAD Y REDES	V	V3	I162S2C3J2V3	100%	Mapeo oficial
IETMREOL	INGENIERIA EN CONECTIVIDAD Y REDES	O	V1	I162S2C3J4V1	95%	Mapeo online
IETMREOL	INGENIERIA EN CONECTIVIDAD Y REDES	O	V2	I162S2C3J4V2	95%	Mapeo online
IFIN	INGENIERIA EN FINANZAS	O	V1	I162S2C111J4V1	95%	Mapeo online
IFIN	INGENIERIA EN FINANZAS	O	V2	I162S2C111J4V2	95%	Mapeo online
IIND	INGENIERIA INDUSTRIAL	O	V1	I162S2C87J4V1	95%	Mapeo online
IIND	INGENIERIA INDUSTRIAL	O	V2	I162S2C87J4V2	95%	Mapeo online
IINF	INGENIERIA EN INFORMATICA	D	V1	I162S2C1J2V1	100%	Mapeo oficial
IINF	INGENIERIA EN INFORMATICA	D	V2	I162S2C1J2V2	100%	Mapeo oficial
IINF	INGENIERIA EN INFORMATICA	D	V3	I162S2C1J2V3	100%	Mapeo oficial
IINF	INGENIERIA EN INFORMATICA	D	V4	I162S2C1J2V4	100%	Mapeo oficial
IINF	INGENIERIA EN INFORMATICA	O	V2	I162S2C1J4V2	95%	Mapeo online
IINF	INGENIERIA EN INFORMATICA	V	V1	I162S2C1J2V1	100%	Mapeo oficial
IINF	INGENIERIA EN INFORMATICA	V	V4	I162S2C1J2V4	100%	Mapeo oficial
ILOG	INGENIERIA EN LOGISTICA	D	V1	I162S2C77J1V1	100%	Mapeo oficial
ILOG	INGENIERIA EN LOGISTICA	O	V1	I162S2C77J4V1	95%	Mapeo online
ILOG	INGENIERIA EN LOGISTICA	V	V1	I162S2C77J2V1	100%	Mapeo oficial
IMDI	INGENIERIA EN MARKETING DIGITAL	O	V1	I162S2C112J4V1	95%	Mapeo online
IMDI	INGENIERIA EN MARKETING DIGITAL	O	V2	I162S2C112J4V2	95%	Mapeo online
IPRE	INGENIERIA EN PREVENCION DE RIESGOS	O	V1	I162S2C124J4V1	95%	Mapeo online
IPRE	INGENIERIA EN PREVENCION DE RIESGOS	O	V2	I162S2C124J4V2	95%	Mapeo online
IRHU	INGENIERIA EN RECURSOS HUMANOS	O	V1	I162S2C113J4V1	95%	Mapeo online
IRHU	INGENIERIA EN RECURSOS HUMANOS	O	V2	I162S2C113J4V2	95%	Mapeo online
ISEP	INGENIERIA EN SEGURIDAD PRIVADA	O	V1	I162S2C125J4V1	95%	Mapeo online
ISEP	INGENIERIA EN SEGURIDAD PRIVADA	O	V2	I162S2C125J4V2	95%	Mapeo online
NATP	NATUROPATIA	D	V1	I162S2C90J1V1	95%	Mapeo online
NATP	NATUROPATIA	V	V1	I162S2C90J2V1	100%	Mapeo oficial
NATP	NATUROPATIA	V	V2	I162S2C90J2V2	100%	Mapeo oficial
NETMRE	INGENIERIA EN CONECTIVIDAD Y REDES	D	V1	I162S2C3J1V1	100%	Mapeo oficial
NETMRE	INGENIERIA EN CONECTIVIDAD Y REDES	D	V2	I162S2C3J1V2	100%	Mapeo oficial
NETMRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	V1	I162S2C3J4V1	95%	Mapeo online
NETMRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	V2	I162S2C3J4V2	95%	Mapeo online
NETMRE	INGENIERIA EN CONECTIVIDAD Y REDES	V	V1	I162S2C3J2V1	100%	Mapeo oficial
NETMRE	INGENIERIA EN CONECTIVIDAD Y REDES	V	V4	I162S2C3J2V4	100%	Mapeo oficial
NITMRE	INGENIERIA EN CONECTIVIDAD Y REDES	D	V1	I162S2C3J1V1	100%	Mapeo oficial
NITMRE	INGENIERIA EN CONECTIVIDAD Y REDES	D	V2	I162S2C3J1V2	100%	Mapeo oficial
NITMRE	INGENIERIA EN CONECTIVIDAD Y REDES	V	V1	I162S2C3J2V1	100%	Mapeo oficial
NITMRE	INGENIERIA EN CONECTIVIDAD Y REDES	V	V4	I162S2C3J2V4	100%	Mapeo oficial
TACI	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	V	V1	I162S2C11J2V1	100%	Mapeo oficial
TADP	TECNICO EN ADMINISTRACION PUBLICA	O	V1	I162S2C84J4V1	95%	Mapeo online
TAMD	TECNICO EN ADMINISTRACION DE EMPRESAS	D	V1	I162S2C78J1V1	100%	Mapeo oficial
TAMD	TECNICO EN ADMINISTRACION DE EMPRESAS	O	V1	I162S2C78J4V1	95%	Mapeo online
TAMD	TECNICO EN ADMINISTRACION DE EMPRESAS	V	V1	I162S2C78J2V1	100%	Mapeo oficial
TCDA	TECNICO EN CIENCIA DE DATOS	O	V1	I162S2C89J4V1	95%	Mapeo online
TCIB	TECNICO EN CIBERSEGURIDAD	D	V1	I162S2C47J2V1	100%	Mapeo oficial
TCIB	TECNICO EN CIBERSEGURIDAD	O	V1	I162S2C47J4V1	95%	Mapeo online
TCIB	TECNICO EN CIBERSEGURIDAD	V	V1	I162S2C47J2V1	100%	Mapeo oficial
TCRE	TECNICO EN CONECTIVIDAD Y REDES	D	V1	I162S2C6J1V1	100%	Mapeo oficial
TCRE	TECNICO EN CONECTIVIDAD Y REDES	D	V2	I162S2C6J1V2	100%	Mapeo oficial
TCRE	TECNICO EN CONECTIVIDAD Y REDES	O	V2	I162S2C6J4V2	95%	Mapeo online
TCRE	TECNICO EN CONECTIVIDAD Y REDES	V	V1	I162S2C6J2V1	100%	Mapeo oficial
TCRE	TECNICO EN CONECTIVIDAD Y REDES	V	V2	I162S2C6J2V2	100%	Mapeo oficial
TCSRE	TECNICO EN CIBERSEGURIDAD	D	V1	I162S2C47J1V1	100%	Mapeo oficial
TCSRE	TECNICO EN CIBERSEGURIDAD	V	V1	I162S2C47J2V1	100%	Mapeo oficial
TCSREOL	TECNICO EN CIBERSEGURIDAD	O	V1	I162S2C47J4V1	95%	Mapeo online
TEIQ	TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA	V	V1	I162S2C114J2V1	100%	Mapeo oficial
TENS	TECNICO EN ENFERMERIA	D	V1	I162S2C91J2V1	100%	Mapeo oficial
TENS	TECNICO EN ENFERMERIA	V	V1	I162S2C91J2V1	100%	Mapeo oficial
TFAR	TECNICO EN FARMACIA	V	V1	I162S2C115J2V1	100%	Mapeo oficial
TFIN	TECNICO EN FINANZAS	O	V1	I162S2C116J4V1	95%	Mapeo online
TLOG	TECNICO EN LOGISTICA	D	V1	I162S2C79J1V1	100%	Mapeo oficial
TLOG	TECNICO EN LOGISTICA	O	V1	I162S2C79J4V1	95%	Mapeo online
TLOG	TECNICO EN LOGISTICA	V	V1	I162S2C79J2V1	100%	Mapeo oficial
TMDI	TECNICO EN MARKETING DIGITAL	O	V1	I162S2C118J4V1	95%	Mapeo online
TMIRE	TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL	V	V1	I162S2C11J2V1	100%	Mapeo oficial
TPARE	TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS	D	V1	I162S2C57J2V1	100%	Mapeo oficial
TPARE	TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS	V	V1	I162S2C57J2V1	100%	Mapeo oficial
TPAREOL	TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS	O	V1	I162S2C57J4V1	95%	Mapeo online
TPAS	TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS	D	V1	I162S2C57J2V1	100%	Mapeo oficial
TPAS	TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS	O	V1	I162S2C57J4V1	95%	Mapeo online
TPAS	TECNICO EN PROGRAMACION Y ANALISIS DE SISTEMAS	V	V1	I162S2C57J2V1	100%	Mapeo oficial
TPCRE	TECNICO EN PROGRAMACION COMPUTACIONAL	O	V1	I162S2C2J4V1	95%	Mapeo online
TPCRE	TECNICO EN PROGRAMACION COMPUTACIONAL	O	V2	I162S2C2J4V2	95%	Mapeo online
TPRE	TECNICO EN PREVENCION DE RIESGOS	O	V1	I162S2C10J4V1	95%	Mapeo online
TRHU	TECNICO EN RECURSOS HUMANOS	O	V1	I162S2C119J4V1	95%	Mapeo online
TTMRE	TECNICO EN CONECTIVIDAD Y REDES	D	V1	I162S2C6J2V1	100%	Mapeo oficial
TTMRE	TECNICO EN CONECTIVIDAD Y REDES	D	V2	I162S2C6J2V2	100%	Mapeo oficial
TTMRE	TECNICO EN CONECTIVIDAD Y REDES	V	V1	I162S2C6J2V1	100%	Mapeo oficial
TTMRE	TECNICO EN CONECTIVIDAD Y REDES	V	V2	I162S2C6J2V2	100%	Mapeo oficial
TTMREOL	TECNICO EN CONECTIVIDAD Y REDES	O	V1	I162S2C6J4V1	95%	Mapeo online
TTMREOL	TECNICO EN CONECTIVIDAD Y REDES	O	V2	I162S2C6J4V2	95%	Mapeo online
