CODCLI	CODCARR	CARRERA	JORNADA	PLAN_DE_ESTUDIO	ANOINGRESO	ANOINGRESO_FUENTE	N_CODCARPR	CODCARPR_LIST	CODCARPR_VALS	REQUIERE_REVISION
20241ICIB086	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2022	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:80|ICIB:16	SI
20241ICIB128	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2022	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:80|ICIB:16	SI
20241ICIB134	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2022	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:80|ICIB:16	SI
20241ICIB135	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2022	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:80|ICIB:16	SI
20241ICIB165	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2022	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:80|ICIB:16	SI
20241ICIB177	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2022	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:80|ICIB:16	SI
20241ICIB179	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2022	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:80|ICIB:16	SI
20251ICIB085	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2022	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:80|ICIB:16	SI
20241ICIB062	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB075	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB076	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB084	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB090	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB091	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB092	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB093	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB094	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB095	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB097	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB098	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB099	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB100	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB103	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB104	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB107	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB108	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB109	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB113	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB114	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB125	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB129	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB133	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB137	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB142	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB143	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB145	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB147	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB154	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB167	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB172	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB183	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB184	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB189	ICIB	INGENIERIA EN CIBERSEGURIDAD	O	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSREOL|ICIB	IECSREOL:117|ICIB:51	SI
20241ICIB083	ICIB	INGENIERIA EN CIBERSEGURIDAD	V	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSRE|ICIB	IECSRE:21|ICIB:7	SI
20241ICIB112	ICIB	INGENIERIA EN CIBERSEGURIDAD	V	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSRE|ICIB	IECSRE:21|ICIB:7	SI
20241ICIB123	ICIB	INGENIERIA EN CIBERSEGURIDAD	V	ICIB20241	2023	DatosAlumnos:ANOINGRESO	2	IECSRE|ICIB	IECSRE:21|ICIB:7	SI
20241ICRE078	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2022	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:102|ICRE:24	SI
20241ICRE110	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2022	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:102|ICRE:24	SI
20241ICRE150	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2022	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:102|ICRE:24	SI
20241ICRE066	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE076	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE082	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE084	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE085	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE086	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE087	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE088	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE089	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE090	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE091	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE092	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE093	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE094	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE098	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE100	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE103	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE107	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE109	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE111	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE116	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE124	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20241ICRE146	ICRE	INGENIERIA EN CONECTIVIDAD Y REDES	O	ICRE20241	2023	DatosAlumnos:ANOINGRESO	2	IETMREOL|ICRE	IETMREOL:120|ICRE:33	SI
20211IECIREOL045	IECIREOL	INGENIERIA EN INFORMATICA	O	IECIREOL20211	2021	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:64|IINF:1	SI
20241IINF079	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2022	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:68|IINF:9	SI
20241IINF162	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2022	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:68|IINF:9	SI
20241IINF170	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2022	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:68|IINF:9	SI
20241IINF076	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20241IINF080	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20241IINF081	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20241IINF087	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20241IINF092	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20241IINF094	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20241IINF095	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20241IINF100	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20241IINF107	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20241IINF114	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20241IINF116	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20241IINF121	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20241IINF129	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20241IINF152	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20241IINF168	IINF	INGENIERIA EN INFORMATICA	O	IINF20241	2023	DatosAlumnos:ANOINGRESO	2	IECIREOL|IINF	IECIREOL:114|IINF:42	SI
20211TCSREOL024	TCSREOL	TECNICO EN CIBERSEGURIDAD	O	TCSREOL20211	2021	DatosAlumnos:ANOINGRESO	2	TCSREOL|TCIB	TCSREOL:69|TCIB:2	SI
20241TCIB125	TCIB	TECNICO EN CIBERSEGURIDAD	O	TCIB20241	2021	DatosAlumnos:ANOINGRESO	2	TCSREOL|TCIB	TCSREOL:69|TCIB:2	SI
20251TCIB087	TCIB	TECNICO EN CIBERSEGURIDAD	O	TCIB20241	2022	DatosAlumnos:ANOINGRESO	2	TCSREOL|TCIB	TCSREOL:29|TCIB:3	SI
20241TCIB038	TCIB	TECNICO EN CIBERSEGURIDAD	O	TCIB20241	2023	DatosAlumnos:ANOINGRESO	2	TCSREOL|TCIB	TCSREOL:79|TCIB:41	SI
20241TCIB114	TCIB	TECNICO EN CIBERSEGURIDAD	O	TCIB20241	2023	DatosAlumnos:ANOINGRESO	2	TCSREOL|TCIB	TCSREOL:79|TCIB:41	SI
20241TCRE058	TCRE	TECNICO EN CONECTIVIDAD Y REDES	O	TCRE20241	2017	DatosAlumnos:ANOINGRESO	2	TTMREOL|TCRE	TTMREOL:19|TCRE:1	SI
20241TCRE042	TCRE	TECNICO EN CONECTIVIDAD Y REDES	O	TCRE20241	2021	DatosAlumnos:ANOINGRESO	2	TTMREOL|TCRE	TTMREOL:51|TCRE:1	SI
20241TCRE027	TCRE	TECNICO EN CONECTIVIDAD Y REDES	O	TCRE20241	2023	DatosAlumnos:ANOINGRESO	2	TTMREOL|TCRE	TTMREOL:32|TCRE:17	SI
20241TCRE035	TCRE	TECNICO EN CONECTIVIDAD Y REDES	O	TCRE20241	2023	DatosAlumnos:ANOINGRESO	2	TTMREOL|TCRE	TTMREOL:32|TCRE:17	SI
20241TCRE041	TCRE	TECNICO EN CONECTIVIDAD Y REDES	O	TCRE20241	2023	DatosAlumnos:ANOINGRESO	2	TTMREOL|TCRE	TTMREOL:32|TCRE:17	SI
20241TCRE060	TCRE	TECNICO EN CONECTIVIDAD Y REDES	O	TCRE20241	2023	DatosAlumnos:ANOINGRESO	2	TTMREOL|TCRE	TTMREOL:32|TCRE:17	SI
