FLAG_INCONSISTENCIA_VIG,CODCLI,VIG,VIG_ESPERADO_DA,ESTADOACADEMICO_DA,SITUACION_DA,DA_ESTADOACADEMICO,DA_SITUACION,ANIO_ING_ACT,SEM_ING_ACT
INCONSISTENTE,20221IETMREOL070,1,0,,,,,2026,1
INCONSISTENTE,20221IETMREOL071,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL013,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL014,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL025,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL026,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL003,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL010,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL025,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL035,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL051,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL065,1,0,,,,,2026,1
INCONSISTENTE,20221IETMREOL066,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL031,1,0,,,,,2026,1
INCONSISTENTE,20211TMIRE001,1,0,,,,,2026,1
INCONSISTENTE,20211TMIRE003,1,0,,,,,2026,1
INCONSISTENTE,20211TMIRE006,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL031,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL058,1,0,,,,,2026,1
INCONSISTENTE,20191ASREOL002,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL006,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL015,1,0,,,,,2026,1
INCONSISTENTE,20212IECIREOL006,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL012,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL019,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL022,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL040,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL047,1,0,,,,,2026,1
INCONSISTENTE,20222IECIREOL012,1,0,,,,,2026,1
INCONSISTENTE,20222IECIREOL018,1,0,,,,,2026,1
INCONSISTENTE,20222IECIREOL019,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL017,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL029,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL038,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL046,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL069,1,0,,,,,2026,1
INCONSISTENTE,20232IECIREOL011,1,0,,,,,2026,1
INCONSISTENTE,20232IECIREOL016,1,0,,,,,2026,1
INCONSISTENTE,20232IECIREOL017,1,0,,,,,2026,1
INCONSISTENTE,20221IETMREOL069,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL010,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL022,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL024,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL027,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL028,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL046,1,0,,,,,2026,1
INCONSISTENTE,20221IETMREOL064,1,0,,,,,2026,1
INCONSISTENTE,20221IETMREOL065,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL003,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL028,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL035,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL015,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL021,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL044,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL062,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL064,1,0,,,,,2026,1
INCONSISTENTE,20232IETMREOL017,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL007,1,0,,,,,2026,1
INCONSISTENTE,20211IECIREOL035,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL001,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL016,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL018,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL019,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL037,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL088,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL089,1,0,,,,,2026,1
INCONSISTENTE,20232IETMREOL012,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL015,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL016,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL019,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL034,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL005,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL014,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL033,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL043,1,0,,,,,2026,1
INCONSISTENTE,20231IETMREOL050,1,0,,,,,2026,1
INCONSISTENTE,20222IETMREOL006,1,0,,,,,2026,1
INCONSISTENTE,20211IEMORE005,1,0,,,,,2026,1
INCONSISTENTE,20211IEMORE009,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL031,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL032,1,0,,,,,2026,1
INCONSISTENTE,20191ASREOL003,1,0,,,,,2026,1
INCONSISTENTE,20191ASREOL014,1,0,,,,,2026,1
INCONSISTENTE,20211ASREOL001,1,0,,,,,2026,1
INCONSISTENTE,20211ASREOL002,1,0,,,,,2026,1
INCONSISTENTE,20211IECIREOL033,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL089,1,0,,,,,2026,1
INCONSISTENTE,20221IECSRE005,1,0,,,,,2026,1
INCONSISTENTE,20221IECSRE010,1,0,,,,,2026,1
INCONSISTENTE,20221IECSRE015,1,0,,,,,2026,1
INCONSISTENTE,20231IECSRE019,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL009,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL027,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL030,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL036,1,0,,,,,2026,1
INCONSISTENTE,20222IECIREOL007,1,0,,,,,2026,1
INCONSISTENTE,20222IECIREOL017,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL005,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL009,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL010,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL040,1,0,,,,,2026,1
INCONSISTENTE,20232IECIREOL004,1,0,,,,,2026,1
INCONSISTENTE,20251DACD002,1,0,,,,,2026,1
INCONSISTENTE,20211IECIREOL038,1,0,,,,,2026,1
INCONSISTENTE,20211IECIREOL046,1,0,,,,,2026,1
INCONSISTENTE,20212IECIREOL003,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL023,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL025,1,0,,,,,2026,1
INCONSISTENTE,20201ASREOL003,1,0,,,,,2026,1
INCONSISTENTE,20211TCSREOL021,1,0,,,,,2026,1
INCONSISTENTE,20211TCSREOL022,1,0,,,,,2026,1
INCONSISTENTE,20211TCSREOL026,1,0,,,,,2026,1
INCONSISTENTE,20211IECIREOL031,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL003,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL023,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL051,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL063,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL073,1,0,,,,,2026,1
INCONSISTENTE,20232IECIREOL022,1,0,,,,,2026,1
INCONSISTENTE,20211IECSRE009,1,0,,,,,2026,1
INCONSISTENTE,20211IECSREOL001,1,0,,,,,2026,1
INCONSISTENTE,20211IECSREOL016,1,0,,,,,2026,1
INCONSISTENTE,20211IECSREOL013,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL048,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL021,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL061,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL071,1,0,,,,,2026,1
INCONSISTENTE,20231IECIREOL081,1,0,,,,,2026,1
INCONSISTENTE,20211IECSRE006,1,0,,,,,2026,1
INCONSISTENTE,20221IECSRE012,1,0,,,,,2026,1
INCONSISTENTE,20211IECIREOL002,1,0,,,,,2026,1
INCONSISTENTE,20211IECIREOL015,1,0,,,,,2026,1
INCONSISTENTE,20211IECIREOL025,1,0,,,,,2026,1
INCONSISTENTE,20211IECIREOL035,1,0,,,,,2026,1
INCONSISTENTE,20211IECIREOL038,1,0,,,,,2026,1
INCONSISTENTE,20212IECIREOL003,1,0,,,,,2026,1
INCONSISTENTE,20221IECIREOL004,1,0,,,,,2026,1
INCONSISTENTE,20221IECSREOL016,1,0,,,,,2026,1
INCONSISTENTE,20221IECSREOL018,1,0,,,,,2026,1
INCONSISTENTE,20221IECSREOL040,1,0,,,,,2026,1
INCONSISTENTE,20221IECSREOL044,1,0,,,,,2026,1
INCONSISTENTE,20221IECSREOL052,1,0,,,,,2026,1
INCONSISTENTE,20221IECSREOL052,1,0,,,,,2026,1
INCONSISTENTE,20222IECSREOL004,1,0,,,,,2026,1
INCONSISTENTE,20251DACD005,1,2,,,,,2026,1
INCONSISTENTE,20251DACD006,1,2,,,,,2026,1
INCONSISTENTE,20251DACD008,1,2,,,,,2026,1
INCONSISTENTE,20251DACD002,1,0,,,,,2026,1
INCONSISTENTE,20251DACD006,1,2,,,,,2026,1
INCONSISTENTE,20251DACD002,1,0,,,,,2026,1
INCONSISTENTE,20251DACD005,1,2,,,,,2026,1
INCONSISTENTE,20251DACD006,1,2,,,,,2026,1
INCONSISTENTE,20251DACD008,1,2,,,,,2026,1
INCONSISTENTE,20251DACD003,1,0,,,,,2026,1
INCONSISTENTE,20251DACD002,1,0,,,,,2026,1
INCONSISTENTE,20251DACD005,1,2,,,,,2026,1
INCONSISTENTE,20251DACD008,1,2,,,,,2026,1
INCONSISTENTE,20221IECIREOL006,1,0,,,,,2026,1
INCONSISTENTE,20211IECSREOL044,1,0,,,,,2026,1
INCONSISTENTE,20231IECSREOL008,1,0,,,,,2026,1
INCONSISTENTE,20231IECSREOL016,1,0,,,,,2026,1
INCONSISTENTE,20231IECSREOL053,1,0,,,,,2026,1
INCONSISTENTE,20231IECSREOL057,1,0,,,,,2026,1
INCONSISTENTE,20231IECSREOL005,1,0,,,,,2026,1
INCONSISTENTE,20231IECSREOL024,1,0,,,,,2026,1
INCONSISTENTE,20231IECSREOL096,1,0,,,,,2026,1
INCONSISTENTE,20231IECSREOL096,1,0,,,,,2026,1
INCONSISTENTE,20232IECSREOL009,1,0,,,,,2026,1
INCONSISTENTE,20211IECSREOL026,1,0,,,,,2026,1
INCONSISTENTE,20221IECSREOL009,1,0,,,,,2026,1
INCONSISTENTE,20221IECSREOL023,1,0,,,,,2026,1
INCONSISTENTE,20221IECSREOL047,1,0,,,,,2026,1
INCONSISTENTE,20221IECSREOL048,1,0,,,,,2026,1
INCONSISTENTE,20211TCSREOL030,1,0,,,,,2026,1
INCONSISTENTE,20202TPAREOL003,1,0,,,,,2026,1
INCONSISTENTE,20202TPAREOL007,1,0,,,,,2026,1
INCONSISTENTE,20202TPAREOL007,1,0,,,,,2026,1
INCONSISTENTE,20211IECSRE004,1,0,,,,,2026,1
INCONSISTENTE,20211IECSRE012,1,0,,,,,2026,1
INCONSISTENTE,20211IEMORE011,1,0,,,,,2026,1
INCONSISTENTE,20211IEMORE012,1,0,,,,,2026,1
INCONSISTENTE,20211IEMORE016,1,0,,,,,2026,1
INCONSISTENTE,20211TPAREOL006,1,0,,,,,2026,1
INCONSISTENTE,20211TPAREOL010,1,0,,,,,2026,1
INCONSISTENTE,20221TCSREOL010,1,0,,,,,2026,1
INCONSISTENTE,20221TCSREOL024,1,0,,,,,2026,1
INCONSISTENTE,20231TCSREOL056,1,0,,,,,2026,1
INCONSISTENTE,20231IECSREOL068,1,0,,,,,2026,1
INCONSISTENTE,20231IECSREOL076,1,0,,,,,2026,1
INCONSISTENTE,20191TTMRE015,1,0,,,,,2026,1
INCONSISTENTE,20191TTMRE026,1,0,,,,,2026,1
INCONSISTENTE,20191TTMRE058,1,0,,,,,2026,1
INCONSISTENTE,20201TTMRE012,1,0,,,,,2026,1
INCONSISTENTE,20201TTMRE022,1,0,,,,,2026,1
INCONSISTENTE,20211IECSREOL005,1,0,,,,,2026,1
INCONSISTENTE,20211IECSREOL033,1,0,,,,,2026,1
INCONSISTENTE,20212IECSREOL001,1,0,,,,,2026,1
INCONSISTENTE,20212IECSREOL003,1,0,,,,,2026,1
INCONSISTENTE,20221IECSREOL006,1,0,,,,,2026,1
INCONSISTENTE,20221IECSREOL015,1,0,,,,,2026,1
INCONSISTENTE,20221IECSREOL019,1,0,,,,,2026,1
INCONSISTENTE,20221IECSREOL034,1,0,,,,,2026,1
