CODCLI	PLAN_ESTUDIOS_ALUMNO	CODIGO_CARRERA_SIES_ESPERADO	ORIGEN_MOCK
20251IINF129	SIM_IINF_D_IINF20241	I162S2C1J1V2	SIMULACION
20253ADMP009	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251AUDT047	SIM_AUDT_O_AUDT20251	I162S2C86J4V1	SIMULACION
20241ICIB128	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251CIIND022	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20251ICIB003	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20253IIND010	SIM_IIND_O_IIND20251	I162S2C87J4V2	SIMULACION
20252IADM004	SIM_IADM_O_IADM20241	I162S2C76J4V1 | I162S2C76J4V2	SIMULACION
20241ICIB189	SIM_ICIB_O_ICIB20241	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	SIMULACION
20251ICDA038	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20241ICIB192	SIM_ICIB_D_ICIB20241	I162S2C46J1V1	SIMULACION
20252ICIB025	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251AUDT025	SIM_AUDT_O_AUDT20251	I162S2C86J4V1	SIMULACION
20253ICIB017	SIM_ICIB_O_ICIB20241	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	SIMULACION
20251ADMP086	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251ICDA006	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20251TENS099	SIM_TENS_D_TENS20251	I162S2C91J1V1	SIMULACION
20241ICIB047	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IADM021	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20252IIND018	SIM_IIND_O_IIND20251	I162S2C87J4V2	SIMULACION
20231IECSREOL025	SIM_IECSREOL_O_IECSREOL20211	I162S2C46J4V3	SIMULACION
20251ADMP083	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251TENS119	SIM_TENS_D_TENS20251	I162S2C91J1V1	SIMULACION
20251IINF115	SIM_IINF_D_IINF20241	I162S2C1J1V2	SIMULACION
20251AUDT018	SIM_AUDT_O_AUDT20251	I162S2C86J4V1	SIMULACION
20251TCIB032	SIM_TCIB_D_TCIB20241	I162S2C47J1V1	SIMULACION
20251IADM040	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251IADM029	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251ICIB090	SIM_ICIB_D_ICIB20241	I162S2C46J1V1	SIMULACION
20251ICIB084	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IADM081	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20252ADMP003	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251TENS048	SIM_TENS_D_TENS20251	I162S2C91J1V1	SIMULACION
20252IIND002	SIM_IIND_O_IIND20251	I162S2C87J4V2	SIMULACION
20251IADM112	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20241ICIB100	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB101	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IADM122	SIM_IADM_O_IADM20241	I162S2C76J4V1 | I162S2C76J4V2	SIMULACION
20241ICIB153	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251TENS030	SIM_TENS_D_TENS20251	I162S2C91J1V1 | I162S2C91J2V1	SIMULACION
20251TENS112	SIM_TENS_D_TENS20251	I162S2C91J1V1	SIMULACION
20251CIIND038	SIM_CIIND_O_CIIND20251	I162S2C22J2V2 | I162S2C22J4V2	SIMULACION
20241ICIB083	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20251ICIB107	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICIB052	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICIB101	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICIB111	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20251IADM119	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251CIIND012	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20251TPAS124	SIM_TPAS_D_TPAS20241	I162S2C57J1V1	SIMULACION
20241ICIB008	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20243ICIB017	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB089	SIM_ICIB_O_ICIB20241	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	SIMULACION
20241ICIB172	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251CIIND036	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20253ICIB003	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IINF060	SIM_IINF_D_IINF20241	I162S2C1J1V2	SIMULACION
20252IIND013	SIM_IIND_O_IIND20251	I162S2C87J4V2	SIMULACION
20251AUDT034	SIM_AUDT_O_AUDT20251	I162S2C86J4V1	SIMULACION
20241ICIB125	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IADM113	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251TENS050	SIM_TENS_D_TENS20251	I162S2C91J1V1	SIMULACION
20253ADMP012	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251ADMP016	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20241ICIB160	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20253IADM008	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251ADMP020	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20241IADM015	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251ADMP021	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251AUDT035	SIM_AUDT_O_AUDT20251	I162S2C86J4V1	SIMULACION
20251ICIB025	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB152	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB098	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ADMP045	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20241ICIB026	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20241ICIB105	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICDA027	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20252AUDT011	SIM_AUDT_O_AUDT20251	I162S2C86J4V1	SIMULACION
20241ICIB137	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20252IADM009	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20252ICIB026	SIM_ICIB_O_ICIB20241	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	SIMULACION
20252AUDT023	SIM_AUDT_O_AUDT20251	I162S2C86J4V1	SIMULACION
20251ICIB006	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICIB071	SIM_ICIB_D_ICIB20241	I162S2C46J1V1	SIMULACION
20251CIIND010	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20241IINF013	SIM_IINF_D_IINF20241	I162S2C1J1V2	SIMULACION
20241ICIB084	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICIB063	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20253ICIB018	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20241ICIB080	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20252ADMP008	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20243ICIB013	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251TENS066	SIM_TENS_D_TENS20251	I162S2C91J1V1	SIMULACION
20241ICIB123	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20251ADMP013	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251CIIND025	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20251ICIB034	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICIB091	SIM_ICIB_O_ICIB20241	I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	SIMULACION
20231IECSREOL009	SIM_IECSREOL_O_IECSREOL20211	I162S2C46J1V1 | I162S2C46J2V1 | I162S2C46J2V2 | I162S2C46J2V3 | I162S2C46J4V1 | I162S2C46J4V2 | I162S2C46J4V3	SIMULACION
20251AUDT011	SIM_AUDT_O_AUDT20251	I162S2C86J4V1	SIMULACION
20251ADMP044	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20251ICIB105	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICDA036	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20251ICIB075	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB007	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICIB010	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241TPAS176	SIM_TPAS_D_TPAS20241	I162S2C57J1V1 | I162S2C57J2V1	SIMULACION
20241IINF167	SIM_IINF_D_IINF20241	I162S2C1J1V2	SIMULACION
20241ICIB141	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20242ICIB018	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB143	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICIB102	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IINF071	SIM_IINF_D_IINF20241	I162S2C1J1V2	SIMULACION
20252IIND024	SIM_IIND_O_IIND20251	I162S2C87J4V2	SIMULACION
20251ICIB019	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IADM083	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251TENS007	SIM_TENS_D_TENS20251	I162S2C91J1V1	SIMULACION
20243ICIB006	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ADMP002	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20241ICIB103	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB188	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251CIIND024	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20241ICIB134	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251TENS094	SIM_TENS_D_TENS20251	I162S2C91J1V1	SIMULACION
20253ADMP006	SIM_ADMP_O_ADMP20251	I162S2C83J4V1	SIMULACION
20241TCIB088	SIM_TCIB_D_TCIB20241	I162S2C47J1V1 | I162S2C47J2V1	SIMULACION
20241ICIB184	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20242ICIB001	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251TENS017	SIM_TENS_D_TENS20251	I162S2C91J1V1	SIMULACION
20252IIND006	SIM_IIND_O_IIND20251	I162S2C87J4V2	SIMULACION
20251IADM110	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251TPAS162	SIM_TPAS_D_TPAS20241	I162S2C57J1V1	SIMULACION
20253IADM009	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20252IADM021	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251ADMP035	SIM_ADMP_O_ADMP20251	I162S2C83J4V1 | I162S2C83J4V2	SIMULACION
20251ICIB087	SIM_ICIB_D_ICIB20241	I162S2C46J1V1	SIMULACION
20251IADM079	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251CIIND021	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20251IADM013	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20241ICIB173	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20231IECSRE019	SIM_IECSRE_V_IECSRE20211	I162S2C46J2V1	SIMULACION
20251IADM099	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251ICDA033	SIM_ICDA_O_ICDA20251	I162S2C88J4V1	SIMULACION
20251IADM103	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20251ADMP047	SIM_ADMP_O_ADMP20251	I162S2C83J4V1 | I162S2C83J4V2	SIMULACION
20241ICIB071	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB062	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251TCIB051	SIM_TCIB_D_TCIB20241	I162S2C47J1V1	SIMULACION
20251IADM002	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20241ICIB200	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251ICIB109	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251IADM093	SIM_IADM_O_IADM20241	I162S2C76J4V1	SIMULACION
20241TPAS067	SIM_TPAS_D_TPAS20241	I162S2C57J1V1	SIMULACION
20241ICIB029	SIM_ICIB_V_ICIB20241	I162S2C46J2V1	SIMULACION
20241ICIB155	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251CIIND033	SIM_CIIND_O_CIIND20251	I162S2C22J4V2	SIMULACION
20251TENS052	SIM_TENS_D_TENS20251	I162S2C91J1V1	SIMULACION
20241ICIB104	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20241ICIB055	SIM_ICIB_O_ICIB20241	I162S2C46J4V3	SIMULACION
20251TPAS087	SIM_TPAS_D_TPAS20241	I162S2C57J1V1 | I162S2C57J2V1	SIMULACION
20251AUDT001	SIM_AUDT_O_AUDT20251	I162S2C86J4V1	SIMULACION
