CODIGO_CARRERA_SIES_FINAL	CODCLI_UNICOS	FILAS_MATCH	COD_CAR_UNICOS	JOR_UNICAS	ESTADO
I162S2C101J4V1	0	0			SIN_MATCH
I162S2C102J4V1	0	0			SIN_MATCH
I162S2C103J4V1	0	0			SIN_MATCH
I162S2C104J4V1	0	0			SIN_MATCH
I162S2C105J4V1	0	0			SIN_MATCH
I162S2C10J1V1	0	0			SIN_MATCH
I162S2C10J2V1	0	0			SIN_MATCH
I162S2C10J4V1	0	0			SIN_MATCH
I162S2C111J4V1	0	0			SIN_MATCH
I162S2C111J4V2	0	0			SIN_MATCH
I162S2C112J4V1	1	1	112	4	CON_MATCH
I162S2C112J4V2	0	0			SIN_MATCH
I162S2C113J4V1	0	0			SIN_MATCH
I162S2C113J4V2	0	0			SIN_MATCH
I162S2C114J2V1	0	0			SIN_MATCH
I162S2C115J2V1	0	0			SIN_MATCH
I162S2C116J4V1	0	0			SIN_MATCH
I162S2C117J4V1	0	0			SIN_MATCH
I162S2C118J4V1	0	0			SIN_MATCH
I162S2C119J4V1	0	0			SIN_MATCH
I162S2C11J1V1	0	0			SIN_MATCH
I162S2C11J2V1	0	0			SIN_MATCH
I162S2C11J4V1	0	0			SIN_MATCH
I162S2C124J4V1	0	0			SIN_MATCH
I162S2C124J4V2	0	0			SIN_MATCH
I162S2C125J4V1	0	0			SIN_MATCH
I162S2C125J4V2	0	0			SIN_MATCH
I162S2C13J1V1	0	0			SIN_MATCH
I162S2C13J2V1	0	0			SIN_MATCH
I162S2C1J1V1	0	0			SIN_MATCH
I162S2C1J1V2	29	29	1	1	CON_MATCH
I162S2C1J2V1	0	0			SIN_MATCH
I162S2C1J2V2	0	0			SIN_MATCH
I162S2C1J2V3	0	0			SIN_MATCH
I162S2C1J2V4	0	0			SIN_MATCH
I162S2C1J4V1	0	0			SIN_MATCH
I162S2C1J4V2	239	239	1	4	CON_MATCH
I162S2C1J4V3	77	77	1	4	CON_MATCH
I162S2C21J1V1	0	0			SIN_MATCH
I162S2C21J2V1	0	0			SIN_MATCH
