metrica,valor
control_csv_filas,2587
oficial_xlsx_filas,2587
stage32_filas,2587
control_columnas,32
oficial_columnas,32
stage32_columnas,32
schema_control_32,True
schema_oficial_32,True
schema_stage32_32,True
CONTROL_vacios_COD_CAR,0
CONTROL_vacios_MODALIDAD,0
CONTROL_vacios_JOR,0
CONTROL_vacios_VERSION,0
CONTROL_vacios_NIV_ACA,0
CONTROL_vacios_FOR_ING_ACT,0
CONTROL_vacios_SIT_FON_SOL,0
CONTROL_vacios_VIG,0
CONTROL_vacios_FECHA_MATRICULA,0
OFICIAL_vacios_COD_CAR,0
OFICIAL_vacios_MODALIDAD,0
OFICIAL_vacios_JOR,0
OFICIAL_vacios_VERSION,0
OFICIAL_vacios_NIV_ACA,0
OFICIAL_vacios_FOR_ING_ACT,0
OFICIAL_vacios_SIT_FON_SOL,0
OFICIAL_vacios_VIG,0
OFICIAL_vacios_FECHA_MATRICULA,0
STAGE32_vacios_COD_CAR,0
STAGE32_vacios_MODALIDAD,0
STAGE32_vacios_JOR,0
STAGE32_vacios_VERSION,0
STAGE32_vacios_NIV_ACA,0
STAGE32_vacios_FOR_ING_ACT,0
STAGE32_vacios_SIT_FON_SOL,0
STAGE32_vacios_VIG,0
STAGE32_vacios_FECHA_MATRICULA,0
control_eq_stage,True
oficial_eq_stage,True
issues_total,0
apto_oficial_matricula_unificada,True
apto_oficial_avance_curricular,True
