metrica,valor
source_sheet,Hoja1
sample_codcli_unicos,50
sample_rows_archivo_listo_subida,292
sample_rows_stage32,51
sample_rows_control,51
sample_rows_oficial,51
sample_rows_fuente,292
sample_rows_matricula_ac_control,51
issues_total_reporte,0
apto_oficial_matricula_unificada,True
apto_oficial_avance_curricular,True
stage32_vacios_TIPO_DOC,0
control_vacios_TIPO_DOC,0
oficial_vacios_TIPO_DOC,0
stage32_vacios_N_DOC,0
control_vacios_N_DOC,0
oficial_vacios_N_DOC,0
stage32_vacios_DV,0
control_vacios_DV,0
oficial_vacios_DV,0
stage32_vacios_PRIMER_APELLIDO,0
control_vacios_PRIMER_APELLIDO,0
oficial_vacios_PRIMER_APELLIDO,0
stage32_vacios_SEGUNDO_APELLIDO,0
control_vacios_SEGUNDO_APELLIDO,0
oficial_vacios_SEGUNDO_APELLIDO,0
stage32_vacios_NOMBRE,0
control_vacios_NOMBRE,0
oficial_vacios_NOMBRE,0
stage32_vacios_SEXO,0
control_vacios_SEXO,0
oficial_vacios_SEXO,0
stage32_vacios_FECH_NAC,0
control_vacios_FECH_NAC,0
oficial_vacios_FECH_NAC,0
stage32_vacios_NAC,0
control_vacios_NAC,0
oficial_vacios_NAC,0
stage32_vacios_PAIS_EST_SEC,0
control_vacios_PAIS_EST_SEC,0
oficial_vacios_PAIS_EST_SEC,0
stage32_vacios_COD_SED,0
control_vacios_COD_SED,0
oficial_vacios_COD_SED,0
stage32_vacios_COD_CAR,0
control_vacios_COD_CAR,0
oficial_vacios_COD_CAR,0
stage32_vacios_MODALIDAD,0
control_vacios_MODALIDAD,0
oficial_vacios_MODALIDAD,0
stage32_vacios_JOR,0
control_vacios_JOR,0
oficial_vacios_JOR,0
stage32_vacios_VERSION,0
control_vacios_VERSION,0
oficial_vacios_VERSION,0
stage32_vacios_FOR_ING_ACT,0
control_vacios_FOR_ING_ACT,0
oficial_vacios_FOR_ING_ACT,0
stage32_vacios_ANIO_ING_ACT,0
control_vacios_ANIO_ING_ACT,0
oficial_vacios_ANIO_ING_ACT,0
stage32_vacios_SEM_ING_ACT,0
control_vacios_SEM_ING_ACT,0
oficial_vacios_SEM_ING_ACT,0
stage32_vacios_ANIO_ING_ORI,0
control_vacios_ANIO_ING_ORI,0
oficial_vacios_ANIO_ING_ORI,0
stage32_vacios_SEM_ING_ORI,0
control_vacios_SEM_ING_ORI,0
oficial_vacios_SEM_ING_ORI,0
stage32_vacios_ASI_INS_ANT,0
control_vacios_ASI_INS_ANT,0
oficial_vacios_ASI_INS_ANT,0
stage32_vacios_ASI_APR_ANT,0
control_vacios_ASI_APR_ANT,0
oficial_vacios_ASI_APR_ANT,0
stage32_vacios_PROM_PRI_SEM,0
control_vacios_PROM_PRI_SEM,0
oficial_vacios_PROM_PRI_SEM,0
stage32_vacios_PROM_SEG_SEM,0
control_vacios_PROM_SEG_SEM,0
oficial_vacios_PROM_SEG_SEM,0
stage32_vacios_ASI_INS_HIS,0
control_vacios_ASI_INS_HIS,0
oficial_vacios_ASI_INS_HIS,0
stage32_vacios_ASI_APR_HIS,0
control_vacios_ASI_APR_HIS,0
oficial_vacios_ASI_APR_HIS,0
stage32_vacios_NIV_ACA,0
control_vacios_NIV_ACA,0
oficial_vacios_NIV_ACA,0
stage32_vacios_SIT_FON_SOL,0
control_vacios_SIT_FON_SOL,0
oficial_vacios_SIT_FON_SOL,0
stage32_vacios_SUS_PRE,0
control_vacios_SUS_PRE,0
oficial_vacios_SUS_PRE,0
stage32_vacios_FECHA_MATRICULA,0
control_vacios_FECHA_MATRICULA,0
oficial_vacios_FECHA_MATRICULA,0
stage32_vacios_REINCORPORACION,0
control_vacios_REINCORPORACION,0
oficial_vacios_REINCORPORACION,0
stage32_vacios_VIG,0
control_vacios_VIG,0
oficial_vacios_VIG,0
