Cód. Institución	Nombre Institución	Cód. Carrera	Nombre Programa	Mención o Especialidad	Horario	Comuna	Variable	2025	2026	Diferencia 2026 - 2025	Diferencia% 2026 - 2025
2024	IP SAN SEBASTIÁN	6677	Ingeniería en Informática		Diurno	Santiago	Matrícula Primer Año	17		-17	-100,0%
2024	IP SAN SEBASTIÁN	6677	Ingeniería en Informática		Diurno	Santiago	Matrícula Total	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	6677	Ingeniería en Informática		Diurno	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	6677	Ingeniería en Informática		Diurno	Santiago	Valor arancel	2.130.000		-2.130.000	-100,0%
2024	IP SAN SEBASTIÁN	6677	Ingeniería en Informática		Diurno	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	6678	Ingeniería en Informática		Vespertino	Santiago	Matrícula Primer Año	19		-19	-100,0%
2024	IP SAN SEBASTIÁN	6678	Ingeniería en Informática		Vespertino	Santiago	Matrícula Total	33		-33	-100,0%
2024	IP SAN SEBASTIÁN	6678	Ingeniería en Informática		Vespertino	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	6678	Ingeniería en Informática		Vespertino	Santiago	Valor arancel	2.310.000		-2.310.000	-100,0%
2024	IP SAN SEBASTIÁN	6678	Ingeniería en Informática		Vespertino	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	6680	Ingeniería en Conectividad y Redes		Vespertino	Santiago	Matrícula Primer Año	10		-10	-100,0%
2024	IP SAN SEBASTIÁN	6680	Ingeniería en Conectividad y Redes		Vespertino	Santiago	Matrícula Total	15		-15	-100,0%
2024	IP SAN SEBASTIÁN	6680	Ingeniería en Conectividad y Redes		Vespertino	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	6680	Ingeniería en Conectividad y Redes		Vespertino	Santiago	Valor arancel	2.350.000		-2.350.000	-100,0%
2024	IP SAN SEBASTIÁN	6680	Ingeniería en Conectividad y Redes		Vespertino	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	6684	TNS en Conectividad y Redes		Vespertino	Santiago	Matrícula Primer Año	7		-7	-100,0%
2024	IP SAN SEBASTIÁN	6684	TNS en Conectividad y Redes		Vespertino	Santiago	Matrícula Total	8		-8	-100,0%
2024	IP SAN SEBASTIÁN	6684	TNS en Conectividad y Redes		Vespertino	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	6684	TNS en Conectividad y Redes		Vespertino	Santiago	Valor arancel	2.350.000		-2.350.000	-100,0%
2024	IP SAN SEBASTIÁN	6684	TNS en Conectividad y Redes		Vespertino	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	32513	TNS en Automatización y Control Industrial		Vespertino	Santiago	Matrícula Primer Año	0		0	
2024	IP SAN SEBASTIÁN	32513	TNS en Automatización y Control Industrial		Vespertino	Santiago	Matrícula Total	1		-1	-100,0%
2024	IP SAN SEBASTIÁN	32513	TNS en Automatización y Control Industrial		Vespertino	Santiago	Vacantes	1		-1	-100,0%
2024	IP SAN SEBASTIÁN	36744	TNS en Conectividad y Redes		Otro	Santiago	Matrícula Primer Año	38		-38	-100,0%
2024	IP SAN SEBASTIÁN	36744	TNS en Conectividad y Redes		Otro	Santiago	Matrícula Total	63		-63	-100,0%
2024	IP SAN SEBASTIÁN	36744	TNS en Conectividad y Redes		Otro	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	36744	TNS en Conectividad y Redes		Otro	Santiago	Valor arancel	2.090.000		-2.090.000	-100,0%
2024	IP SAN SEBASTIÁN	36744	TNS en Conectividad y Redes		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	38816	Ingeniería en Conectividad y Redes		Otro	Santiago	Matrícula Primer Año	128		-128	-100,0%
2024	IP SAN SEBASTIÁN	38816	Ingeniería en Conectividad y Redes		Otro	Santiago	Matrícula Total	287		-287	-100,0%
2024	IP SAN SEBASTIÁN	38816	Ingeniería en Conectividad y Redes		Otro	Santiago	Vacantes	100		-100	-100,0%
2024	IP SAN SEBASTIÁN	38816	Ingeniería en Conectividad y Redes		Otro	Santiago	Valor arancel	2.090.000		-2.090.000	-100,0%
2024	IP SAN SEBASTIÁN	38816	Ingeniería en Conectividad y Redes		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	38817	Ingeniería en Informática		Otro	Santiago	Matrícula Primer Año	151		-151	-100,0%
2024	IP SAN SEBASTIÁN	38817	Ingeniería en Informática		Otro	Santiago	Matrícula Total	288		-288	-100,0%
2024	IP SAN SEBASTIÁN	38817	Ingeniería en Informática		Otro	Santiago	Vacantes	1		-1	-100,0%
2024	IP SAN SEBASTIÁN	38817	Ingeniería en Informática		Otro	Santiago	Valor arancel	2.150.000		-2.150.000	-100,0%
2024	IP SAN SEBASTIÁN	38817	Ingeniería en Informática		Otro	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	40711	TNS en Ciberseguridad		Vespertino	Santiago	Matrícula Primer Año	10		-10	-100,0%
2024	IP SAN SEBASTIÁN	40711	TNS en Ciberseguridad		Vespertino	Santiago	Matrícula Total	15		-15	-100,0%
2024	IP SAN SEBASTIÁN	40711	TNS en Ciberseguridad		Vespertino	Santiago	Vacantes	30		-30	-100,0%
2024	IP SAN SEBASTIÁN	40711	TNS en Ciberseguridad		Vespertino	Santiago	Valor arancel	2.270.000		-2.270.000	-100,0%
2024	IP SAN SEBASTIÁN	40711	TNS en Ciberseguridad		Vespertino	Santiago	Valor matrícula	177.000		-177.000	-100,0%
2024	IP SAN SEBASTIÁN	40713	Ingeniería en Ciberseguridad		Diurno	Santiago	Matrícula Primer Año	18		-18	-100,0%
2024	IP SAN SEBASTIÁN	40713	Ingeniería en Ciberseguridad		Diurno	Santiago	Matrícula Total	33		-33	-100,0%
