CODIGO_UNICO,NOMBRE,COLUMNA,VALOR_FINAL,FUENTE_USADA,METODO_MATCH,ESTADO,OBSERVACION,ESTADO_FILA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Sede,Santiago,MAPEO_COD_SEDE_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Tipo de Carrera,Diplomado,MAPEO_COD_NIVEL_CARRERA_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Nombre,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,DICCIONARIO_CODIGO_UNICO_DERIVADO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Mención o Especialidad,No aplica,REGLA_FORMULARIO_SIN_MENCION_EXPLICITA,MATCH_ESTRUCTURAL_R1_EXACTO,OK,No se detecta mención separada en fuente estructural.,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Año de inicio de Actividades,2025,DICCIONARIO_CODIGO_UNICO_DERIVADO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Campus,República,MAPEO_COD_SEDE_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Horario,Otro,MAPEO_COD_JORNADA_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Estado,Programa o Carrera Nueva(o),REGLA_OPERATIVA_PROGRAMAS_FALTANTES,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Tipo Programa,Programa Regular,MAPEO_COD_TIPO_PLAN_CARRERA_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Detalle del Tipo de Programa (especiales),No aplica,REGLA_TIPO_PROGRAMA,MATCH_ESTRUCTURAL_R1_EXACTO,OK,No aplica solo si Tipo Programa=Programa Regular.,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Modalidad del Programa,No presencial,MAPEO_MODALIDAD_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Área del Conocimiento,Salud,MAPEO_AREA_ACTUAL_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Sub Área,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,No existe subárea directa en diccionario/matriz/referencia exacta.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Carrera Genérica,,SIN_REFERENCIA_EXACTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Solo se acepta referencia exacta por Codigo SIES.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Título que otorga el programa,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,DICCIONARIO_CODIGO_UNICO_DERIVADO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Grado Académico que otorga el programa,,SIN_REFERENCIA_EXACTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Solo se acepta referencia exacta por Codigo SIES.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Dependencia,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,No existe dependencia directa en fuentes autorizadas.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Régimen,Semestral,MAPEO_REGIMEN_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Duración del programa en Semestres,1,DICCIONARIO_CODIGO_UNICO_DERIVADO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Ingreso Directo,,MAPEO_REQUISITO_INGRESO_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,No existe fuente directa fuerte para esta columna.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Ingreso desde un plan Común,No aplica,REGLA_AUSENCIA_EVIDENCIA_PLAN_COMUN,MATCH_ESTRUCTURAL_R1_EXACTO,OK,No hay evidencia de plan común en fuentes estructurales.,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Ingreso desde Bachillerato,No aplica,REGLA_AUSENCIA_EVIDENCIA_BACHILLERATO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,No hay evidencia de bachillerato en fuentes estructurales.,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Otro Tipo de Ingreso,,REGLA_REQUISITO_INGRESO,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,No aplica solo si requisito ingreso estructural indica ingreso directo.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Ingreso otro,,REGLA_REQUISITO_INGRESO,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,No aplica solo si no hay otro tipo de ingreso.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,Observaciones,Registro de prueba generado desde match estructural fuerte; revisar columnas no aptas en auditoría antes de subir.,MENSAJE_OPERATIVO_NO_TECNICO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,FECHA_ADMISION_INICIAL,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,MALLA_CURRICULAR,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,PERFIL_EGRESO,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,TEXTO_REQUISITO_INGRESO,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,LICENCIA_ENS_MEDIA,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,NOTAS_ENS_MEDIA,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,PROMEDIO_MIN_ENS_MEDIA,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,RECONOCIMIENTOS_APREN_PREVIOS,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,EXPERIENCIA_LABORAL,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,OTROS_REQUISITOS,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,MAIL_DIFUSION_CARRERA,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,FORMATO_VALOR,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,VALOR_MATRICULA_ANUAL,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,COSTO_TITULACION,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,VALOR_CERTIFICADO_DIPLOMA,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,ARANCEL_ANUAL,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,VIGENCIA_CARRERA,,SIN_FUENTE_DIRECTA,MATCH_ESTRUCTURAL_R1_EXACTO,SIN_FUENTE,Campo sin fuente directa cuando queda vacío.,NO_APTA
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Sede,Santiago,MAPEO_COD_SEDE_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Tipo de Carrera,Diplomado,MAPEO_COD_NIVEL_CARRERA_LOCAL,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,Nombre,DIPLOMADO SALUD CON FOCO EN MIGRACION,DICCIONARIO_CODIGO_UNICO_DERIVADO,MATCH_ESTRUCTURAL_R1_EXACTO,OK,,
