HOJA;N_COL;COLUMNA;FILAS;VACIOS;UNICOS;EJEMPLOS
RESUMEN_EJECUTIVO;1;CAMPO;13;0;13;FECHA_GENERACION | FUENTE_PRINCIPAL | FUENTE_EXISTENTES_INDICES | TOTAL_OFERTA_MATRIZ | TOTAL_VIGENTES
RESUMEN_EJECUTIVO;2;VALOR;13;0;12;2026-06-04 08:23:56 | PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz | indices_2025/cned/data/listado_referencia_cned.tsv | 139 | 64
RESUMEN_EJECUTIVO;3;DETALLE;13;0;13;Timestamp de ejecución | input/PROMEDIOSDEALUMNOS_7804.xlsx | Listado base de programas existentes | Total de registros en matriz | Todos los vigentes en matriz
PROGRAMAS_FALTANTES_PARA_CREAR;1;CODIGO_UNICO;71;0;71;I162S2C101J4V1 | I162S2C102J4V1 | I162S2C103J4V1 | I162S2C104J4V1 | I162S2C105J4V1
PROGRAMAS_FALTANTES_PARA_CREAR;2;CODIGO_IES_NUM;71;0;1;162
PROGRAMAS_FALTANTES_PARA_CREAR;3;COD_SEDE;71;0;2;2 | 3
PROGRAMAS_FALTANTES_PARA_CREAR;4;COD_CARRERA_DERIVADO;71;0;51;101 | 102 | 103 | 104 | 105
PROGRAMAS_FALTANTES_PARA_CREAR;5;JORNADA;71;0;4;4 | 1 | 2 | 3
PROGRAMAS_FALTANTES_PARA_CREAR;6;VERSION_DERIVADA;71;0;3;1 | 2 | 3
PROGRAMAS_FALTANTES_PARA_CREAR;7;NOMBRE_CARRERA_ORIGINAL;71;0;51;DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD
PROGRAMAS_FALTANTES_PARA_CREAR;8;NOMBRE_CARRERA_NORMALIZADO;71;0;51;DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD
PROGRAMAS_FALTANTES_PARA_CREAR;9;MODALIDAD_ORIGINAL;71;0;3;3 | 1 | 2
PROGRAMAS_FALTANTES_PARA_CREAR;10;TIPO_PLAN_CARRERA_ORIGINAL;71;0;2;1 | 3
PROGRAMAS_FALTANTES_PARA_CREAR;11;CARACT_PLAN_ESPECIAL_ORIGINAL;71;0;1;NO APLICA
PROGRAMAS_FALTANTES_PARA_CREAR;12;NIVEL_GLOBAL;71;0;2;3 | 1
PROGRAMAS_FALTANTES_PARA_CREAR;13;NIVEL_CARRERA;71;0;3;5 | 1 | 2
PROGRAMAS_FALTANTES_PARA_CREAR;14;VIGENCIA;71;0;1;1
PROGRAMAS_FALTANTES_PARA_CREAR;15;ESTADO_CRUCE_INDICES;71;0;1;FALTA_CREAR_EN_INDICES
