Sede	Tipo de Carrera	Nombre	Mención o Especialidad	Año de inicio de Actividades	Campus	Horario	Estado	Tipo Programa	Detalle del Tipo de Programa (especiales)	Modalidad del Programa	Área del Conocimiento	Sub Área	Carrera Genérica	Título que otorga el programa	Grado Académico que otorga el programa	Dependencia	Régimen	Duración del programa en Semestres	Ingreso Directo	Ingreso desde un plan Común	Ingreso desde Bachillerato	Otro Tipo de Ingreso	Ingreso otro	Observaciones	FECHA_ADMISION_INICIAL	MALLA_CURRICULAR	PERFIL_EGRESO	TEXTO_REQUISITO_INGRESO	LICENCIA_ENS_MEDIA	NOTAS_ENS_MEDIA	PROMEDIO_MIN_ENS_MEDIA	RECONOCIMIENTOS_APREN_PREVIOS	EXPERIENCIA_LABORAL	OTROS_REQUISITOS	MAIL_DIFUSION_CARRERA	FORMATO_VALOR	VALOR_MATRICULA_ANUAL	COSTO_TITULACION	VALOR_CERTIFICADO_DIPLOMA	ARANCEL_ANUAL	VIGENCIA_CARRERA
Santiago	Diplomado	DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO	No aplica	2025	República	Otro	Programa o Carrera Nueva(o)	Programa Regular	No aplica	No presencial	REVISAR_AREA_CODIGO_8	REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA	REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA	DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO	REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA	REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA	REVISAR_REGIMEN_CODIGO_1	1	REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2	NO_APLICA_SIN_EVIDENCIA_PLAN_COMUN	NO_APLICA_SIN_EVIDENCIA_BACHILLERATO	REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2	REVISAR_DESCRIPCION_OTRO_INGRESO_SIN_TEXTO_FUENTE	Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.	REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE	REVISAR_MALLA_CURRICULAR_SIN_FUENTE	REVISAR_PERFIL_EGRESO_SIN_FUENTE	REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE	REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE	REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE	REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE	REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE	REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE	REVISAR_OTROS_REQUISITOS_SIN_FUENTE	REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE	REVISAR_FORMATO_VALOR_SIN_FUENTE	REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE	REVISAR_COSTO_TITULACION_SIN_FUENTE	REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE	REVISAR_ARANCEL_ANUAL_SIN_FUENTE	REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA
Santiago	Diplomado	DIPLOMADO SALUD CON FOCO EN MIGRACION	No aplica	2025	República	Otro	Programa o Carrera Nueva(o)	Programa Regular	No aplica	No presencial	REVISAR_AREA_CODIGO_8	REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA	REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA	DIPLOMADO SALUD CON FOCO EN MIGRACION	REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA	REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA	REVISAR_REGIMEN_CODIGO_1	1	REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2	NO_APLICA_SIN_EVIDENCIA_PLAN_COMUN	NO_APLICA_SIN_EVIDENCIA_BACHILLERATO	REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2	REVISAR_DESCRIPCION_OTRO_INGRESO_SIN_TEXTO_FUENTE	Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.	REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE	REVISAR_MALLA_CURRICULAR_SIN_FUENTE	REVISAR_PERFIL_EGRESO_SIN_FUENTE	REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE	REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE	REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE	REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE	REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE	REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE	REVISAR_OTROS_REQUISITOS_SIN_FUENTE	REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE	REVISAR_FORMATO_VALOR_SIN_FUENTE	REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE	REVISAR_COSTO_TITULACION_SIN_FUENTE	REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE	REVISAR_ARANCEL_ANUAL_SIN_FUENTE	REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA
Santiago	Diplomado	DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD	No aplica	2025	República	Otro	Programa o Carrera Nueva(o)	Programa Regular	No aplica	No presencial	REVISAR_AREA_CODIGO_8	REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA	REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA	DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN APS	REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA	REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA	REVISAR_REGIMEN_CODIGO_1	1	REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2	NO_APLICA_SIN_EVIDENCIA_PLAN_COMUN	NO_APLICA_SIN_EVIDENCIA_BACHILLERATO	REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2	REVISAR_DESCRIPCION_OTRO_INGRESO_SIN_TEXTO_FUENTE	Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.	REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE	REVISAR_MALLA_CURRICULAR_SIN_FUENTE	REVISAR_PERFIL_EGRESO_SIN_FUENTE	REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE	REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE	REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE	REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE	REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE	REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE	REVISAR_OTROS_REQUISITOS_SIN_FUENTE	REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE	REVISAR_FORMATO_VALOR_SIN_FUENTE	REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE	REVISAR_COSTO_TITULACION_SIN_FUENTE	REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE	REVISAR_ARANCEL_ANUAL_SIN_FUENTE	REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA
Santiago	Diplomado	DIPLOMADO EN INNOVACION PARA LA DOCENCIA	No aplica	2025	República	Otro	Programa o Carrera Nueva(o)	Programa Regular	No aplica	No presencial	REVISAR_AREA_CODIGO_6	REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA	REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA	DIPLOMADO EN INNOVACION PARA LA DOCENCIA	REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA	REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA	REVISAR_REGIMEN_CODIGO_1	1	REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2	NO_APLICA_SIN_EVIDENCIA_PLAN_COMUN	NO_APLICA_SIN_EVIDENCIA_BACHILLERATO	REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2	REVISAR_DESCRIPCION_OTRO_INGRESO_SIN_TEXTO_FUENTE	Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.	REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE	REVISAR_MALLA_CURRICULAR_SIN_FUENTE	REVISAR_PERFIL_EGRESO_SIN_FUENTE	REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE	REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE	REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE	REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE	REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE	REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE	REVISAR_OTROS_REQUISITOS_SIN_FUENTE	REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE	REVISAR_FORMATO_VALOR_SIN_FUENTE	REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE	REVISAR_COSTO_TITULACION_SIN_FUENTE	REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE	REVISAR_ARANCEL_ANUAL_SIN_FUENTE	REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA
Santiago	Diplomado	DIPLOMADO EN HUMANIZACION EN SALUD	No aplica	2025	República	Otro	Programa o Carrera Nueva(o)	Programa Regular	No aplica	No presencial	REVISAR_AREA_CODIGO_8	REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA	REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA	DIPLOMADO EN HUMANIZACION EN SALUD	REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA	REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA	REVISAR_REGIMEN_CODIGO_1	1	REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2	NO_APLICA_SIN_EVIDENCIA_PLAN_COMUN	NO_APLICA_SIN_EVIDENCIA_BACHILLERATO	REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2	REVISAR_DESCRIPCION_OTRO_INGRESO_SIN_TEXTO_FUENTE	Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.	REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE	REVISAR_MALLA_CURRICULAR_SIN_FUENTE	REVISAR_PERFIL_EGRESO_SIN_FUENTE	REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE	REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE	REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE	REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE	REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE	REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE	REVISAR_OTROS_REQUISITOS_SIN_FUENTE	REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE	REVISAR_FORMATO_VALOR_SIN_FUENTE	REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE	REVISAR_COSTO_TITULACION_SIN_FUENTE	REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE	REVISAR_ARANCEL_ANUAL_SIN_FUENTE	REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA
Santiago	Técnico Nivel Superior	TECNICO EN PREVENCION DE RIESGOS	No aplica	2013	República	Diurno	Programa o Carrera Nueva(o)	Programa Regular	No aplica	Presencial	REVISAR_AREA_CODIGO_9	REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA	REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA	TECNICO EN PREVENCION DE RIESGOS	REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA	REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA	REVISAR_REGIMEN_CODIGO_1	5	REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_1	NO_APLICA_SIN_EVIDENCIA_PLAN_COMUN	NO_APLICA_SIN_EVIDENCIA_BACHILLERATO	NO_APLICA_SIN_EVIDENCIA_OTRO_INGRESO	NO APLICA	Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.	REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE	REVISAR_MALLA_CURRICULAR_SIN_FUENTE	REVISAR_PERFIL_EGRESO_SIN_FUENTE	REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE	REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE	REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE	REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE	REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE	REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE	REVISAR_OTROS_REQUISITOS_SIN_FUENTE	REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE	REVISAR_FORMATO_VALOR_SIN_FUENTE	REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE	REVISAR_COSTO_TITULACION_SIN_FUENTE	REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE	REVISAR_ARANCEL_ANUAL_SIN_FUENTE	REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA
Santiago	Técnico Nivel Superior	TECNICO EN PREVENCION DE RIESGOS	No aplica	2026	República	Otro	Programa o Carrera Nueva(o)	Programa Regular	No aplica	No presencial	REVISAR_AREA_CODIGO_9	REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA	REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA	TECNICO EN PREVENCION DE RIESGOS	REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA	REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA	REVISAR_REGIMEN_CODIGO_2	5	REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_1	NO_APLICA_SIN_EVIDENCIA_PLAN_COMUN	NO_APLICA_SIN_EVIDENCIA_BACHILLERATO	NO_APLICA_SIN_EVIDENCIA_OTRO_INGRESO	NO APLICA	Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.	REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE	REVISAR_MALLA_CURRICULAR_SIN_FUENTE	REVISAR_PERFIL_EGRESO_SIN_FUENTE	REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE	REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE	REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE	REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE	REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE	REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE	REVISAR_OTROS_REQUISITOS_SIN_FUENTE	REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE	REVISAR_FORMATO_VALOR_SIN_FUENTE	REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE	REVISAR_COSTO_TITULACION_SIN_FUENTE	REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE	REVISAR_ARANCEL_ANUAL_SIN_FUENTE	REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA
Santiago	Profesional	INGENIERIA EN FINANZAS	No aplica	2026	República	Otro	Programa o Carrera Nueva(o)	Programa Regular	No aplica	No presencial	REVISAR_AREA_CODIGO_1	REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA	REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA	INGENIERO EN FINANZAS	REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA	REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA	REVISAR_REGIMEN_CODIGO_2	8	REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_1	NO_APLICA_SIN_EVIDENCIA_PLAN_COMUN	NO_APLICA_SIN_EVIDENCIA_BACHILLERATO	NO_APLICA_SIN_EVIDENCIA_OTRO_INGRESO	NO APLICA	Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.	REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE	REVISAR_MALLA_CURRICULAR_SIN_FUENTE	REVISAR_PERFIL_EGRESO_SIN_FUENTE	REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE	REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE	REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE	REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE	REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE	REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE	REVISAR_OTROS_REQUISITOS_SIN_FUENTE	REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE	REVISAR_FORMATO_VALOR_SIN_FUENTE	REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE	REVISAR_COSTO_TITULACION_SIN_FUENTE	REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE	REVISAR_ARANCEL_ANUAL_SIN_FUENTE	REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA
Santiago	Profesional	INGENIERIA EN FINANZAS	No aplica	2026	República	Otro	Programa o Carrera Nueva(o)	Programa Especial	REVISAR_DETALLE_PROGRAMA_ESPECIAL	No presencial	REVISAR_AREA_CODIGO_1	REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA	REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA	INGENIERO EN FINANZAS	REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA	REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA	REVISAR_REGIMEN_CODIGO_2	4	REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2_SEMESTRES_RECONOCIDOS_5	NO_APLICA_SIN_EVIDENCIA_PLAN_COMUN	NO_APLICA_SIN_EVIDENCIA_BACHILLERATO	REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2_SEMESTRES_RECONOCIDOS_5	REVISAR_DESCRIPCION_OTRO_INGRESO_SIN_TEXTO_FUENTE	Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.	REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE	REVISAR_MALLA_CURRICULAR_SIN_FUENTE	REVISAR_PERFIL_EGRESO_SIN_FUENTE	REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE	REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE	REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE	REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE	REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE	REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE	REVISAR_OTROS_REQUISITOS_SIN_FUENTE	REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE	REVISAR_FORMATO_VALOR_SIN_FUENTE	REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE	REVISAR_COSTO_TITULACION_SIN_FUENTE	REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE	REVISAR_ARANCEL_ANUAL_SIN_FUENTE	REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA
Santiago	Profesional	INGENIERIA EN MARKETING DIGITAL	No aplica	2026	República	Otro	Programa o Carrera Nueva(o)	Programa Regular	No aplica	No presencial	REVISAR_AREA_CODIGO_1	REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA	REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA	INGENIERO EN MARKETING DIGITAL	REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA	REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA	REVISAR_REGIMEN_CODIGO_2	8	REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_1	NO_APLICA_SIN_EVIDENCIA_PLAN_COMUN	NO_APLICA_SIN_EVIDENCIA_BACHILLERATO	NO_APLICA_SIN_EVIDENCIA_OTRO_INGRESO	NO APLICA	Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.	REVISAR_FECHA_ADMISION_INICIAL_SIN_FUENTE	REVISAR_MALLA_CURRICULAR_SIN_FUENTE	REVISAR_PERFIL_EGRESO_SIN_FUENTE	REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE	REVISAR_LICENCIA_ENS_MEDIA_SIN_FUENTE	REVISAR_NOTAS_ENS_MEDIA_SIN_FUENTE	REVISAR_PROMEDIO_MIN_ENS_MEDIA_SIN_FUENTE	REVISAR_RECONOCIMIENTOS_APREN_PREVIOS_SIN_FUENTE	REVISAR_EXPERIENCIA_LABORAL_SIN_FUENTE	REVISAR_OTROS_REQUISITOS_SIN_FUENTE	REVISAR_MAIL_DIFUSION_CARRERA_SIN_FUENTE	REVISAR_FORMATO_VALOR_SIN_FUENTE	REVISAR_VALOR_MATRICULA_ANUAL_SIN_FUENTE	REVISAR_COSTO_TITULACION_SIN_FUENTE	REVISAR_VALOR_CERTIFICADO_DIPLOMA_SIN_FUENTE	REVISAR_ARANCEL_ANUAL_SIN_FUENTE	REVISAR_VIGENCIA_CARRERA_SIN_FUENTE_DIRECTA
