CODIGO_UNICO,COLUMNA,TIPO_COLUMNA,VALOR_ACTUAL,VALOR_PROPUESTO,FUENTE_VALOR_PROPUESTO,REGLA_MATCH,CONFIANZA,ACCION,MOTIVO,MATCH_STATUS_FINAL,MATCH_METHOD_FINAL
I162S2C101J4V1,CODIGO_UNICO,IDENTIFICADOR,I162S2C101J4V1,I162S2C101J4V1,PROMEDIOS_MATRIZ.CODIGO_UNICO,CODIGO_EXACTO_MATRIZ,ALTA,MANTENER,Identificador exacto del programa en matriz.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,CODIGO_IES_NUM,IDENTIFICADOR,162,162,PROMEDIOS_MATRIZ.CODIGO_IES_NUM,CODIGO_EXACTO_MATRIZ,ALTA,MANTENER,Código IES desde matriz.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,COD_SEDE,IDENTIFICADOR,2,2,PROMEDIOS_MATRIZ.COD_SEDE,CODIGO_EXACTO_MATRIZ,ALTA,MANTENER,Sede desde matriz.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,COD_CARRERA_DERIVADO,IDENTIFICADOR,101,101,CODIGO_UNICO_PARSEADO,PARSEO_CODIGO_UNICO,ALTA,MANTENER,Código carrera derivado desde CODIGO_UNICO.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,JORNADA,IDENTIFICADOR,4,4,PROMEDIOS_MATRIZ.JORNADA,CODIGO_EXACTO_MATRIZ,ALTA,MANTENER,Jornada desde matriz.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,VERSION_DERIVADA,IDENTIFICADOR,1,1,CODIGO_UNICO_PARSEADO,PARSEO_CODIGO_UNICO,ALTA,MANTENER,Versión derivada desde CODIGO_UNICO.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,NOMBRE_CARRERA_ORIGINAL,ESTRUCTURA_ACADEMICA,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,PROMEDIOS_MATRIZ.NOMBRE_CARRERA,CODIGO_EXACTO_MATRIZ,ALTA,MANTENER,Nombre carrera desde matriz.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,NOMBRE_CARRERA_NORMALIZADO,ESTRUCTURA_ACADEMICA,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,PROMEDIOS_MATRIZ.NOMBRE_CARRERA,NORMALIZACION,ALTA,MANTENER,Nombre normalizado desde matriz.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,MODALIDAD_ORIGINAL,ESTRUCTURA_ACADEMICA,3,3,PROMEDIOS_MATRIZ.MODALIDAD,CODIGO_EXACTO_MATRIZ,ALTA,MANTENER,Modalidad desde matriz.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,TIPO_PLAN_CARRERA_ORIGINAL,ESTRUCTURA_ACADEMICA,1,1,PROMEDIOS_MATRIZ.TIPO_PLAN_CARRERA,CODIGO_EXACTO_MATRIZ,ALTA,MANTENER,Tipo plan desde matriz.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,CARACT_PLAN_ESPECIAL_ORIGINAL,ESTRUCTURA_ACADEMICA,NO APLICA,NO APLICA,PROMEDIOS_MATRIZ.CARACT_PLAN_ESPECIAL,CODIGO_EXACTO_MATRIZ,ALTA,MANTENER,Característica de plan desde matriz.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,NIVEL_GLOBAL,ESTRUCTURA_ACADEMICA,3,3,PROMEDIOS_MATRIZ.NIVEL_GLOBAL,CODIGO_EXACTO_MATRIZ,ALTA,MANTENER,Nivel global desde matriz.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,NIVEL_CARRERA,ESTRUCTURA_ACADEMICA,5,5,PROMEDIOS_MATRIZ.NIVEL_CARRERA,CODIGO_EXACTO_MATRIZ,ALTA,MANTENER,Nivel carrera desde matriz.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,VIGENCIA,ESTRUCTURA_ACADEMICA,1,1,PROMEDIOS_MATRIZ.VIGENCIA,CODIGO_EXACTO_MATRIZ,ALTA,MANTENER,Vigencia interna desde matriz.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,ESTADO_CRUCE_INDICES,TRAZABILIDAD,FALTA_CREAR_EN_INDICES,FALTA_CREAR_EN_INDICES,ARCHIVO_OPERATIVO_ACTUAL,MANTENER_TRAZABILIDAD_EXISTENTE,ALTA,MANTENER,Campo de trazabilidad ya poblado; no se recalcula en esta etapa.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,MOTIVO_ESTADO_CRUCE,TRAZABILIDAD,No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte,No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte,ARCHIVO_OPERATIVO_ACTUAL,MANTENER_TRAZABILIDAD_EXISTENTE,ALTA,MANTENER,Campo de trazabilidad ya poblado; no se recalcula en esta etapa.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,FUENTE,TRAZABILIDAD,PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz,PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz,ARCHIVO_OPERATIVO_ACTUAL,MANTENER_TRAZABILIDAD_EXISTENTE,ALTA,MANTENER,Campo de trazabilidad ya poblado; no se recalcula en esta etapa.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,REVISADO_MANUALMENTE,TRAZABILIDAD,NO,NO,ARCHIVO_OPERATIVO_ACTUAL,MANTENER_TRAZABILIDAD_EXISTENTE,ALTA,MANTENER,Campo de trazabilidad ya poblado; no se recalcula en esta etapa.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,OBSERVACION_AUDITORIA,TRAZABILIDAD,Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.,Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.,ARCHIVO_OPERATIVO_ACTUAL,MANTENER_TRAZABILIDAD_EXISTENTE,ALTA,MANTENER,Campo de trazabilidad ya poblado; no se recalcula en esta etapa.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Sede,FORMULARIO_CNED_INDICES,Santiago,Santiago,MAPEO_LOCAL_COD_SEDE_VALIDADO_EN_OPERATIVO,MAPEO_COD_SEDE_A_SEDE,ALTA,MANTENER,Mapa local observado en archivo operativo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Tipo de Carrera,FORMULARIO_CNED_INDICES,Diplomado,Diplomado,MAPEO_LOCAL_NIVEL_CARRERA,MAPEO_NIVEL_CARRERA,ALTA,MANTENER,Mapa local observado en archivo operativo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Nombre,FORMULARIO_CNED_INDICES,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,PROMEDIOS_MATRIZ.NOMBRE_CARRERA,CODIGO_EXACTO_MATRIZ,ALTA,MANTENER,Nombre de formulario desde matriz.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Mención o Especialidad,FORMULARIO_CNED_INDICES,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,Sin fuente explícita en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Año de inicio de Actividades,FORMULARIO_CNED_INDICES,REVISAR,2025,DICCIONARIO_COMPLEMENTADO.ANIO_INICIO,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,COMPLETAR,Año de inicio disponible en diccionario con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Campus,FORMULARIO_CNED_INDICES,República,República,MAPEO_LOCAL_COD_SEDE_A_CAMPUS,MAPEO_REQUIERE_VALIDACION,MEDIA,MANTENER,Campus solo mapeado para sede 2; sede 3 queda REVISAR.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Horario,FORMULARIO_CNED_INDICES,Otro,Otro,MAPEO_LOCAL_JORNADA,MAPEO_JORNADA_A_HORARIO,ALTA,MANTENER,Mapa local observado en archivo operativo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Estado,FORMULARIO_CNED_INDICES,Programa o Carrera Nueva(o),Programa o Carrera Nueva(o),REGLA_OPERACIONAL_CREAR_FALTANTE,CONSTANTE_CONTROLADA,ALTA,MANTENER,Todos los 71 son programas faltantes a crear.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Tipo Programa,FORMULARIO_CNED_INDICES,Programa Regular,Programa Regular,MAPEO_LOCAL_TIPO_PLAN_CARRERA,MAPEO_TIPO_PLAN_A_TIPO_PROGRAMA,ALTA,MANTENER,Mapa local observado en archivo operativo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Detalle del Tipo de Programa (especiales),FORMULARIO_CNED_INDICES,No aplica,No aplica,PROMEDIOS_MATRIZ.TIPO_PLAN_CARRERA,REGLA_REGULAR_NO_APLICA,ALTA,MANTENER,Programa regular no requiere detalle especial.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Modalidad del Programa,FORMULARIO_CNED_INDICES,No presencial,No presencial,MAPEO_LOCAL_MODALIDAD,MAPEO_MODALIDAD_A_FORMULARIO,ALTA,MANTENER,Mapa local observado en archivo operativo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Área del Conocimiento,AREA_CONOCIMIENTO,REVISAR,CODIGO_AREA_ACTUAL=8,DICCIONARIO_COMPLEMENTADO.AREA_ACTUAL,MATCH_R1_CODIGO_UNICO_DERIVADO,MEDIA,DEJAR_REVISAR,"Existe código de área, pero falta tabla oficial de equivalencia textual.",MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Sub Área,AREA_CONOCIMIENTO,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,Sin fuente explícita en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Carrera Genérica,AREA_CONOCIMIENTO,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,Sin fuente explícita en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Título que otorga el programa,FORMULARIO_CNED_INDICES,REVISAR,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,DICCIONARIO_COMPLEMENTADO.NOMBRE_TITULO,MATCH_R1_CODIGO_UNICO_DERIVADO,ALTA,COMPLETAR,Título disponible en diccionario con match único no ambiguo.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Grado Académico que otorga el programa,FORMULARIO_CNED_INDICES,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,Sin fuente explícita en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Dependencia,FORMULARIO_CNED_INDICES,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,Sin fuente explícita en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Régimen,FORMULARIO_CNED_INDICES,REVISAR,CODIGO_REGIMEN=1,DICCIONARIO_COMPLEMENTADO.REGIMEN,MATCH_R1_CODIGO_UNICO_DERIVADO,MEDIA,DEJAR_REVISAR,"Existe código de régimen, pero falta tabla oficial para etiqueta de formulario.",MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Duración del programa en Semestres,FORMULARIO_CNED_INDICES,1,1,PROMEDIOS_MATRIZ.DURACION_TOTAL,CODIGO_EXACTO_MATRIZ,ALTA,MANTENER,Duración total en semestres desde matriz.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Ingreso Directo,INGRESO_REQUISITOS,REVISAR,CODIGO_REQUISITO_INGRESO=2,DICCIONARIO_COMPLEMENTADO.REQUISITO_INGRESO,MATCH_R1_CODIGO_UNICO_DERIVADO,MEDIA,DEJAR_REVISAR,"Existe código de requisito, pero falta tabla oficial/semántica para campo de formulario.",MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Ingreso desde un plan Común,INGRESO_REQUISITOS,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,Sin fuente explícita en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Ingreso desde Bachillerato,INGRESO_REQUISITOS,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,Sin fuente explícita en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Otro Tipo de Ingreso,INGRESO_REQUISITOS,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,Sin fuente explícita en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Ingreso otro,INGRESO_REQUISITOS,REVISAR,,,MATCH_R1_CODIGO_UNICO_DERIVADO,NULA,DEJAR_REVISAR,Sin fuente explícita en bases actuales.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
I162S2C101J4V1,Observaciones,TRAZABILIDAD,Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.,Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.,ARCHIVO_OPERATIVO_ACTUAL,MANTENER_TRAZABILIDAD_EXISTENTE,ALTA,MANTENER,Campo de trazabilidad ya poblado; no se recalcula en esta etapa.,MATCH_UNICO,MATCH_R1_CODIGO_UNICO_DERIVADO
