CODIGO_UNICO,NOMBRE_CARRERA,COD_SEDE,COD_CARRERA,JORNADA,VERSION,MATCH_STATUS_FINAL,MATCH_METHOD_FINAL,MATCH_COUNT_FINAL,MATCH_CODIGO_UNICO_DERIVADO,MATCH_FUENTE,MATCH_OBSERVACION,PUEDE_COMPLETAR_ANIO_INICIO,FUENTE_ANIO_INICIO,VALOR_ANIO_INICIO,PUEDE_COMPLETAR_REGIMEN,FUENTE_REGIMEN,VALOR_REGIMEN,PUEDE_COMPLETAR_DURACION_REGIMEN,FUENTE_DURACION_REGIMEN,VALOR_DURACION_REGIMEN,PUEDE_COMPLETAR_NOMBRE_TITULO,FUENTE_NOMBRE_TITULO,VALOR_NOMBRE_TITULO,PUEDE_COMPLETAR_AREA_ACTUAL,FUENTE_AREA_ACTUAL,VALOR_AREA_ACTUAL,PUEDE_COMPLETAR_SUB_AREA,FUENTE_SUB_AREA,VALOR_SUB_AREA,PUEDE_COMPLETAR_CARRERA_GENERICA,FUENTE_CARRERA_GENERICA,VALOR_CARRERA_GENERICA,PUEDE_COMPLETAR_REQUISITO_INGRESO,FUENTE_REQUISITO_INGRESO,VALOR_REQUISITO_INGRESO,CAMPOS_AUTO_COMPLETABLES,CAMPOS_NO_AUTO,CAMPOS_SIN_FUENTE,CAMPOS_CON_CONFLICTO,DICTAMEN_METODOLOGICO
I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,2,101,4,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C101J4V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2025,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,AUTO_COMPLETABLE,DICCIONARIO,1,AUTO_COMPLETABLE,DICCIONARIO,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,8,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,2,102,4,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C102J4V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2025,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,AUTO_COMPLETABLE,DICCIONARIO,1,AUTO_COMPLETABLE,DICCIONARIO,DIPLOMADO SALUD CON FOCO EN MIGRACION,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,8,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,2,103,4,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C103J4V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2025,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,AUTO_COMPLETABLE,DICCIONARIO,1,AUTO_COMPLETABLE,DICCIONARIO,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN APS,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,8,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C104J4V1,DIPLOMADO EN INNOVACION PARA LA DOCENCIA,2,104,4,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C104J4V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2025,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,AUTO_COMPLETABLE,DICCIONARIO,1,AUTO_COMPLETABLE,DICCIONARIO,DIPLOMADO EN INNOVACION PARA LA DOCENCIA,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,6,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C105J4V1,DIPLOMADO EN HUMANIZACION EN SALUD,2,105,4,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C105J4V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2025,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,AUTO_COMPLETABLE,DICCIONARIO,1,AUTO_COMPLETABLE,DICCIONARIO,DIPLOMADO EN HUMANIZACION EN SALUD,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,8,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C10J1V1,TECNICO EN PREVENCION DE RIESGOS,2,10,1,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C10J1V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2013,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,AUTO_COMPLETABLE,DICCIONARIO,5,AUTO_COMPLETABLE,DICCIONARIO,TECNICO EN PREVENCION DE RIESGOS,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,9,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C10J4V1,TECNICO EN PREVENCION DE RIESGOS,2,10,4,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C10J4V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2026,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,AUTO_COMPLETABLE,DICCIONARIO,7,AUTO_COMPLETABLE,DICCIONARIO,TECNICO EN PREVENCION DE RIESGOS,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,9,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C111J4V1,INGENIERIA EN FINANZAS,2,111,4,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C111J4V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2026,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,AUTO_COMPLETABLE,DICCIONARIO,12,AUTO_COMPLETABLE,DICCIONARIO,INGENIERO EN FINANZAS,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C111J4V2,INGENIERIA EN FINANZAS,2,111,4,2,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C111J4V2,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2026,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,AUTO_COMPLETABLE,DICCIONARIO,6,AUTO_COMPLETABLE,DICCIONARIO,INGENIERO EN FINANZAS,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
I162S2C112J4V1,INGENIERIA EN MARKETING DIGITAL,2,112,4,1,MATCH_UNICO,R1_CODIGO_UNICO_DERIVADO,1,I162S2C112J4V1,DICCIONARIO_COMPLEMENTADO,Match directo exacto por código/componentes. Apto como regla primaria de conciliación.,AUTO_COMPLETABLE,DICCIONARIO,2026,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,2,AUTO_COMPLETABLE,DICCIONARIO,12,AUTO_COMPLETABLE,DICCIONARIO,INGENIERO EN MARKETING DIGITAL,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,SIN_FUENTE,SIN_FUENTE,,SIN_FUENTE,SIN_FUENTE,,AUTO_COMPLETABLE_CON_MAPEO,DICCIONARIO,1,Año de inicio de Actividades; Campus; Horario; Tipo Programa; Detalle del Tipo de Programa (especiales); Modalidad del Programa; Área del Conocimiento; Título que otorga el programa; Régimen; Duración régimen; Duración del programa en Semestres; Ingreso Directo; AREA_ACTUAL,,Sub Área; Carrera Genérica; Grado Académico que otorga el programa; Dependencia; Ingreso desde un plan Común; Ingreso desde Bachillerato; Otro Tipo de Ingreso; Ingreso otro,,MATCH_DIRECTO_APTO_METODOLOGICAMENTE
