CODIGO_UNICO;CODIGO_IES_NUM;COD_SEDE;COD_CARRERA_DERIVADO;JORNADA;VERSION_DERIVADA;NOMBRE_CARRERA_ORIGINAL;NOMBRE_CARRERA_NORMALIZADO;MODALIDAD_ORIGINAL;TIPO_PLAN_CARRERA_ORIGINAL;CARACT_PLAN_ESPECIAL_ORIGINAL;NIVEL_GLOBAL;NIVEL_CARRERA;VIGENCIA;ESTADO_CRUCE_INDICES;MOTIVO_ESTADO_CRUCE;FUENTE;REVISADO_MANUALMENTE;OBSERVACION_AUDITORIA;Sede;Tipo de Carrera;Nombre;Mención o Especialidad;Año de inicio de Actividades;Campus;Horario;Estado;Tipo Programa;Detalle del Tipo de Programa (especiales);Modalidad del Programa;Área del Conocimiento;Sub Área;Carrera Genérica;Título que otorga el programa;Grado Académico que otorga el programa;Dependencia;Régimen;Duración del Programa en Semestres;Ingreso Directo;Ingreso desde un plan Común;Ingreso desde Bachillerato;Otro Tipo de Ingreso;Ingreso otro;Observaciones
I162S2C101J4V1;162;2;101;4;1;DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO;DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO;3;1;NO APLICA;3;5;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Diplomado;DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;1;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C102J4V1;162;2;102;4;1;DIPLOMADO SALUD CON FOCO EN MIGRACION;DIPLOMADO SALUD CON FOCO EN MIGRACION;3;1;NO APLICA;3;5;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Diplomado;DIPLOMADO SALUD CON FOCO EN MIGRACION;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;1;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C103J4V1;162;2;103;4;1;DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD;DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD;3;1;NO APLICA;3;5;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Diplomado;DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;1;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C104J4V1;162;2;104;4;1;DIPLOMADO EN INNOVACION PARA LA DOCENCIA;DIPLOMADO EN INNOVACION PARA LA DOCENCIA;3;1;NO APLICA;3;5;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Diplomado;DIPLOMADO EN INNOVACION PARA LA DOCENCIA;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;1;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C105J4V1;162;2;105;4;1;DIPLOMADO EN HUMANIZACION EN SALUD;DIPLOMADO EN HUMANIZACION EN SALUD;3;1;NO APLICA;3;5;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Diplomado;DIPLOMADO EN HUMANIZACION EN SALUD;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;1;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C10J1V1;162;2;10;1;1;TECNICO EN PREVENCION DE RIESGOS;TECNICO EN PREVENCION DE RIESGOS;1;1;NO APLICA;1;1;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Técnico Nivel Superior;TECNICO EN PREVENCION DE RIESGOS;REVISAR;REVISAR;República;Diurno;Programa o Carrera Nueva(o);Programa Regular;No aplica;Presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;5;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C10J4V1;162;2;10;4;1;TECNICO EN PREVENCION DE RIESGOS;TECNICO EN PREVENCION DE RIESGOS;3;1;NO APLICA;1;1;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Técnico Nivel Superior;TECNICO EN PREVENCION DE RIESGOS;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;5;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C111J4V1;162;2;111;4;1;INGENIERIA EN FINANZAS;INGENIERIA EN FINANZAS;3;1;NO APLICA;1;2;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Profesional;INGENIERIA EN FINANZAS;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;8;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C111J4V2;162;2;111;4;2;INGENIERIA EN FINANZAS;INGENIERIA EN FINANZAS;3;3;NO APLICA;1;2;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Profesional;INGENIERIA EN FINANZAS;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Especial;REVISAR;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;4;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
I162S2C112J4V1;162;2;112;4;1;INGENIERIA EN MARKETING DIGITAL;INGENIERIA EN MARKETING DIGITAL;3;1;NO APLICA;1;2;1;FALTA_CREAR_EN_INDICES;No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte;PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz;NO;"Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.";Santiago;Profesional;INGENIERIA EN MARKETING DIGITAL;REVISAR;REVISAR;República;Otro;Programa o Carrera Nueva(o);Programa Regular;No aplica;No presencial;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;8;REVISAR;REVISAR;REVISAR;REVISAR;REVISAR;"Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO."
