CODIGO_UNICO,NOMBRE,SEDE,TIPO_CARRERA,HORARIO,VALOR_OPERATIVO_FINAL,AÑOS_CANDIDATOS,AÑOS_MISMA_CARRERA_NOMBRE,RECOMENDACION_METODOLOGICA,DECISION_REQUERIDA,OBSERVACION,FUENTE_EVIDENCIA,ACCION_MANUAL_SUGERIDA,TIPO_REGISTRO,COLUMNA,VALOR_OPERATIVO,VALORES_CANDIDATOS,VALORES_POR_CANDIDATO,CANDIDATOS_FAMILIA,N_VALORES_DISTINTOS,MOTIVO_CONFLICTO,REGLA_METODOLOGICA,VALOR_FINAL,REGLA_APLICADA,DICTAMEN
I162S2C13J1V1,SOPORTE DE SERVICIOS DE TELECOMUNICACIONES,Santiago,Técnico Nivel Superior,Diurno,DECISION_MANUAL_ANIO_INICIO,SIN_ANIO_EN_CANDIDATOS,SIN_ANIO_EN_CANDIDATOS,SIN_ANIO_EN_CANDIDATOS,DECISION_MANUAL_REQUERIDA,Existen candidatos pero ninguno aporta ANIO_INICIO numerico.,CNED_TABLA_DECISION_ANIO_INICIO_10_PENDIENTES.xlsx / TABLA_DECISION_10; operativo final,Confirmar año de inicio oficial institucional antes de cargar en CNED.,DECISION_ANIO_INICIO,,,,,,,,,,,
I162S2C13J2V1,SOPORTE DE SERVICIOS DE TELECOMUNICACIONES,Santiago,Técnico Nivel Superior,Vespertino,DECISION_MANUAL_ANIO_INICIO,SIN_ANIO_EN_CANDIDATOS,SIN_ANIO_EN_CANDIDATOS,SIN_ANIO_EN_CANDIDATOS,DECISION_MANUAL_REQUERIDA,Existen candidatos pero ninguno aporta ANIO_INICIO numerico.,CNED_TABLA_DECISION_ANIO_INICIO_10_PENDIENTES.xlsx / TABLA_DECISION_10; operativo final,Confirmar año de inicio oficial institucional antes de cargar en CNED.,DECISION_ANIO_INICIO,,,,,,,,,,,
I162S2C21J1V1,INGENIERIA DE EJECUCION EN AUTOMATIZACION Y CONTROL INDUSTRIAL,Santiago,Profesional,Diurno,DECISION_MANUAL_ANIO_INICIO,SIN_ANIO_EN_CANDIDATOS,SIN_ANIO_EN_CANDIDATOS,SIN_ANIO_EN_CANDIDATOS,DECISION_MANUAL_REQUERIDA,Existen candidatos pero ninguno aporta ANIO_INICIO numerico.,CNED_TABLA_DECISION_ANIO_INICIO_10_PENDIENTES.xlsx / TABLA_DECISION_10; operativo final,Confirmar año de inicio oficial institucional antes de cargar en CNED.,DECISION_ANIO_INICIO,,,,,,,,,,,
I162S2C21J2V1,INGENIERIA DE EJECUCION EN AUTOMATIZACION Y CONTROL INDUSTRIAL,Santiago,Profesional,Vespertino,DECISION_MANUAL_ANIO_INICIO,SIN_ANIO_EN_CANDIDATOS,SIN_ANIO_EN_CANDIDATOS,SIN_ANIO_EN_CANDIDATOS,DECISION_MANUAL_REQUERIDA,Existen candidatos pero ninguno aporta ANIO_INICIO numerico.,CNED_TABLA_DECISION_ANIO_INICIO_10_PENDIENTES.xlsx / TABLA_DECISION_10; operativo final,Confirmar año de inicio oficial institucional antes de cargar en CNED.,DECISION_ANIO_INICIO,,,,,,,,,,,
I162S2C23J1V1,INGENIERIA DE EJECUCION EN PREVENCION DE RIESGOS,Santiago,Profesional,Diurno,DECISION_MANUAL_ANIO_INICIO,SIN_ANIO_EN_CANDIDATOS,SIN_ANIO_EN_CANDIDATOS,SIN_ANIO_EN_CANDIDATOS,DECISION_MANUAL_REQUERIDA,Existen candidatos pero ninguno aporta ANIO_INICIO numerico.,CNED_TABLA_DECISION_ANIO_INICIO_10_PENDIENTES.xlsx / TABLA_DECISION_10; operativo final,Confirmar año de inicio oficial institucional antes de cargar en CNED.,DECISION_ANIO_INICIO,,,,,,,,,,,
I162S2C23J2V1,INGENIERIA DE EJECUCION EN PREVENCION DE RIESGOS,Santiago,Profesional,Vespertino,DECISION_MANUAL_ANIO_INICIO,SIN_ANIO_EN_CANDIDATOS,SIN_ANIO_EN_CANDIDATOS,SIN_ANIO_EN_CANDIDATOS,DECISION_MANUAL_REQUERIDA,Existen candidatos pero ninguno aporta ANIO_INICIO numerico.,CNED_TABLA_DECISION_ANIO_INICIO_10_PENDIENTES.xlsx / TABLA_DECISION_10; operativo final,Confirmar año de inicio oficial institucional antes de cargar en CNED.,DECISION_ANIO_INICIO,,,,,,,,,,,
I162S2C24J1V1,TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL,Santiago,Técnico Nivel Superior,Diurno,DECISION_MANUAL_ANIO_INICIO,SIN_ANIO_EN_CANDIDATOS,2013;2022,MULTIPLES_ANIOS_POSIBLES_NO_AUTOMATICO,DECISION_MANUAL_REQUERIDA,Existen multiples años posibles; no se usa año mas antiguo ni mas reciente como regla automatica.,CNED_TABLA_DECISION_ANIO_INICIO_10_PENDIENTES.xlsx / TABLA_DECISION_10; operativo final,Confirmar año de inicio oficial institucional antes de cargar en CNED.,DECISION_ANIO_INICIO,,,,,,,,,,,
I162S2C24J2V1,TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL,Santiago,Técnico Nivel Superior,Vespertino,DECISION_MANUAL_ANIO_INICIO,SIN_ANIO_EN_CANDIDATOS,2013;2022,MULTIPLES_ANIOS_POSIBLES_NO_AUTOMATICO,DECISION_MANUAL_REQUERIDA,Existen multiples años posibles; no se usa año mas antiguo ni mas reciente como regla automatica.,CNED_TABLA_DECISION_ANIO_INICIO_10_PENDIENTES.xlsx / TABLA_DECISION_10; operativo final,Confirmar año de inicio oficial institucional antes de cargar en CNED.,DECISION_ANIO_INICIO,,,,,,,,,,,
I162S2C3J2V2,INGENIERIA EN CONECTIVIDAD Y REDES,Santiago,Profesional,Vespertino,DECISION_MANUAL_ANIO_INICIO,2002;2017;2019,2002;2017;2019,MULTIPLES_ANIOS_POSIBLES_NO_AUTOMATICO,DECISION_MANUAL_REQUERIDA,Existen multiples años posibles; no se usa año mas antiguo ni mas reciente como regla automatica.,CNED_TABLA_DECISION_ANIO_INICIO_10_PENDIENTES.xlsx / TABLA_DECISION_10; operativo final,Confirmar año de inicio oficial institucional antes de cargar en CNED.,DECISION_ANIO_INICIO,,,,,,,,,,,
I162S2C41J2V1,DIPLOMADO EN GESTION DE PROYECTOS,Santiago,Diplomado,Vespertino,DECISION_MANUAL_ANIO_INICIO,SIN_ANIO_EN_CANDIDATOS,SIN_ANIO_EN_CANDIDATOS,SIN_ANIO_EN_CANDIDATOS,DECISION_MANUAL_REQUERIDA,Existen candidatos pero ninguno aporta ANIO_INICIO numerico.,CNED_TABLA_DECISION_ANIO_INICIO_10_PENDIENTES.xlsx / TABLA_DECISION_10; operativo final,Confirmar año de inicio oficial institucional antes de cargar en CNED.,DECISION_ANIO_INICIO,,,,,,,,,,,
