ORDEN_CARGA,ESTADO_CARGA_CNED,OBSERVACION_CARGA,SEDE,TIPO_CARRERA_PROGRAMA,NOMBRE_PROGRAMA,MENCION_ESPECIALIDAD,ANIO_INICIO_ACTIVIDADES,CAMPUS,HORARIO,ESTADO_CARRERA_PROGRAMA,TIPO_PROGRAMA,DETALLE_TIPO_PROGRAMA_ESPECIAL,MODALIDAD_PROGRAMA,AREA_CONOCIMIENTO,SUBAREA,CARRERA_GENERICA,TITULO_OTORGA_PROGRAMA,GRADO_ACADEMICO_OTORGA_PROGRAMA,DEPENDENCIA,REGIMEN,DURACION_PROGRAMA_SEMESTRES,INGRESO_DIRECTO,INGRESO_DESDE_PLAN_COMUN,INGRESO_DESDE_BACHILLERATO,OTRO_TIPO_INGRESO,INGRESO_OTRO_DESCRIPCION,OBSERVACIONES,COD_CARR_REFERENCIA,CODIGO_SIES_REFERENCIA,NIVEL_PREGRADO_POSGRADO,MODALIDAD_ORIGINAL,TIPO_PROGRAMA_ORIGINAL,ESPECIAL_ORIGINAL,TRAZABILIDAD_ORIGEN,MOTIVO_TRAZABILIDAD,ALERTA_MANUAL,FUENTE_ORIGEN
1,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Programación y Análisis de Sistemas,,2020,República,Vespertino,Nuevas,Regular,Otro objetivo,Presencial,Tecnología,,Técnico Programador Computacional,Técnico Nivel Sup. en Programación y Análisis de Sistemas,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,43930,I162S2C57J2V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
2,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Programación y Análisis de Sistemas,,2020,República,Diurno,Nuevas,Regular,Otro objetivo,Presencial,Tecnología,,Técnico Programador Computacional,Técnico Nivel Sup. en Programación y Análisis de Sistemas,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial,43935,I162S2C57J1V1,Pregrado,Presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
3,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Conectividad y Redes,,2018,República,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Tecnología,,Ingeniería en Conectividad y Redes,Ingeniero en Conectividad y Redes,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,38816,I162S2C3J4V2,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
4,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Programación y Análisis de Sistemas,,2020,República,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Tecnología,,Técnico Programador Computacional,Técnico Nivel Sup. en Programación Computacional y Análisis de Sistemas,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,43932,I162S2C57J4V1,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
5,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Ciberseguridad,,2020,República,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Tecnología,,Ingeniería en Computación e Informática y similares,Ingeniero en Ciberseguridad,,,Semestral,4,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,43928,I162S2C46J4V3,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
6,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Informática (P.E.),,2019,República,Otro horario,Nuevas,Especial,Continuidad (o articulación) de estudios,No presencial,Tecnología,,Ingeniería en Computación e Informática y similares,Ingeniero en Informática,,,Semestral,4,No,No,No,Sí,"Continuidad de estudios (o articulación), según fuente",Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Programa Especial: validar detalle de tipo especial antes de crear | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,40876,I162S2C1J4V2,Pregrado,No presencial,Programa Especial,Continuidad (o articulación) de estudios,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
7,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Técnico de nivel superior,TNS en Ciberseguridad,,2020,República,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Tecnología,,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Sup. en Ciberseguridad,,,Semestral,5,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,43931,I162S2C47J4V1,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Revisar uso de TNS en título según manual | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
8,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Ciberseguridad (P.E.),,2019,República,Vespertino,Nuevas,Especial,Continuidad (o articulación) de estudios,Presencial,Tecnología,,Ingeniería en Computación e Informática y similares,Ingeniero en Ciberseguridad,,,Semestral,4,No,No,No,Sí,"Continuidad de estudios (o articulación), según fuente",Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Programa Especial: validar detalle de tipo especial antes de crear,40716,I162S2C46J2V3,Pregrado,Presencial,Programa Especial,Continuidad (o articulación) de estudios,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
9,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Automatización y Control Industrial,Eficiencia Energética,2022,República,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Tecnología,,Ingeniería Ejecución Industrial y similares,Ingeniero en Automatización y Control Industrial,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,48339,I162S2C22J4V1,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
10,Pendiente,Revisar ALERTA_MANUAL antes de crear en CNED,Santiago,Profesional,Ingeniería en Administración de Empresas,,2024,,Otro horario,Nuevas,Regular,Otro objetivo,No presencial,Administración y Comercio,,"Ingeniería en Administración, Administración de Empresas y similares",Ingeniero en Administración de Empresas,,,Semestral,8,Sí,No,No,No,,Régimen asignado como Semestral por estructura de duración en semestres; revisar si corresponde según plan oficial | Horario y modalidad son campos distintos; no convertir Horario Otro en No presencial,51505,I162S2C76J4V1,Pregrado,No presencial,Programa Regular,Otro objetivo,INFORMAR_CNED_CON_TRAZABILIDAD_ALTA,Codigo SIES/CODIGO_UNICO exacto con evidencia en matricula o archivo listo.,Campus vacío; revisar selección en plataforma | Subárea vacía; requiere completar en plataforma según selección CNED | Dependencia no informada; completar según unidad administrativa interna si la plataforma lo exige | Revisar si corresponde crear como nuevo o si ya existe y solo debe cambiar estado | No presencial puede requerir revisión de tipo especial según definición del manual | Detalle de tipo especial informado para Programa Regular; revisar si la plataforma lo exige,"CNED_43_carreras_trazabilidad_alta_para_cargar.xlsx; complementos: CNED_carreras_a_informar_comparacion.xlsx, listado_referencia_cned.tsv, listado_referencia_cned.json"
