CODCARR,codigos_unicos,jornadas,versiones,es_ambiguo
ADMP,1,1,1,False
AUDT,1,1,1,False
CIADM,1,1,1,False
CICIB,1,2,2,False
CICRE,1,2,2,False
CIIND,1,1,1,False
CIINF,1,1,1,False
CILOG,1,1,1,False
CONG,1,1,1,False
DACD,1,1,1,False
DCBS,1,1,1,False
DDSC,1,1,1,False
DFSK,1,1,1,False
DIAR,1,1,1,False
DICD,1,1,1,False
DRID,1,1,1,False
ECCURYDP,1,1,1,False
IADM,1,3,3,False
ICDA,1,1,1,False
ICIB,1,3,3,False
ICRE,1,2,2,False
IECIREOL,1,1,1,False
IECSRE,1,1,1,False
IECSREOL,1,1,1,False
IETMRE,1,1,1,False
IETMREOL,1,1,1,False
IIND,1,1,1,False
IINF,1,3,3,False
ILOG,1,2,2,False
IMDI,1,1,1,False
NETMRE,1,1,1,False
NITMRE,1,1,1,False
TADP,1,1,1,False
TAMD,1,2,2,False
TCDA,1,1,1,False
TCIB,1,3,3,False
TCRE,1,2,2,False
TCSRE,1,1,1,False
TCSREOL,1,1,1,False
TENS,1,2,2,False
TLOG,1,2,2,False
TMIRE,1,1,1,False
TPARE,1,1,1,False
TPAREOL,1,1,1,False
TPAS,1,3,3,False
TTMREOL,1,1,1,False
