POSICION	NOMBRE_CAMPO	NOMBRE_DESCRIPTIVO	SUBPROCESO	DEFINICION_OFICIAL	TIPO_DATO	LONGITUD	DOMINIO	CODIGOS	OBLIGATORIO	PRECARGADO	MODIFICABLE	NULO_PERMITIDO	FUENTE_NORMATIVA	FUENTE_INSTITUCIONAL	REGLA_TRANSFORMACION	VALIDACION_ESTRUCTURAL	VALIDACION_SEMANTICA	VALIDACION_CRUZADA	DEPENDENCIAS	LLAVE	SEVERIDAD	SALIDA_AUDITORIA	ESTADO_IMPLEMENTACION	OBSERVACIONES
1	CODIGO_UNICO	Código de la carrera o programa.	Carreras Avance Curricular 2026	Identificador único de la carrera o programa informado por SIES.	TEXTO	NO_DETERMINADO	Código único SIES.	Código único SIES.	SI	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	Llave CODIGO_UNICO + PLAN_ESTUDIOS con Carreras.	NO_APLICA	SI	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
2	PLAN_ESTUDIOS	Plan de Estudios de la Carrera.	Carreras Avance Curricular 2026	Correlativo del plan de estudios vigente; precargado con 1 y modificable cuando exista evidencia de planes vigentes distintos.	ENTERO	NO_DETERMINADO	Números correlativos por CODIGO_UNICO.	NO_APLICA	SI	SI	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	Llave CODIGO_UNICO + PLAN_ESTUDIOS con Carreras.	NO_APLICA	SI	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
3	NOMBRE_SEDE	Nombre de la Sede.	Carreras Avance Curricular 2026	Sede en que se imparte la carrera o programa informado.	TEXTO	NO_DETERMINADO	Dato precargado.	NO_APLICA	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
4	NOMBRE_CARRERA	Nombre de la Carrera o Programa.	Carreras Avance Curricular 2026	Nombre completo de la carrera o programa informado.	TEXTO	NO_DETERMINADO	Dato precargado.	NO_APLICA	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
5	JORNADA	Jornada de la Carrera.	Carreras Avance Curricular 2026	Jornada en que se imparte la carrera o programa.	ENTERO	NO_DETERMINADO	1 Diurna; 2 Vespertina; 3 Semipresencial; 4 A Distancia; 5 Otra.	1 Diurna; 2 Vespertina; 3 Semipresencial; 4 A Distancia; 5 Otra.	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
6	VERSION	Versión de la carrera.	Carreras Avance Curricular 2026	Número de versión del programa de estudios.	ENTERO	NO_DETERMINADO	Dato precargado.	NO_APLICA	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
7	DURACION_ESTUDIOS	Duración de los estudios de la carrera.	Carreras Avance Curricular 2026	Duración del plan en semestres, sin incluir titulación cuando esté fuera del plan.	ENTERO	NO_DETERMINADO	Semestres.	NO_APLICA	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
8	DURACION_TITULACION	Duración del proceso de titulación.	Carreras Avance Curricular 2026	Duración normal estimada del proceso de titulación, no plazo máximo.	ENTERO	NO_DETERMINADO	Semestres.	NO_APLICA	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
9	DURACION_TOTAL	Duración total de la carrera.	Carreras Avance Curricular 2026	Duración teórica total hasta título o grado terminal.	ENTERO	NO_DETERMINADO	Semestres.	NO_APLICA	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
10	NIVEL_CARRERA	Clasificación por Nivel Carrera.	Carreras Avance Curricular 2026	Nivel específico al que pertenecen los estudios.	ENTERO	NO_DETERMINADO	0 Bachillerato/Ciclo inicial/Plan común; 1 TNS; 2 Profesional sin licenciatura; 3 Licenciatura no conducente; 4 Profesional con licenciatura.	0 Bachillerato/Ciclo inicial/Plan común; 1 TNS; 2 Profesional sin licenciatura; 3 Licenciatura no conducente; 4 Profesional con licenciatura.	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo I, página 8-10	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
