POSICION	NOMBRE_CAMPO	NOMBRE_DESCRIPTIVO	SUBPROCESO	DEFINICION_OFICIAL	TIPO_DATO	LONGITUD	DOMINIO	CODIGOS	OBLIGATORIO	PRECARGADO	MODIFICABLE	NULO_PERMITIDO	FUENTE_NORMATIVA	FUENTE_INSTITUCIONAL	REGLA_TRANSFORMACION	VALIDACION_ESTRUCTURAL	VALIDACION_SEMANTICA	VALIDACION_CRUZADA	DEPENDENCIAS	LLAVE	SEVERIDAD	SALIDA_AUDITORIA	ESTADO_IMPLEMENTACION	OBSERVACIONES
1	TIPO_DOCUMENTO	Tipo de documento.	Matrícula Avance Curricular 2026	Tipo de documento de identificación de cada estudiante.	TEXTO	NO_DETERMINADO	R RUN; P Pasaporte.	R RUN; P Pasaporte.	SI	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	SI	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
2	NUM_DOCUMENTO	Número de documento.	Matrícula Avance Curricular 2026	Cuerpo del RUN o número de pasaporte.	TEXTO	NO_DETERMINADO	Dato precargado.	NO_APLICA	SI	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	SI	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
3	DV	Dígito Verificador.	Matrícula Avance Curricular 2026	Dígito verificador del RUN.	TEXTO	NO_DETERMINADO	0-9 o K.	NO_APLICA	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	SI	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
4	PRIMER_APELLIDO	Primer Apellido.	Matrícula Avance Curricular 2026	Primer apellido completo de cada estudiante.	TEXTO	NO_DETERMINADO	Dato precargado.	NO_APLICA	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
5	SEGUNDO_APELLIDO	Segundo Apellido.	Matrícula Avance Curricular 2026	Segundo apellido completo de cada estudiante.	TEXTO	NO_DETERMINADO	Dato precargado.	NO_APLICA	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
6	NOMBRES	Nombres.	Matrícula Avance Curricular 2026	Nombres completos de cada estudiante.	TEXTO	NO_DETERMINADO	Dato precargado.	NO_APLICA	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
7	SEXO	Sexo.	Matrícula Avance Curricular 2026	Condición de mujer, hombre o no binario reportada en matrícula.	TEXTO	NO_DETERMINADO	M Mujer; H Hombre; X No Binario.	M Mujer; H Hombre; X No Binario.	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
8	FECHA_NACIMIENTO	Fecha de nacimiento.	Matrícula Avance Curricular 2026	Fecha de nacimiento del/de la estudiante.	FECHA_TEXTO	NO_DETERMINADO	Dato precargado.	NO_APLICA	SI_PRECARGADO	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	NO_APLICA	NO_APLICA	NO	MEDIA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
9	CODIGO_UNICO	Código de la carrera o programa.	Matrícula Avance Curricular 2026	Identificador único de la carrera o programa informado por SIES.	TEXTO	NO_DETERMINADO	Código único SIES.	Código único SIES.	SI	SI	NO	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	Llave CODIGO_UNICO + PLAN_ESTUDIOS con Carreras.	Carreras validada	SI	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
10	PLAN_ESTUDIOS	Plan de Estudios de la Carrera.	Matrícula Avance Curricular 2026	Correlativo del plan de estudios vigente; precargado con 1 y modificable cuando exista evidencia de planes vigentes distintos.	ENTERO	NO_DETERMINADO	Números correlativos por CODIGO_UNICO.	NO_APLICA	SI	SI	SI	NO_DETERMINADO	Instructivo_Avance Curricular SIES - 2026.txt, Anexo II, página 11-14	PENDIENTE	Preservar exactamente si no modificable; completar solo con fuente institucional si modificable.	Posición, nombre, tipo textual y cantidad de columnas.	Dominio oficial y reglas explícitas del instructivo.	Llave CODIGO_UNICO + PLAN_ESTUDIOS con Carreras.	Carreras validada	SI	ALTA	SI	CONTRATO_INICIAL	La columna institucional CODIGO_IES_NUM observada en precarga no forma parte del contrato PES.
