POSICION	NOMBRE_CAMPO	SUBPROCESO	ARCHIVO_GOBERNANZA	PRECARGADO	MODIFICABLE	OBLIGATORIO	FUENTE_PRINCIPAL	NIVEL_RESPALDO	DEPENDENCIAS	SEVERIDAD	ESTADO_GOBERNANZA	PENDIENTE_PRINCIPAL	APTO_PARA_IMPLEMENTACION
1	CODIGO_UNICO	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/01_CODIGO_UNICO.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
2	PLAN_ESTUDIOS	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/02_PLAN_ESTUDIOS.tsv	SI	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	BLOCKER	DEFINIDO_PARCIALMENTE	información no entregada por la fuente oficial; requiere fuente institucional.	PARCIAL
3	NOMBRE_SEDE	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/03_NOMBRE_SEDE.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
4	NOMBRE_CARRERA	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/04_NOMBRE_CARRERA.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
5	JORNADA	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/05_JORNADA.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
6	VERSION	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/06_VERSION.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
7	DURACION_ESTUDIOS	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/07_DURACION_ESTUDIOS.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
8	DURACION_TITULACION	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/08_DURACION_TITULACION.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
9	DURACION_TOTAL	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/09_DURACION_TOTAL.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
10	NIVEL_CARRERA	Carreras Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/carreras/10_NIVEL_CARRERA.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
