POSICION	NOMBRE_CAMPO	SUBPROCESO	ARCHIVO_GOBERNANZA	PRECARGADO	MODIFICABLE	OBLIGATORIO	FUENTE_PRINCIPAL	NIVEL_RESPALDO	DEPENDENCIAS	SEVERIDAD	ESTADO_GOBERNANZA	PENDIENTE_PRINCIPAL	APTO_PARA_IMPLEMENTACION
1	TIPO_DOCUMENTO	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/01_TIPO_DOCUMENTO.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	BLOCKER	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
2	NUM_DOCUMENTO	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/02_NUM_DOCUMENTO.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	BLOCKER	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
3	DV	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/03_DV.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	BLOCKER	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
4	PRIMER_APELLIDO	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/04_PRIMER_APELLIDO.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	BLOCKER	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
5	SEGUNDO_APELLIDO	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/05_SEGUNDO_APELLIDO.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	BLOCKER	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
6	NOMBRES	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/06_NOMBRES.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	BLOCKER	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
7	SEXO	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/07_SEXO.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	BLOCKER	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
8	FECHA_NACIMIENTO	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/08_FECHA_NACIMIENTO.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	BLOCKER	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
9	CODIGO_UNICO	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/09_CODIGO_UNICO.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	Carreras validada	ERROR	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
10	PLAN_ESTUDIOS	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/10_PLAN_ESTUDIOS.tsv	SI	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	Carreras validada	BLOCKER	DEFINIDO_PARCIALMENTE	información no entregada por la fuente oficial; requiere fuente institucional.	PARCIAL
11	ANIO_INGRESO_CARRERA_ACTUAL	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/11_ANIO_INGRESO_CARRERA_ACTUAL.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
12	SEM_INGRESO_CARRERA_ACTUAL	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/12_SEM_INGRESO_CARRERA_ACTUAL.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
13	ANIO_INGRESO_CARRERA_ORIGEN	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/13_ANIO_INGRESO_CARRERA_ORIGEN.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
14	SEM_INGRESO_CARRERA_ORIGEN	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/14_SEM_INGRESO_CARRERA_ORIGEN.tsv	SI	NO	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_OFICIALMENTE	NO_APLICA	SI
15	CURSO_1ER_SEM	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/15_CURSO_1ER_SEM.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	ERROR	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
16	CURSO_2DO_SEM	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/16_CURSO_2DO_SEM.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	ERROR	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
17	UNIDADES_CURSADAS	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/17_UNIDADES_CURSADAS.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	BLOCKER	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
18	UNIDADES_APROBADAS	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/18_UNIDADES_APROBADAS.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	BLOCKER	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
19	UNID_CURSADAS_TOTAL	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/19_UNID_CURSADAS_TOTAL.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	BLOCKER	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
20	UNID_APROBADAS_TOTAL	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/20_UNID_APROBADAS_TOTAL.tsv	NO	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT_MAS_FUENTE_INSTITUCIONAL_PENDIENTE	NO_APLICA	BLOCKER	PENDIENTE_FUENTE_INSTITUCIONAL	información no entregada por la fuente oficial; requiere fuente institucional.	NO
21	VIGENCIA	Matrícula Avance Curricular 2026	avance_curricular_2026/03_gobernanza_columnas/matricula/21_VIGENCIA.tsv	SI	SI	SI	Instructivo_Avance Curricular SIES - 2026.txt	REGLA_OFICIAL_TXT	NO_APLICA	ERROR	DEFINIDO_PARCIALMENTE	información no entregada por la fuente oficial; requiere fuente institucional.	PARCIAL
