ID_LLAVE	NOMBRE_LLAVE	COLUMNAS	DESCRIPCION	ENTIDAD_REPRESENTADA	GRANULARIDAD	FUENTES_DONDE_EXISTE	NORMALIZACION_PERMITIDA	NORMALIZACION_PROHIBIDA	NULOS_PERMITIDOS	UNICIDAD_ESPERADA	CARDINALIDAD_ESPERADA	USO_PROPUESTO	RIESGO	NIVEL_RESPALDO	ESTADO	OBSERVACIONES
LL-001	CODCLI	CODCLI	Identificador institucional observado en MU y PROMEDIOS; no se asume persona universal.	persona o persona-carrera segun fuente	VARIABLE	DatosAlumnos; Hoja1; archivo_listo; puente MU	trim; conservar texto	convertir a numero; deduplicar first/last	NO	No unica en Hoja1	1:N por asignatura; posible 1:N por carrera	AUXILIAR	MEDIO	ALTO	PARCIAL	Requiere auditoria por fuente.
LL-002	DOCUMENTO_COMPLETO	TIPO_DOCUMENTO+NUM_DOCUMENTO+DV	Documento completo con tipo y DV cuando existe.	persona documental	PERSONA	Precarga Matricula; MU control; archivo_listo; legacy	normalizacion auxiliar de espacios, puntos y guion	corregir DV; aplicar RUN a pasaporte	SI	Unico por persona; puede repetir por carreras	1:N persona-carrera	ALTERNATIVA	ALTO	ALTO	PARCIAL	No usar solo documento para persona-carrera.
LL-003	RUT_NORMALIZADO	NUM_DOCUMENTO+DV solo RUN	RUN chileno normalizado en columnas auxiliares.	persona RUN	PERSONA	Precarga; Hoja1; base_datos; MU control	quitar puntos; K mayuscula; validar DV sin corregir	aplicar a pasaporte; perder ceros	SI	Unico por persona; puede repetir por carreras	1:N	FALLBACK	MEDIO	ALTO	PARCIAL	Pasaportes separados.
LL-004	CODIGO_UNICO	CODIGO_UNICO / CODIGO_UNICO_FINAL / CODIGO_CARRERA_SIES_FINAL	Codigo SIES carrera/programa.	carrera/programa SIES	CARRERA_PLAN	Precargas; matriz; archivo_listo; puentes; DURACION	trim; conservar texto	reconstruir desde componentes	NO	Puede repetirse por personas; unico en catalogos	N:1 persona-carrera a carrera	PRINCIPAL_CARRERA	MEDIO	ALTO	PARCIAL	Validar intersecciones.
LL-005	CODCARPR	CODCARPR / CODCARR / CODCARPR_NORM	Codigo interno de carrera/programa.	carrera institucional	CARRERA	DatosAlumnos; Hoja1; archivo_listo; puente SIES; DURACION	trim; conservar texto	asumir equivalencia 1 a 1 con CODIGO_UNICO	NO	No necesariamente unico a codigo SIES	1:N posible	AUXILIAR	ALTO	ALTO	PARCIAL	Requiere puente.
LL-006	CODCARPR_JORNADA	CODCARPR+JORNADA	Puente carrera interna por jornada.	carrera-jornada	CARRERA_JORNADA	Puente SIES; PROMEDIOS; archivo_listo	normalizar componentes auxiliares	elegir primer codigo SIES	NO	Un codigo esperado, pero puede ser ambiguo	1:1 o 1:N	AUXILIAR	MEDIO	ALTO	PARCIAL	Comparar precision/cobertura.
LL-007	CODCARPR_JORNADA_SEDE	CODCARPR+JORNADA+SEDE	Puente ampliado con sede.	carrera-sede-jornada	CARRERA_SEDE_JORNADA_VERSION	PROMEDIOS; archivo_listo; puente MU; DURACION	trim componentes	rellenar sede por defecto	SI_PARTE	Un codigo esperado si columnas completas	1:1 o parcial	AUXILIAR	MEDIO	MEDIO	PARCIAL	Puede perder cobertura si sede vacia.
LL-008	CODCARPR_JORNADA_SEDE_MODALIDAD_VERSION	CODCARPR+JORNADA+SEDE+MODALIDAD+VERSION	Llave institucional ampliada.	carrera-sede-jornada-version	CARRERA_SEDE_JORNADA_VERSION	archivo_listo; puente MU	trim componentes	imputar modalidad/version	SI_PARTE	Unico si todos componentes confiables	1:1 esperada	AUXILIAR	MEDIO	MEDIO	PARCIAL	Mas larga no siempre mejor.
LL-009	CODIGO_UNICO_PLAN_ESTUDIOS	CODIGO_UNICO+PLAN_ESTUDIOS	Llave esperada catalogo Carreras Avance.	carrera-plan	CARRERA_PLAN	Precargas; legacy; salidas con plan	trim; conservar texto	completar plan por defecto	NO	Unica en catalogo; puede repetir en matricula	1:N en matricula	PRINCIPAL_CATALOGO	MEDIO	MEDIO	PARCIAL	Plan requiere validacion institucional.
LL-010	DOCUMENTO_CODIGO_UNICO	DOCUMENTO+CODIGO_UNICO	Llave persona-carrera.	persona-carrera	PERSONA_CARRERA	Precarga Matricula; archivo_listo; legacy	normalizar documento auxiliar; codigo texto	usar solo documento si hay varias carreras	SI	Unica esperada en precarga	1:1 o 1:N si duplicado	PRINCIPAL_CANDIDATA	ALTO	ALTO	PARCIAL	Cruce con salida MU muestra cobertura parcial.
LL-011	DOCUMENTO_CODIGO_UNICO_PLAN_ESTUDIOS	DOCUMENTO+CODIGO_UNICO+PLAN_ESTUDIOS	Llave persona-carrera-plan.	persona-carrera-plan	PERSONA_CARRERA_PLAN	Precarga Matricula; legacy	normalizar componentes	asignar plan faltante	SI	Unica esperada si plan validado	1:1	PENDIENTE	MEDIO	MEDIO	PENDIENTE	Bloqueada por PLAN_ESTUDIOS.
LL-012	CODCLI_CODIGO_UNICO	CODCLI+CODIGO_UNICO	Llave persona-carrera cuando CODCLI esta disponible.	persona-carrera	PERSONA_CARRERA	archivo_listo; puente MU	trim componentes	crear CODCLI en precarga sin fuente	SI	Unica esperada en puente	1:1 o 1:N	AUXILIAR	MEDIO	ALTO	PARCIAL	Precarga no contiene CODCLI.
LL-013	CODCLI_PERIODO_ASIGNATURA	CODCLI+ANO+PERIODO+CODRAMO/ASIGNATURA	Llave de historial academico Hoja1.	persona-asignatura-periodo	PERSONA_ASIGNATURA_PERIODO	Hoja1	trim componentes; conservar ano/periodo	contar filas como unidades sin validar	SI	Puede repetir por seccion/equivalencia	1:N esperada	CONTRASTE	ALTO	MEDIO	PARCIAL	No computa avance sin reglas.
