ID_RELACION	SUBPROCESO_ORIGEN	CAMPO_ORIGEN	SUBPROCESO_DESTINO	CAMPO_DESTINO	TIPO_RELACION	CARDINALIDAD_ESPERADA	REGLA	FUENTE	SEVERIDAD	ESTADO	OBSERVACIONES
REL-001	Matrícula	CODIGO_UNICO	Carreras	CODIGO_UNICO	EXISTENCIA	N:1	Matrícula.CODIGO_UNICO debe existir en Carreras.CODIGO_UNICO	Instructivo_Avance Curricular SIES - 2026.txt	BLOCKER	DISEÑADA	No ejecutada productivamente.
REL-002	Matrícula	CODIGO_UNICO+PLAN_ESTUDIOS	Carreras	CODIGO_UNICO+PLAN_ESTUDIOS	EXISTENCIA	N:1	Matrícula.CODIGO_UNICO + PLAN_ESTUDIOS debe existir en Carreras	Instructivo_Avance Curricular SIES - 2026.txt	BLOCKER	DISEÑADA	No ejecutada productivamente.
REL-003	Carreras	TIPO_UNIDAD_MEDIDA	Matrícula	UNIDADES_*	UNIDAD_MEDIDA	1:N	Matrícula utiliza unidad de medida del plan	Instructivo_Avance Curricular SIES - 2026.txt	BLOCKER	DISEÑADA	No ejecutada productivamente.
REL-004	Matrícula	UNID_APROBADAS_TOTAL	Carreras	TOTAL_UNIDADES_MEDIDA	REFERENCIA	N:1	Aprobado total se compara con total del plan	Instructivo_Avance Curricular SIES - 2026.txt	WARNING	DISEÑADA	No ejecutada productivamente.
REL-005	Carreras	UNIDADES_1ER_ANIO..UNIDADES_7MO_ANIO	Carreras	TOTAL_UNIDADES_MEDIDA	SUMA	1:1	Distribución anual se compara con total	Instructivo_Avance Curricular SIES - 2026.txt	BLOCKER	DISEÑADA	No ejecutada productivamente.
REL-006	Matrícula	UNIDADES_APROBADAS	Matrícula	UNIDADES_CURSADAS	DESIGUALDAD	1:1	UNIDADES_APROBADAS <= UNIDADES_CURSADAS	Instructivo_Avance Curricular SIES - 2026.txt	ERROR	DISEÑADA	No ejecutada productivamente.
REL-007	Matrícula	UNID_APROBADAS_TOTAL	Matrícula	UNID_CURSADAS_TOTAL	DESIGUALDAD	1:1	UNID_APROBADAS_TOTAL <= UNID_CURSADAS_TOTAL	Instructivo_Avance Curricular SIES - 2026.txt	ERROR	DISEÑADA	No ejecutada productivamente.
REL-008	Matrícula	CONVALIDACIONES	Matrícula	UNIDADES_CURSADAS/UNIDADES_APROBADAS	EXCLUSION_ANUAL	N:1	Datos anuales no incluyen convalidaciones	Instructivo_Avance Curricular SIES - 2026.txt	BLOCKER	DISEÑADA	No ejecutada productivamente.
REL-009	Matrícula	CONVALIDACIONES	Matrícula	UNID_CURSADAS_TOTAL/UNID_APROBADAS_TOTAL	INCLUSION_ACUMULADO	N:1	Datos acumulados sí pueden incluirlas con respaldo	Instructivo_Avance Curricular SIES - 2026.txt	ERROR	DISEÑADA	No ejecutada productivamente.
REL-010	Matrícula	CURSO_1ER_SEM+CURSO_2DO_SEM	Matrícula	UNIDADES_CURSADAS	COHERENCIA	1:1	Ambos CURSO=NO con unidades >0 genera revisión, no corrección automática	Instructivo_Avance Curricular SIES - 2026.txt	WARNING	DISEÑADA	No ejecutada productivamente.
