SUBPROCESO	CAMPO_DESTINO	HOJA_CANDIDATA	COLUMNAS_CANDIDATAS	LLAVE_CANDIDATA	COBERTURA_FILAS	COBERTURA_PORCENTAJE	CALIDAD	CONFLICTOS	PERIODO_DETECTADO	UNIDAD_DE_MEDIDA_DETECTADA	NIVEL_RESPALDO	USO_PROPUESTO	APTO_AUTOMATICO	REQUIERE_VALIDACION	ESTADO	OBSERVACIONES
Carreras Avance Curricular 2026	PLAN_ESTUDIOS	Hoja1	PLAN_DE_ESTUDIO	CODCARR/PLAN_DE_ESTUDIO	15792	38.42	PARCIAL_REQUIERE_LINAJE	Requiere equivalencia CODCARR/CODIGO_UNICO y unidad de medida del plan.	2025 detectado en hoja candidata	NO	DATO_OBSERVADO_CANDIDATO	Perfil y diseño; no uso automático.	PARCIAL	SI	CANDIDATO	No completa datos; requiere fuentes institucionales definitivas.
Carreras Avance Curricular 2026	TIPO_UNIDAD_MEDIDA	NO_IDENTIFICADA	NO_IDENTIFICADA	CODIGO_UNICO+PLAN_ESTUDIOS	0	0.00	NO_DISPONIBLE	Fuente no identificada.	NO_DETERMINADO	NO	DATO_OBSERVADO_CANDIDATO	Perfil y diseño; no uso automático.	NO	SI	FALTANTE	No completa datos; requiere fuentes institucionales definitivas.
Carreras Avance Curricular 2026	TOTAL_UNIDADES_MEDIDA	NO_IDENTIFICADA	NO_IDENTIFICADA	CODIGO_UNICO+PLAN_ESTUDIOS	0	0.00	NO_DISPONIBLE	Fuente no identificada.	NO_DETERMINADO	NO	DATO_OBSERVADO_CANDIDATO	Perfil y diseño; no uso automático.	NO	SI	FALTANTE	No completa datos; requiere fuentes institucionales definitivas.
Carreras Avance Curricular 2026	UNIDADES_1ER_ANIO..UNIDADES_7MO_ANIO	NO_IDENTIFICADA	NO_IDENTIFICADA	CODIGO_UNICO+PLAN_ESTUDIOS	0	0.00	NO_DISPONIBLE	Fuente no identificada.	NO_DETERMINADO	NO	DATO_OBSERVADO_CANDIDATO	Perfil y diseño; no uso automático.	NO	SI	FALTANTE	No completa datos; requiere fuentes institucionales definitivas.
Matrícula Avance Curricular 2026	PLAN_ESTUDIOS	Hoja1	PLAN_DE_ESTUDIO	CODCLI/RUT+CODCARR	15792	38.42	PARCIAL_REQUIERE_LINAJE	Requiere equivalencia CODCARR/CODIGO_UNICO y unidad de medida del plan.	2025 detectado en hoja candidata	NO	DATO_OBSERVADO_CANDIDATO	Perfil y diseño; no uso automático.	PARCIAL	SI	CANDIDATO	No completa datos; requiere fuentes institucionales definitivas.
Matrícula Avance Curricular 2026	CURSO_1ER_SEM/CURSO_2DO_SEM	Hoja1	ANO+PERIODO+ESTADO	CODCLI/RUT+CODCARR	41106	100.00	PARCIAL_REQUIERE_LINAJE	Requiere equivalencia CODCARR/CODIGO_UNICO y unidad de medida del plan.	2025 detectado en hoja candidata	NO	DATO_OBSERVADO_CANDIDATO	Perfil y diseño; no uso automático.	PARCIAL	SI	CANDIDATO	No completa datos; requiere fuentes institucionales definitivas.
Matrícula Avance Curricular 2026	UNIDADES_CURSADAS	Hoja1	ASIGNATURA+ANO+PERIODO	CODCLI/RUT+CODCARR+ASIGNATURA	41106	100.00	PARCIAL_REQUIERE_LINAJE	Requiere equivalencia CODCARR/CODIGO_UNICO y unidad de medida del plan.	2025 detectado en hoja candidata	NO	DATO_OBSERVADO_CANDIDATO	Perfil y diseño; no uso automático.	PARCIAL	SI	CANDIDATO	No completa datos; requiere fuentes institucionales definitivas.
Matrícula Avance Curricular 2026	UNIDADES_APROBADAS	Hoja1	NOTA_FINAL+ESTADO	CODCLI/RUT+CODCARR+ASIGNATURA	40719	99.06	PARCIAL_REQUIERE_LINAJE	Requiere equivalencia CODCARR/CODIGO_UNICO y unidad de medida del plan.	2025 detectado en hoja candidata	NO	DATO_OBSERVADO_CANDIDATO	Perfil y diseño; no uso automático.	PARCIAL	SI	CANDIDATO	No completa datos; requiere fuentes institucionales definitivas.
Matrícula Avance Curricular 2026	UNID_CURSADAS_TOTAL/UNID_APROBADAS_TOTAL	Hoja1	ASIGNATURA+NOTA_FINAL+ESTADO+CONVALIDADO	CODCLI/RUT+CODCARR+ASIGNATURA	41106	100.00	PARCIAL_REQUIERE_LINAJE	Requiere equivalencia CODCARR/CODIGO_UNICO y unidad de medida del plan.	2025 detectado en hoja candidata	NO	DATO_OBSERVADO_CANDIDATO	Perfil y diseño; no uso automático.	PARCIAL	SI	CANDIDATO	No completa datos; requiere fuentes institucionales definitivas.
Matrícula Avance Curricular 2026	VIGENCIA	NO_IDENTIFICADA	NO_IDENTIFICADA	documento+CODIGO_UNICO	0	0.00	NO_DISPONIBLE	Fuente no identificada.	NO_DETERMINADO	NO	DATO_OBSERVADO_CANDIDATO	Perfil y diseño; no uso automático.	NO	SI	FALTANTE	No completa datos; requiere fuentes institucionales definitivas.
