ID	FUENTE	HOJA	SUBPROCESO_DESTINO	CAMPOS_DESTINO	COBERTURA_OBSERVADA	COBERTURA_POTENCIAL	DATOS_PERSONALES	LIMITACION	APTO	EVIDENCIA	ESTADO
CF-MU-001	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	Matrícula Avance Curricular 2026	PLAN_ESTUDIOS; CURSO_1ER_SEM; CURSO_2DO_SEM; UNIDADES_CURSADAS; UNIDADES_APROBADAS; UNID_CURSADAS_TOTAL; UNID_APROBADAS_TOTAL	41106 filas; 5174 CODCLI unicos; 5053 RUT unicos	PARCIAL	SI	No hay creditos ni unidad oficial; persona-asignatura; no computar productivamente sin validar.	PARCIAL	PERFIL_HOJAS_PROMEDIOSDEALUMNOS.tsv; codigo_gobernanza_v2 2.py:672-757	PENDIENTE_VALIDACION
CF-MU-002	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1	Carreras Avance Curricular 2026	PLAN_ESTUDIOS	72 PLAN_DE_ESTUDIO observados	PARCIAL	SI	No es catalogo de planes vigente; requiere equivalencia CODIGO_UNICO.	PARCIAL	DICCIONARIO_PROMEDIOSDEALUMNOS.tsv; EVALUACION_REUTILIZACION_MU_PARA_AVANCE.tsv	PENDIENTE_VALIDACION
CF-MU-003	PROMEDIOSDEALUMNOS_7804.xlsx	DatosAlumnos	Matrícula Avance Curricular 2026	PLAN_ESTUDIOS indirecto; VIGENCIA contraste; ANIO/SEM ingreso	13707 filas; 13704 CODCLI unicos	PARCIAL	SI	No contiene unidades ni plan oficial; vigencia Extranjeros no reusable.	PARCIAL	generar_base_maestra_fase2 2.py:220-242,586-603	PENDIENTE_VALIDACION
CF-MU-004	PROMEDIOSDEALUMNOS_7804.xlsx	matriz	Carreras Avance Curricular 2026	CODIGO_UNICO; VIGENCIA; duracion/nivel como contraste	139 filas; 139 CODIGO_UNICO unicos	PARCIAL	NO	No contiene PLAN_ESTUDIOS ni unidades por ano.	PARCIAL	PERFIL_HOJAS_PROMEDIOSDEALUMNOS.tsv	ENCONTRADA_USADA
CF-MU-005	PROMEDIOSDEALUMNOS_7804.xlsx	base_datos	Ambos	LLAVE CODCLI/RUT	72 filas; 66 CODCLI no vacios	PARCIAL	SI	Cobertura parcial; no contiene campos Avance.	PARCIAL	AUDITORIA_CRUCES_BASE_MAESTRA.csv; generar_base_maestra_fase2 2.py:690-703	ENCONTRADA_USADA
CF-MU-006	resultados/archivo_listo_para_sies.xlsx	ARCHIVO_LISTO_SUBIDA	Matrícula Avance Curricular 2026	PLAN_ESTUDIOS; CODIGO_UNICO; ANIO/SEM origen; contraste identidad	34522 filas; 4118 CODCLI unicos	PARCIAL	SI	Salida derivada MU; contiene datos personales; deduplicacion por CODCLI historica no basta.	PARCIAL	generar_base_maestra_fase2 2.py:260-298; resolver_codigos_sies_v6 2.py:159-192	ENCONTRADA_USADA
CF-MU-007	resultados/matricula_unificada_2026_control.csv	NO_APLICA	Matrícula Avance Curricular 2026	Identidad y campos MU32 como contraste	4115 filas; N_DOC unico en control	PARCIAL	SI	Reglas MU32 no son Avance; no contiene unidades Avance oficiales.	PARCIAL	DOCUMENTACION_TECNICA.md:411-417	PENDIENTE_VALIDACION
CF-MU-008	resultados/puentes/PUENTE_MU_EXTRANJEROS_CODIGOS_SIES_2026.tsv	NO_APLICA	Ambos	CODIGO_UNICO; PLAN_DE_ESTUDIO; llave compuesta	4117 filas; 0 duplicados por llave compuesta	PARCIAL	SI	Derivado; contiene RUT; apto como trazabilidad/contraste, no como fuente primaria.	PARCIAL	REPORTE_INTEGRACION_MU_EXTRANJEROS_V7 2.md:5-13; tests/test_integracion_mu_extranjeros 2.py:8-15	ENCONTRADA_USADA
CF-MU-009	control/catalogos/PUENTE_SIES_COMPILADO.tsv	NO_APLICA	Carreras Avance Curricular 2026	CODIGO_UNICO por CODCARPR/JORNADA	161 filas; 91 CODIGO_UNICO_FINAL no vacios	COMPLEMENTARIA	NO	Ambiguedades de CODCARPR/JORNADA; no malla.	PARCIAL	generar_base_maestra_fase2 2.py:451-493	ENCONTRADA_USADA
CF-MU-010	DURACION_ESTUDIOS.tsv	NO_APLICA	Carreras Avance Curricular 2026	VIGENCIA; duracion/nivel como contraste	154 filas; 137 CODIGO_UNICO unicos	COMPLEMENTARIA	NO	No contiene unidades por ano ni total de unidades; duracion no reemplaza malla.	PARCIAL	codigo_gobernanza_v2 2.py:53-101,4719-4739	ENCONTRADA_USADA
CF-MU-011	resultados/matricula_avance_curricular_2025_control.csv	NO_APLICA	Matrícula Avance Curricular 2026	Todos los campos de matricula como referencia historica	5173 filas; 5053 documentos unicos	CONTRASTE	SI	Resultado legacy 2025; no fuente institucional 2026.	NO	corregir_universo_extranjeros_2025 2.py:344-346,454	LEGACY
CF-MU-012	No localizada	NO_APLICA	Carreras Avance Curricular 2026	TIPO_UNIDAD_MEDIDA; OTRA_UNIDAD_MEDIDA; TOTAL_UNIDADES_MEDIDA; UNIDADES_1ER_ANIO..UNIDADES_7MO_ANIO	0	NO	NO	Falta malla curricular o plan oficial con unidades.	NO	EVALUACION_REUTILIZACION_MU_PARA_AVANCE.tsv	FUENTE_FALTANTE
