HOJA	POSICION	COLUMNA_ORIGINAL	COLUMNA_NORMALIZADA	TIPO_OBSERVADO	EJEMPLOS_ENMASCARADOS	NULOS	NO_NULOS	VALORES_DISTINTOS	POSIBLE_SIGNIFICADO	CAMPO_DESTINO_CANDIDATO	NIVEL_RESPALDO	TRANSFORMACION_CANDIDATA	RIESGO	ESTADO_MAPEO	OBSERVACIONES
Hoja1	1	CODCLI	CODCLI	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	0	41106	5174	identificador interno de estudiante/carrera	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
Hoja1	2	RUT	RUT	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	0	41106	5053	identificador personal	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
Hoja1	3	DIG	DIG	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	0	41106	11	dígito verificador	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
Hoja1	4	NOMBRE	NOMBRE	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	0	41106	4015	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
Hoja1	5	PATERNO	PATERNO	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	0	41106	1624	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
Hoja1	6	MATERNO	MATERNO	DATO_PERSONAL_ENMASCARADO	<DATO_PERSONAL_ENMASCARADO>	61	41045	1527	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	ALTO_DATOS_PERSONALES	NO_MAPEADO	No contiene valores reales en este diccionario.
Hoja1	7	CODCARR	CODCARR	CODIGO_O_TEXTO_CORTO	<CODIGO_O_TEXTO_CORTO>	0	41106	64	código interno de carrera	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
Hoja1	8	CARRERA	CARRERA	CODIGO_O_TEXTO_CORTO | TEXTO	<TEXTO> | <CODIGO_O_TEXTO_CORTO>	0	41106	48	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
Hoja1	9	JORNADA	JORNADA	TEXTO	<TEXTO>	0	41106	3	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
Hoja1	10	REGIMEN	REGIMEN	CODIGO_O_TEXTO_CORTO	<CODIGO_O_TEXTO_CORTO>	0	41106	4	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
Hoja1	11	RAMOEQUIV	RAMOEQUIV	CODIGO_O_TEXTO_CORTO	<CODIGO_O_TEXTO_CORTO>	0	41106	845	NO_DETERMINADO	UNIDADES_CURSADAS/UNID_CURSADAS_TOTAL (candidato)	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	CANDIDATO	No contiene valores reales en este diccionario.
Hoja1	12	CODRAMO	CODRAMO	CODIGO_O_TEXTO_CORTO	<CODIGO_O_TEXTO_CORTO>	0	41106	856	NO_DETERMINADO	UNIDADES_CURSADAS/UNID_CURSADAS_TOTAL (candidato)	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	CANDIDATO	No contiene valores reales en este diccionario.
Hoja1	13	CODSECC	CODSECC	NUMERO	<NUMERO>	0	41106	37	NO_DETERMINADO	NO_DETERMINADO	DATO_OBSERVADO_FUENTE_INSTITUCIONAL_CANDIDATA	Solo mapeo candidato; no apto automático sin validación.	MEDIO	NO_MAPEADO	No contiene valores reales en este diccionario.
