POSICION_OBSERVADA	NOMBRE_CAMPO_OBSERVADO	EN_CONTRATO_PES	PRIMERA_COLUMNA_INSTITUCIONAL	MODIFICABLE_SEGUN_INSTRUCTIVO	NO_MODIFICABLE_SEGUN_INSTRUCTIVO	CONTIENE_DATOS_PERSONALES_POR_NOMBRE	VACIOS_OBSERVADOS	VALORES_DISTINTOS_CONTEO	TIPOS_OBSERVADOS	OBSERVACIONES
1	CODIGO_IES_NUM	NO	SI	NO	NO	NO	0	1	ENTERO_TEXTO	Columna institucional a eliminar solo al generar PES final.
2	CODIGO_UNICO	SI	NO	NO	SI	NO	0	43	TEXTO	NO_APLICA
3	PLAN_ESTUDIOS	SI	NO	SI	NO	NO	0	1	ENTERO_TEXTO	NO_APLICA
4	NOMBRE_SEDE	SI	NO	NO	SI	NO	0	1	TEXTO	NO_APLICA
5	NOMBRE_CARRERA	SI	NO	NO	SI	NO	0	19	TEXTO	NO_APLICA
6	JORNADA	SI	NO	NO	SI	NO	0	3	ENTERO_TEXTO	NO_APLICA
7	VERSION	SI	NO	NO	SI	NO	0	4	ENTERO_TEXTO	NO_APLICA
8	DURACION_ESTUDIOS	SI	NO	NO	SI	NO	0	3	ENTERO_TEXTO	NO_APLICA
9	DURACION_TITULACION	SI	NO	NO	SI	NO	0	1	ENTERO_TEXTO	NO_APLICA
10	DURACION_TOTAL	SI	NO	NO	SI	NO	0	3	ENTERO_TEXTO	NO_APLICA
11	NIVEL_CARRERA	SI	NO	NO	SI	NO	0	2	ENTERO_TEXTO	NO_APLICA
12	TIPO_UNIDAD_MEDIDA	SI	NO	SI	NO	NO	43	1	VACIO	NO_APLICA
13	OTRA_UNIDAD_MEDIDA	SI	NO	SI	NO	NO	43	1	VACIO	NO_APLICA
14	TOTAL_UNIDADES_MEDIDA	SI	NO	SI	NO	NO	43	1	VACIO	NO_APLICA
15	UNIDADES_1ER_ANIO	SI	NO	SI	NO	NO	43	1	VACIO	NO_APLICA
16	UNIDADES_2DO_ANIO	SI	NO	SI	NO	NO	43	1	VACIO	NO_APLICA
17	UNIDADES_3ER_ANIO	SI	NO	SI	NO	NO	43	1	VACIO	NO_APLICA
18	UNIDADES_4TO_ANIO	SI	NO	SI	NO	NO	43	1	VACIO	NO_APLICA
19	UNIDADES_5TO_ANIO	SI	NO	SI	NO	NO	43	1	VACIO	NO_APLICA
20	UNIDADES_6TO_ANIO	SI	NO	SI	NO	NO	43	1	VACIO	NO_APLICA
21	UNIDADES_7MO_ANIO	SI	NO	SI	NO	NO	43	1	VACIO	NO_APLICA
22	VIGENCIA	SI	NO	SI	NO	NO	0	1	ENTERO_TEXTO	NO_APLICA
