POSICION_OBSERVADA	NOMBRE_CAMPO_OBSERVADO	EN_CONTRATO_PES	PRIMERA_COLUMNA_INSTITUCIONAL	MODIFICABLE_SEGUN_INSTRUCTIVO	NO_MODIFICABLE_SEGUN_INSTRUCTIVO	CONTIENE_DATOS_PERSONALES_POR_NOMBRE	VACIOS_OBSERVADOS	VALORES_DISTINTOS_CONTEO	TIPOS_OBSERVADOS	OBSERVACIONES
1	CODIGO_IES_NUM	NO	SI	NO	NO	NO	0	1	ENTERO_TEXTO	Columna institucional a eliminar solo al generar PES final.
2	TIPO_DOCUMENTO	SI	NO	NO	SI	SI	0	2	TEXTO	NO_APLICA
3	NUM_DOCUMENTO	SI	NO	NO	SI	SI	0	2370	ENTERO_TEXTO	NO_APLICA
4	DV	SI	NO	NO	SI	SI	25	12	ENTERO_TEXTO | TEXTO | VACIO	NO_APLICA
5	PRIMER_APELLIDO	SI	NO	NO	SI	SI	0	880	TEXTO	NO_APLICA
6	SEGUNDO_APELLIDO	SI	NO	NO	SI	SI	10	846	TEXTO | VACIO	NO_APLICA
7	NOMBRES	SI	NO	NO	SI	SI	0	1875	TEXTO	NO_APLICA
8	SEXO	SI	NO	NO	SI	SI	0	2	TEXTO	NO_APLICA
9	FECHA_NACIMIENTO	SI	NO	NO	SI	SI	0	2093	TEXTO	NO_APLICA
10	CODIGO_UNICO	SI	NO	NO	SI	NO	0	43	TEXTO	NO_APLICA
11	PLAN_ESTUDIOS	SI	NO	SI	NO	NO	0	1	ENTERO_TEXTO	NO_APLICA
12	ANIO_INGRESO_CARRERA_ACTUAL	SI	NO	NO	SI	NO	0	8	ENTERO_TEXTO	NO_APLICA
13	SEM_INGRESO_CARRERA_ACTUAL	SI	NO	NO	SI	NO	0	2	ENTERO_TEXTO	NO_APLICA
14	ANIO_INGRESO_CARRERA_ORIGEN	SI	NO	NO	SI	NO	0	17	ENTERO_TEXTO	NO_APLICA
15	SEM_INGRESO_CARRERA_ORIGEN	SI	NO	NO	SI	NO	0	3	ENTERO_TEXTO	NO_APLICA
16	CURSO_1ER_SEM	SI	NO	SI	NO	NO	2371	1	VACIO	NO_APLICA
17	CURSO_2DO_SEM	SI	NO	SI	NO	NO	2371	1	VACIO	NO_APLICA
18	UNIDADES_CURSADAS	SI	NO	SI	NO	NO	2371	1	VACIO	NO_APLICA
19	UNIDADES_APROBADAS	SI	NO	SI	NO	NO	2371	1	VACIO	NO_APLICA
20	UNID_CURSADAS_TOTAL	SI	NO	SI	NO	NO	2371	1	VACIO	NO_APLICA
21	UNID_APROBADAS_TOTAL	SI	NO	SI	NO	NO	2371	1	VACIO	NO_APLICA
22	VIGENCIA	SI	NO	SI	NO	NO	0	1	ENTERO_TEXTO	NO_APLICA
