SUBPROCESO_DESTINO	CAMPO_DESTINO	FUENTE_CANDIDATA	HOJA	COLUMNAS_ORIGEN	LLAVE	ANIO	PERIODO	GRANULARIDAD	COBERTURA_POTENCIAL	COINCIDE_UNIDAD_MEDIDA	DISTINGUE_ANUAL_ACUMULADO	DISTINGUE_SEMESTRE	DISTINGUE_CONVALIDACION	DISTINGUE_PLAN_ESTUDIOS	REQUIERE_TRANSFORMACION	RIESGO	APTO_COMO_FUENTE	TIPO_USO	BLOQUEO	EVIDENCIA	OBSERVACIONES
Carreras Avance Curricular 2026	PLAN_ESTUDIOS	PROMEDIOSDEALUMNOS_7804.xlsx; archivo_listo_para_sies.xlsx	Hoja1; ARCHIVO_LISTO_SUBIDA	PLAN_DE_ESTUDIO; CODIGO_CARRERA_SIES_FINAL	CODCARR/CODCLI; CODIGO_UNICO	2025	PERIODO variable	PERSONA_ASIGNATURA/PERSONA_CARRERA	Parcial: Hoja1 41106 filas y 72 planes observados; archivo_listo 4118 CODCLI unicos	NO	PARCIAL	SI	NO	SI	SI	PLAN_DE_ESTUDIO debe validarse contra catalogo oficial de planes; posible duplicidad PLAN_DE_ESTUDIO.1	PARCIAL	FUENTE_COMPLEMENTARIA	B03	salida perfiles PROMEDIOS; generar_base_maestra_fase2 2.py:571-591	No marcar SI hasta validar equivalencia CODCARR/CODIGO_UNICO/PLAN_ESTUDIOS.
Carreras Avance Curricular 2026	TIPO_UNIDAD_MEDIDA	No localizada en MU	NO_APLICA	NO_IDENTIFICADA	CODIGO_UNICO+PLAN_ESTUDIOS	2025	NO_DETERMINADO	CARRERA_PLAN	0	NO	NO	NO	NO	NO	SI	No hay columna ni fuente institucional de malla/unidad.	NO	NO_APLICA	B03	PERFIL_HOJAS_PROMEDIOSDEALUMNOS.tsv; FUENTES_REUTILIZABLES_DESDE_MU.tsv	Permanece fuente faltante.
Carreras Avance Curricular 2026	OTRA_UNIDAD_MEDIDA	No localizada en MU	NO_APLICA	NO_IDENTIFICADA	CODIGO_UNICO+PLAN_ESTUDIOS	2025	NO_DETERMINADO	CARRERA_PLAN	0	NO	NO	NO	NO	NO	SI	Depende de tipo de unidad; no hay fuente.	NO	NO_APLICA	B03	PERFIL_HOJAS_PROMEDIOSDEALUMNOS.tsv	Permanece fuente faltante.
Carreras Avance Curricular 2026	TOTAL_UNIDADES_MEDIDA	No localizada en MU; DURACION_ESTUDIOS solo contraste	DURACION_ESTUDIOS.tsv	DURACION_ESTUDIOS|DURACION_TOTAL	CODIGO_UNICO	2026	NO_DETERMINADO	CARRERA_PLAN	154 filas de duracion; 0 unidades oficiales	NO	NO	NO	NO	NO	SI	Confundir duracion con unidades de malla generaria error funcional.	NO	CONTRASTE	B03	DURACION_ESTUDIOS.tsv perfil local	Se requiere malla curricular o plan oficial con unidades.
Carreras Avance Curricular 2026	UNIDADES_1ER_ANIO	No localizada en MU	NO_APLICA	NO_IDENTIFICADA	CODIGO_UNICO+PLAN_ESTUDIOS	2025	ANUAL	CARRERA_PLAN	0	NO	NO	NO	NO	NO	SI	Hoja1 tiene asignaturas cursadas, no unidades por ano de malla.	NO	NO_APLICA	B03	COBERTURA_CAMPOS_DESDE_PROMEDIOS.tsv	Requiere malla por ano.
Carreras Avance Curricular 2026	UNIDADES_2DO_ANIO	No localizada en MU	NO_APLICA	NO_IDENTIFICADA	CODIGO_UNICO+PLAN_ESTUDIOS	2025	ANUAL	CARRERA_PLAN	0	NO	NO	NO	NO	NO	SI	Hoja1 tiene registros persona-asignatura, no distribucion de malla.	NO	NO_APLICA	B03	COBERTURA_CAMPOS_DESDE_PROMEDIOS.tsv	Requiere malla por ano.
Carreras Avance Curricular 2026	UNIDADES_3ER_ANIO	No localizada en MU	NO_APLICA	NO_IDENTIFICADA	CODIGO_UNICO+PLAN_ESTUDIOS	2025	ANUAL	CARRERA_PLAN	0	NO	NO	NO	NO	NO	SI	Hoja1 tiene registros persona-asignatura, no distribucion de malla.	NO	NO_APLICA	B03	COBERTURA_CAMPOS_DESDE_PROMEDIOS.tsv	Requiere malla por ano.
Carreras Avance Curricular 2026	UNIDADES_4TO_ANIO	No localizada en MU	NO_APLICA	NO_IDENTIFICADA	CODIGO_UNICO+PLAN_ESTUDIOS	2025	ANUAL	CARRERA_PLAN	0	NO	NO	NO	NO	NO	SI	Hoja1 tiene registros persona-asignatura, no distribucion de malla.	NO	NO_APLICA	B03	COBERTURA_CAMPOS_DESDE_PROMEDIOS.tsv	Requiere malla por ano.
Carreras Avance Curricular 2026	UNIDADES_5TO_ANIO	No localizada en MU	NO_APLICA	NO_IDENTIFICADA	CODIGO_UNICO+PLAN_ESTUDIOS	2025	ANUAL	CARRERA_PLAN	0	NO	NO	NO	NO	NO	SI	Hoja1 tiene registros persona-asignatura, no distribucion de malla.	NO	NO_APLICA	B03	COBERTURA_CAMPOS_DESDE_PROMEDIOS.tsv	Requiere malla por ano.
Carreras Avance Curricular 2026	UNIDADES_6TO_ANIO	No localizada en MU	NO_APLICA	NO_IDENTIFICADA	CODIGO_UNICO+PLAN_ESTUDIOS	2025	ANUAL	CARRERA_PLAN	0	NO	NO	NO	NO	NO	SI	Hoja1 tiene registros persona-asignatura, no distribucion de malla.	NO	NO_APLICA	B03	COBERTURA_CAMPOS_DESDE_PROMEDIOS.tsv	Requiere malla por ano.
