ID_FUENTE	PROCESO_ORIGEN	SUBPROCESO_ORIGEN	NOMBRE_ARCHIVO	RUTA	FORMATO	HOJA	GRANULARIDAD	ANIO_DATOS	PERIODO	COLUMNAS_RELEVANTES	LLAVES_DISPONIBLES	CONTIENE_DATOS_PERSONALES	USADA_EN_EXTRANJEROS	EVIDENCIA_USO_EXTRANJEROS	CAMPO_AVANCE_CANDIDATO	COBERTURA_ESTIMADA	LIMITACIONES	NIVEL_RESPALDO	ESTADO	OBSERVACIONES
FR-MU-001	Matricula Unificada 2026	Fuente academica historica	PROMEDIOSDEALUMNOS_7804.xlsx	input/PROMEDIOSDEALUMNOS_7804.xlsx	XLSX	Hoja1	PERSONA_ASIGNATURA	2025 y otros	ANO/PERIODO	CODCLI|RUT|DIG|CODCARR|CODRAMO|ASIGNATURA|NOTA_FINAL|ANO|PERIODO|ESTADO|DESCRIPCION_ESTADO|CONVALIDADO|ESTADO_ACADEMICO|PLAN_DE_ESTUDIO	CODCLI|RUT+DIG|CODCARR|RUT+DIG+CODCARR	SI	SI	corregir_universo_extranjeros_2025 2.py:318-339; codigo_gobernanza_v2 2.py:672-757	PLAN_ESTUDIOS; CURSO_1ER_SEM; CURSO_2DO_SEM; UNIDADES_CURSADAS; UNIDADES_APROBADAS; totales academicos	41106 filas; CODCLI no unico por granularidad asignatura; 5174 CODCLI unicos observados	No contiene creditos/unidad oficial; asignatura no equivale automaticamente a unidad; nota no basta como aprobacion normativa; contiene datos personales.	ALTO	ENCONTRADA_USADA	Usar solo como fuente candidata/contraste hasta validar unidad de medida de Avance.
FR-MU-002	Matricula Unificada 2026	Datos institucionales persona-carrera	PROMEDIOSDEALUMNOS_7804.xlsx	input/PROMEDIOSDEALUMNOS_7804.xlsx	XLSX	DatosAlumnos	PERSONA_CARRERA	2025	ANOMATRICULA/PERIODOMATRICULA	CODCLI|RUT|CODCARPR|NOMBRE_L|ANOMATRICULA|PERIODOMATRICULA|ANOINGRESO|PERIODOINGRESO|FECHAMATRICULA|ESTADOACADEMICO|SITUACION|MATRICULA	CODCLI|RUT|CODCARPR|RUT+CODCARPR	SI	SI	generar_base_maestra_fase2 2.py:220-223,554-603; corregir_universo_extranjeros_2025 2.py:310-317	Identidad; ANIO/SEM ingreso; VIGENCIA como contraste; estado/situacion como antecedente	13707 filas; 13704 CODCLI unicos; RUT se repite por carreras	No contiene unidades cursadas/aprobadas ni malla; VIGENCIA de Extranjeros no es reutilizable como regla de Avance; RUT many-to-many.	ALTO	ENCONTRADA_USADA	Principal fuente usada por Extranjeros para base inicial y vigencia 2025.
FR-MU-003	Matricula Unificada 2026	Catalogo programa/carrera	PROMEDIOSDEALUMNOS_7804.xlsx	input/PROMEDIOSDEALUMNOS_7804.xlsx	XLSX	matriz	CARRERA_PLAN	2025/2026	NO_DETERMINADO	CODIGO_IES_NUM|CODIGO_UNICO|NOMBRE_SEDE|NOMBRE_CARRERA|MODALIDAD|JORNADA|TIPO_PLAN_CARRERA|DURACION_ESTUDIOS|DURACION_TITULACION|DURACION_TOTAL|NIVEL_CARRERA|VIGENCIA	CODIGO_UNICO	NO	SI	generar_base_maestra_fase2 2.py:228-240,515-518; PERFIL_HOJAS_PROMEDIOSDEALUMNOS.tsv	PLAN_ESTUDIOS como contraste; VIGENCIA carreras; duracion como contexto	139 filas; 139 CODIGO_UNICO unicos	No contiene PLAN_ESTUDIOS explicito ni unidades por ano; duracion no equivale a TOTAL_UNIDADES_MEDIDA.	MEDIO	ENCONTRADA_USADA	Fuente complementaria para carreras, no suficiente para malla Avance.
FR-MU-004	Matricula Unificada 2026	Equivalencia persona CODCLI/RUT	PROMEDIOSDEALUMNOS_7804.xlsx	input/PROMEDIOSDEALUMNOS_7804.xlsx	XLSX	base_datos	PERSONA	NO_DETERMINADO	NO_DETERMINADO	RUT|DV|CODCLI	RUT+DV|CODCLI	SI	SI	generar_base_maestra_fase2 2.py:690-703	LLAVE	72 filas; 66 CODCLI no vacios y unicos	Cobertura parcial; CODCLI no reemplaza documento oficial; datos personales.	MEDIO	ENCONTRADA_USADA	Util para conciliacion de llaves, no para campos de Avance.
FR-MU-005	Matricula Unificada 2026	Salida auditada y diagnostico MU	archivo_listo_para_sies.xlsx	resultados/archivo_listo_para_sies.xlsx	XLSX	ARCHIVO_LISTO_SUBIDA	PERSONA_CARRERA_DIAGNOSTICO	2025/2026	DA_ANOMATRICULA/PERIODO	CODCLI|N_DOC|DV|PLAN_DE_ESTUDIO|CODIGO_CARRERA_SIES_FINAL|ANIO_ING_ACT|SEM_ING_ACT|ANIO_ING_ORI|SEM_ING_ORI|PAIS_EST_SEC|DA_MATCH_MODO|DA_ESTADOACADEMICO|DA_SITUACION	CODCLI|N_DOC+DV|CODIGO_CARRERA_SIES_FINAL	SI	SI	generar_base_maestra_fase2 2.py:260-298,571-591; resolver_codigos_sies_v6 2.py:159-192	PLAN_ESTUDIOS; CODIGO_UNICO; ANIO/SEM; llave de contraste	34522 filas; 4118 CODCLI unicos observados	Es salida derivada, no fuente institucional primaria; contiene datos personales; deduplicacion por CODCLI debe auditarse.	ALTO	ENCONTRADA_USADA	Apta como contraste y trazabilidad, no como norma.
FR-MU-006	Matricula Unificada 2026	Salida contractual MU	matricula_unificada_2026_control.csv	resultados/matricula_unificada_2026_control.csv	CSV	NO_APLICA	PERSONA_CARRERA	2026	NO_DETERMINADO	TIPO_DOC|N_DOC|DV|COD_CAR|JOR|VERSION|ANIO_ING_ACT|SEM_ING_ACT|ASI_INS_ANT|ASI_APR_ANT|ASI_INS_HIS|ASI_APR_HIS|VIG	N_DOC+DV|COD_CAR|VIG	SI	SI	resolver_codigos_sies_v6 2.py:173-190; DOCUMENTACION_TECNICA.md:411-417	Identidad y contraste de matricula	4115 filas de control; N_DOC unico en control observado	CSV regulatorio de MU; campos MU32 no son definiciones de Avance; pregrado sin encabezado contiene datos personales.	ALTO	ENCONTRADA_USADA	No usar reglas MU32 como reglas de Avance.
FR-MU-007	Matricula Unificada 2026	Salida puente MU a Extranjeros	PUENTE_MU_EXTRANJEROS_CODIGOS_SIES_2026.tsv	resultados/puentes/PUENTE_MU_EXTRANJEROS_CODIGOS_SIES_2026.tsv	TSV	NO_APLICA	PERSONA_CARRERA	2026	NO_DETERMINADO	ANIO_PROCESO|CODCLI|RUT|CODCARPR|PLAN_DE_ESTUDIO|COD_SED|MODALIDAD|JOR|VERSION|CODIGO_UNICO|ESTADO_GOBERNANZA	CODCLI+CODCARPR+PLAN_DE_ESTUDIO+COD_SED+JOR+MODALIDAD|CODCLI|RUT	SI	SI	REPORTE_INTEGRACION_MU_EXTRANJEROS_V7 2.md:5-13; tests/test_integracion_mu_extranjeros 2.py:8-15	CODIGO_UNICO; PLAN_ESTUDIOS; llave compuesta	4117 filas; 0 duplicados por llave compuesta; 4117 CODCLI unicos	Puente derivado con RUT; V1/V2 tienen codigos vacios o pendientes; no fuente primaria.	ALTO	ENCONTRADA_USADA	Reutilizable como evidencia historica/metodologia de llave; no copiar a Git sin resguardo.
FR-MU-008	Matricula Unificada 2026	Catalogo puente SIES	PUENTE_SIES_COMPILADO.tsv	control/catalogos/PUENTE_SIES_COMPILADO.tsv	TSV	NO_APLICA	CARRERA_JORNADA	2026	NO_DETERMINADO	CODCARPR|JORNADA|NOMBRE_L|CODIGO_UNICO_FINAL|CODIGOS_SIES_POTENCIALES|RESOLUCION_STATUS|GOBERNANZA_STATUS	CODCARPR+JORNADA|CODIGO_UNICO_FINAL	NO	SI	generar_base_maestra_fase2 2.py:451-493; resolver_codigos_sies_v6 2.py:195-226	CODIGO_UNICO; contraste carreras	161 filas; 91 con CODIGO_UNICO_FINAL; 61 codigos finales unicos	Ambiguos deben quedar pendientes; CODCARPR solo no basta.	ALTO	ENCONTRADA_USADA	Fuente de catalogo/puente, no reemplaza validacion de malla.
FR-MU-009	Matricula Unificada 2026	Catalogo duracion/oferta	DURACION_ESTUDIOS.tsv	DURACION_ESTUDIOS.tsv	TSV	NO_APLICA	CARRERA_PLAN	2026	NO_DETERMINADO	CODIGO_UNICO|CODIGO_CARRERA|NOMBRE_CARRERA|MODALIDAD|JORNADA|DURACION_ESTUDIOS|DURACION_TITULACION|DURACION_TOTAL|NIVEL_CARRERA|VIGENCIA|CODCARPR_CANONICO	CODIGO_UNICO|CODIGO_CARRERA|CODCARPR_CANONICO	NO	SI	codigo_gobernanza_v2 2.py:53-101,4719-4739; cerrar_icre068_extranjeros_v8 2.py:152-155	VIGENCIA carreras; duracion; contraste codigo	154 filas; 137 CODIGO_UNICO unicos	No contiene unidades de malla ni PLAN_ESTUDIOS; duracion no es avance curricular.	MEDIO	ENCONTRADA_USADA	Fuente complementaria para carreras/oferta.
FR-MU-010	Avance Curricular 2025 / Matricula local	Salida legacy usada por Extranjeros	matricula_avance_curricular_2025_control.csv	resultados/matricula_avance_curricular_2025_control.csv	CSV	NO_APLICA	PERSONA_CARRERA	2025	ANUAL	CODIGO_UNICO|PLAN_ESTUDIOS|CURSO_1ER_SEM|CURSO_2DO_SEM|UNIDADES_CURSADAS|UNIDADES_APROBADAS|UNID_CURSADAS_TOTAL|UNID_APROBADAS_TOTAL|VIGENCIA	NUM_DOCUMENTO+DV|CODIGO_UNICO	SI	SI	corregir_universo_extranjeros_2025 2.py:344-346,425-454; REPORTE_FASE_4_CRUCES 2.md:7-29	Contraste historico para campos Avance	5173 filas; 5053 documentos unicos observados	Resultado legacy, no fuente institucional; no debe usarse como norma para 2026.	MEDIO	LEGACY	Util para reconstruccion historica y pruebas de coherencia, no para completar Avance 2026.
