RUTA	CLASIFICACION	MENCIONES_AVANCE_SIES	POTENCIAL_MEZCLA_PROCESOS	USO_RECOMENDADO	OBSERVACIONES
scripts/auditar_74_ajustes_sede_mu2026 2.py	código activo o transicional	42	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/compile_puente_sies_compilado.py	código activo o transicional	32	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/validate_oficial.sh	código activo o transicional	1	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/auditoria_integral_multicodcli_2026 2.py	código activo o transicional	6	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/fase1_fase2_duracion_unica.py	código activo o transicional	11	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/fase4_adaptador_paralelo_codcarpr 2.py	código activo o transicional	7	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/run_loop_remediacion_codcli 2.sh	código activo o transicional	8	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/run_loop_remediacion_codcli.sh	código activo o transicional	8	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/fase1_fase2_duracion_unica 2.py	código activo o transicional	11	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/run_mu_operativo.sh	código activo o transicional	1	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/marcar_alertas_codcar 2.py	código activo o transicional	24	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/run_integracion_tests 2.py	código activo o transicional	1	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/agregar_columnas_faltantes 2.py	código activo o transicional	2	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/verificar_4_columnas_mu.py	código activo o transicional	1	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/fase4_adaptador_paralelo_codcarpr.py	código activo o transicional	7	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/test_niv_aca_priority 2.py	código activo o transicional	1	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/compile_puente_sies_compilado 2.py	código activo o transicional	32	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/auditoria_maestra 2.py	código activo o transicional	5	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/auditar_caso_netmre016_mu2026 2.py	código activo o transicional	40	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/run_oficial.sh	código activo o transicional	4	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/cerrar_icre068_extranjeros_v8 2.py	código activo o transicional	23	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/marcar_alertas_codcar.py	código activo o transicional	24	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/test_niv_aca_priority.py	código activo o transicional	1	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/fase3_resolucion_codcarpr.py	código activo o transicional	9	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/remediar_duracion_desde_sin_match 2.py	código activo o transicional	5	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/agregar_columnas_faltantes.py	código activo o transicional	2	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/verificar_4_columnas_mu 2.py	código activo o transicional	1	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/auditar_combinaciones_sies_mu2026 2.py	código activo o transicional	49	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/auditoria_maestra.py	código activo o transicional	5	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/run_mu_operativo 2.sh	código activo o transicional	1	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/fase3_resolucion_codcarpr 2.py	código activo o transicional	9	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
scripts/remediar_duracion_desde_sin_match.py	código activo o transicional	5	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/config_for_ing_act 2.json	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/baseline_mu_2026.json	control, auditoría o gobernanza	2	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/config_for_ing_act.json	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/tablero_mu_2026.tsv	control, auditoría o gobernanza	14	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/reporte_fase_2_sies_oferta_mu_2026.md	control, auditoría o gobernanza	8	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/puente_sies_necesidad_eval_2026-04-09.tsv	control, auditoría o gobernanza	2	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/inventario_limpieza_mu_2026.tsv	control, auditoría o gobernanza	9	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/resultado_corrida_referencia_mu_2026.md	control, auditoría o gobernanza	4	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/audit_eliminacion_puente_sies_2026-04-09.md	control, auditoría o gobernanza	28	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/audit_gitignore_duracion_activada_2026-04-09.md	control, auditoría o gobernanza	6	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/audit_catalogos_sies_resolucion_cicre_2026-04-09.md	control, auditoría o gobernanza	23	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/catalogo_resolucion_codcarpr_fase3.tsv	control, auditoría o gobernanza	139	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/sies_pendientes.tsv	control, auditoría o gobernanza	398	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/reporte_compilacion_puente_sies_diag_pre.json	control, auditoría o gobernanza	2	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/reporte_compilacion_puente_sies.json	control, auditoría o gobernanza	2	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/auditoria_evidencia_trackeable_mu_2026.md	control, auditoría o gobernanza	3	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/reporte_sies_oferta_mu_2026.json	control, auditoría o gobernanza	9	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/audit_eliminacion_puente_sies_2026-04-09 2.md	control, auditoría o gobernanza	28	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/ejecucion_oficial_mu_2026.md	control, auditoría o gobernanza	5	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/inventario_limpieza_mu_2026.md	control, auditoría o gobernanza	9	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/audit_catalogos_sies_2026-04-09.md	control, auditoría o gobernanza	21	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/README_AUDIT_CRUCES.md	control, auditoría o gobernanza	20	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/reporte_compilacion_puente_sies_diag_pre 2.json	control, auditoría o gobernanza	2	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/reporte_compilacion_puente_sies_empty_override_test.json	control, auditoría o gobernanza	2	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/reportes/validacion_oficial_mu_2026.md	control, auditoría o gobernanza	4	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/O_version.md	control, auditoría o gobernanza	9	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/AD_fecha_matricula.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/AE_reincorporacion.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/V_asi_apr_ant.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/U_asi_ins_ant.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/AC_sus_pre.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/R_sem_ing_act.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/Y_asi_ins_his.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/E_segundo_apellido.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/S_anio_ing_ori.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/Z_asi_apr_his.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/Q_anio_ing_act.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/X_prom_seg_sem.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/K_cod_sed.md	control, auditoría o gobernanza	9	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/AF_vig.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/AB_sit_fon_sol.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/M_modalidad.md	control, auditoría o gobernanza	7	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/AA_niv_aca.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/W_prom_pri_sem.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/A_tipo_doc.md	control, auditoría o gobernanza	1	SI	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/N_jor.md	control, auditoría o gobernanza	8	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/T_sem_ing_ori.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/L_cod_car.md	control, auditoría o gobernanza	9	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
control/evidencias/C_dv.md	control, auditoría o gobernanza	1	NO	REVISAR_ANTES_DE_REUTILIZAR	Conteo de menciones sin extraer datos personales.
