RUTA	NOMBRE	EXTENSION	TAMANO_BYTES	FECHA_MODIFICACION	ESTADO_GIT	CLASIFICACION	CONTIENE_DATOS_PERSONALES_POTENCIAL	OBSERVACIONES
agent.md	agent.md	.md	1468	2026-04-09T13:19:26.451019-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
gobernanza_for_ing_act.tsv	gobernanza_for_ing_act.tsv	.tsv	1178	2026-04-03T21:53:32.885517-03:00	TRACKED_OR_UNMODIFIED	gobernanza existente	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
generar_gobernanza_columnas_mu.py	generar_gobernanza_columnas_mu.py	.py	29532	2026-04-09T09:07:14.308579-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
20260421_84406_20260420_Estructura_Personal_Académico_Fuera_Institución_2026.csv	20260421_84406_20260420_Estructura_Personal_Académico_Fuera_Institución_2026.csv	.csv	560	2026-06-08T16:59:31.201369-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
.DS_Store	.DS_Store		14340	2026-06-26T00:24:58.540561-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
LICENSE	LICENSE		1069	2026-03-30T22:20:51.810626-03:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
requirements.txt	requirements.txt	.txt	45	2026-04-09T09:07:14.323904-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
gobernanza_sede.tsv	gobernanza_sede.tsv	.tsv	203	2026-04-01T17:53:11.264462-03:00	TRACKED_OR_UNMODIFIED	gobernanza existente	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
Manual_Matrícula_Unificada_2026.pdf	Manual_Matrícula_Unificada_2026.pdf	.pdf	1691669	2026-04-01T17:53:09.292407-03:00	TRACKED_OR_UNMODIFIED	fuente normativa	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
fallback_report.tsv	fallback_report.tsv	.tsv	746	2026-04-07T22:44:37.989215-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
DURACION_ESTUDIOS.tsv	DURACION_ESTUDIOS.tsv	.tsv	37447	2026-04-09T09:08:57.282841-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
cruces_proyecto.tsv	cruces_proyecto.tsv	.tsv	16266	2026-04-09T07:55:55.863183-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
Makefile	Makefile		1285	2026-04-09T09:07:14.411005-04:00	TRACKED_OR_UNMODIFIED	otro	NO_DETERMINADO	Inventario por ruta y metadatos; no inspecciona registros personales.
