ID	SUBPROCESO	CAMPO_DESTINO	FUENTE_REQUERIDA	ARCHIVO_DISPONIBLE	HOJA	COLUMNA_ORIGEN	LLAVE	GRANULARIDAD	PERIODO	UNIDAD_MEDIDA	COBERTURA	CONFLICTOS	TRANSFORMACION	NIVEL_RESPALDO	ESTADO	BLOQUEA_IMPLEMENTACION	ACCION_REQUERIDA	OBSERVACIONES
FC-001	Carreras Avance Curricular 2026	PLAN_ESTUDIOS	catálogo de planes de estudio vigentes	PROMEDIOSDEALUMNOS_7804.xlsx	Hoja1/matriz	PLAN_DE_ESTUDIO/CODIGO_UNICO	CODIGO_UNICO + evidencia institucional	CARRERA_PLAN	planes vigentes 2025	NO_APLICA	PARCIAL	Requiere validación institucional y llaves.	Diseñar; no ejecutar.	DATO_OBSERVADO_CANDIDATO	FUENTE_PARCIAL_CANDIDATA	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-002	Carreras Avance Curricular 2026	TIPO_UNIDAD_MEDIDA	malla curricular o plan oficial por carrera	NO_IDENTIFICADO	NO_APLICA	NO_IDENTIFICADO	CODIGO_UNICO + PLAN_ESTUDIOS	CARRERA_PLAN	planes vigentes 2025	NO_IDENTIFICADA	NO_IDENTIFICADA	No hay archivo disponible suficiente.	Diseñar; no ejecutar.	PENDIENTE	FUENTE_FALTANTE	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-003	Carreras Avance Curricular 2026	OTRA_UNIDAD_MEDIDA	malla curricular o plan oficial por carrera	NO_IDENTIFICADO	NO_APLICA	NO_IDENTIFICADO	CODIGO_UNICO + PLAN_ESTUDIOS	CARRERA_PLAN	planes vigentes 2025	NO_IDENTIFICADA	NO_IDENTIFICADA	No hay archivo disponible suficiente.	Diseñar; no ejecutar.	PENDIENTE	FUENTE_FALTANTE	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-004	Carreras Avance Curricular 2026	TOTAL_UNIDADES_MEDIDA	malla curricular o plan oficial por carrera	NO_IDENTIFICADO	NO_APLICA	NO_IDENTIFICADO	CODIGO_UNICO + PLAN_ESTUDIOS	CARRERA_PLAN	planes vigentes 2025	NO_IDENTIFICADA	NO_IDENTIFICADA	No hay archivo disponible suficiente.	Diseñar; no ejecutar.	PENDIENTE	FUENTE_FALTANTE	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-005	Carreras Avance Curricular 2026	UNIDADES_1ER_ANIO	malla curricular o plan oficial por carrera	NO_IDENTIFICADO	NO_APLICA	NO_IDENTIFICADO	CODIGO_UNICO + PLAN_ESTUDIOS	CARRERA_PLAN	planes vigentes 2025	NO_IDENTIFICADA	NO_IDENTIFICADA	No hay archivo disponible suficiente.	Diseñar; no ejecutar.	PENDIENTE	FUENTE_FALTANTE	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-006	Carreras Avance Curricular 2026	UNIDADES_2DO_ANIO	malla curricular o plan oficial por carrera	NO_IDENTIFICADO	NO_APLICA	NO_IDENTIFICADO	CODIGO_UNICO + PLAN_ESTUDIOS	CARRERA_PLAN	planes vigentes 2025	NO_IDENTIFICADA	NO_IDENTIFICADA	No hay archivo disponible suficiente.	Diseñar; no ejecutar.	PENDIENTE	FUENTE_FALTANTE	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-007	Carreras Avance Curricular 2026	UNIDADES_3ER_ANIO	malla curricular o plan oficial por carrera	NO_IDENTIFICADO	NO_APLICA	NO_IDENTIFICADO	CODIGO_UNICO + PLAN_ESTUDIOS	CARRERA_PLAN	planes vigentes 2025	NO_IDENTIFICADA	NO_IDENTIFICADA	No hay archivo disponible suficiente.	Diseñar; no ejecutar.	PENDIENTE	FUENTE_FALTANTE	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-008	Carreras Avance Curricular 2026	UNIDADES_4TO_ANIO	malla curricular o plan oficial por carrera	NO_IDENTIFICADO	NO_APLICA	NO_IDENTIFICADO	CODIGO_UNICO + PLAN_ESTUDIOS	CARRERA_PLAN	planes vigentes 2025	NO_IDENTIFICADA	NO_IDENTIFICADA	No hay archivo disponible suficiente.	Diseñar; no ejecutar.	PENDIENTE	FUENTE_FALTANTE	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-009	Carreras Avance Curricular 2026	UNIDADES_5TO_ANIO	malla curricular o plan oficial por carrera	NO_IDENTIFICADO	NO_APLICA	NO_IDENTIFICADO	CODIGO_UNICO + PLAN_ESTUDIOS	CARRERA_PLAN	planes vigentes 2025	NO_IDENTIFICADA	NO_IDENTIFICADA	No hay archivo disponible suficiente.	Diseñar; no ejecutar.	PENDIENTE	FUENTE_FALTANTE	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
FC-010	Carreras Avance Curricular 2026	UNIDADES_6TO_ANIO	malla curricular o plan oficial por carrera	NO_IDENTIFICADO	NO_APLICA	NO_IDENTIFICADO	CODIGO_UNICO + PLAN_ESTUDIOS	CARRERA_PLAN	planes vigentes 2025	NO_IDENTIFICADA	NO_IDENTIFICADA	No hay archivo disponible suficiente.	Diseñar; no ejecutar.	PENDIENTE	FUENTE_FALTANTE	SI	Aportar/validar fuente institucional definitiva.	No se inventan fuentes ni reglas.
