ID_REGLA	PROCESO	SUBPROCESO	ANIO_PROCESO	ANIO_DATOS	PERIODO	SECCION_INSTRUCTIVO	PAGINA	CAMPO_O_TEMA	REGLA_OFICIAL	TIPO_REGLA	NIVEL_RESPALDO	FUENTE	IMPLEMENTACION_REQUERIDA	VALIDACION_REQUERIDA	SEVERIDAD	ESTADO	OBSERVACIONES
AC2026-GEN-001	Avance Curricular SIES 2026	Proceso	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	1. Introducción	1	Plazo	El plazo de carga del archivo correctamente completado es el 10 de julio de 2026.	TEMPORALIDAD	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Registrar fecha límite y no desplazar año de proceso.	Control documental.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-GEN-002	Avance Curricular SIES 2026	Proceso	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	2. Alcance	2	Universo	La solicitud se construye sobre estudiantes de pregrado informados en matrícula 2025 y carreras asociadas.	UNIVERSO	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Usar precargas oficiales como estructura de referencia.	Cruzar matrícula contra carreras solo después de validar congelamiento.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-GEN-003	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	3.2 letra g	4-5	Avance curricular	El avance curricular vincula unidades aprobadas en un periodo respecto del total del plan.	DEFINICION	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Diferenciar avance anual y acumulado.	Validar unidades contra total del plan.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-GEN-004	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	IMPORTANTE cambio interno	5	Carrera informada en 2025	El avance consultado corresponde a la carrera en que el/la estudiante fue informado/a en 2025; no trasladar avance de una nueva carrera sin continuidad natural.	REGLA_FUNCIONAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Mantener referencia a matrícula 2025.	Controlar cambios internos con evidencia institucional.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-GEN-005	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	3.2 letras i-j	5	Convalidaciones y reconocimientos	En avance anual 2025 no se incluyen unidades por validación de estudios o reconocimiento; en acumulado sí se incluyen cuando corresponda.	REGLA_FUNCIONAL	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Separar anual y acumulado.	Validar fuente institucional de convalidaciones y reconocimientos.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-GEN-006	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	3.2 letra j	5	Tolerancia 25%	El total aprobado tiene como límite de referencia el total del plan; si sobrepasa se aplicará tolerancia de 25%.	VALIDACION	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Generar alerta/bloqueo según regla operativa documentada.	Comparar UNID_APROBADAS_TOTAL contra TOTAL_UNIDADES_MEDIDA.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-GEN-007	Avance Curricular SIES 2026	Proceso	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	4.1 Temporalidad	6	30 de abril 2025	Se consideran estudiantes informados como matrícula y/o inscripción al 30 de abril de 2025.	UNIVERSO	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	No usar matrícula actual 2026 como universo.	Validar contra precarga oficial.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-GEN-008	Avance Curricular SIES 2026	Proceso	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	4.2 Cargas	6	Dos cargas	El módulo se compone de Carreras Avance Curricular 2026 y Matrícula Avance Curricular 2026.	ESTRUCTURA	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Separar pipelines y contratos.	Validar orden de ejecución.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-GEN-009	Avance Curricular SIES 2026	Carreras Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	4.2 Precarga Carreras	6	Campos no modificables	La institución no puede modificar valores precargados, con excepción de plan de estudios y vigencia, y puede duplicar carrera para más de un plan vigente.	MODIFICABILIDAD	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Preservar campos no modificables.	Comparar contra precarga original.	ALTA	EXTRAIDA_TXT	NO_APLICA
AC2026-GEN-010	Avance Curricular SIES 2026	Matrícula Avance Curricular 2026	2026	2025	Año académico 2025: primer semestre 2025, segundo semestre 2025, avance anual 2025 y acumulado hasta cierre 2025	4.2 Precarga Matrícula	6-7	Campos faltantes	La institución debe llenar presencia semestral, avance anual 2025 y avance acumulado.	MODIFICABILIDAD	TXT_OFICIAL_OBSERVADO	Instructivo_Avance Curricular SIES - 2026.txt	Completar solo campos permitidos con fuente institucional.	Comparar campos no modificables contra precarga.	ALTA	EXTRAIDA_TXT	NO_APLICA
