archivo,extension,tamano_bytes,sha256_short,hojas,nombres_hojas,max_filas_no_vacias,max_columnas_no_vacias,columnas_clave,score,clasificacion,senales_positivas,senales_negativas
01__CNED_ARCHIVO_OPERATIVO_TRABAJO_MANUAL_FINAL_SANEADO_20260604_225138.xlsx,.xlsx,1045684,6e9a4818c5460778,47,RESUMEN_EJECUTIVO | PROGRAMAS_FALTANTES_PARA_CREAR | NO_CREAR_CUBIERTO | REQUIERE_DECISION_INSTITUCIONAL | DUDOSOS_REV_MANUAL_RESUELTOS | DUDOSOS_REV_MANUAL_ACTUALIZADO | DICCIONARIO_OFERTA_2026 | MATCH_PROGRAMAS_VS_DICCIONARIO | AUDITORIA_COMPLETITUD | AUDITORIA_79_REGISTROS | CONTROL_TECNICO | AUDITORIA_APLICACION | CAMBIOS_APLICADOS | CELDAS_REVISAR | CONFLICTOS_REVISAR | CONTROL_TECNICO_APLICACION | AUDITORIA_5_COLUMNAS_BLOQUE_1 | AUDITORIA_BLOQUE_2 | AUDITORIA_BLOQUE_3 | AUDITORIA_BLOQUE_4 | AUDITORIA_BLOQUE_5 | AUDITORIA_BLOQUE_6 | AUDITORIA_BLOQUE_7 | AUDITORIA_BLOQUE_8 | AUDITORIA_BLOQUE_9 | AUDITORIA_BLOQUE_10 | RESUMEN_BLOQUE_10 | MATCH_BLOQUE_10 | FUENTES_BLOQUE_10 | CONTROL_BLOQUE_10 | AUDITORIA_BLOQUE_11 | RESUMEN_BLOQUE_11 | MATCH_BLOQUE_11 | FUENTES_BLOQUE_11 | CONTROL_BLOQUE_11 | AUDITORIA_BLOQUE_12 | CONTROL_FINAL_COLUMNAS | RESUMEN_BLOQUE_12 | MATCH_BLOQUE_12 | FUENTES_BLOQUE_12 | CONTROL_BLOQUE_12 | AUDITORIA_BLOQUE_CRITICO | CONTROL_CRITICOS | AUDITORIA_ANIO_INICIO | DECISION_ANIO_INICIO | CONTROL_FINAL_CNED | CONTROL_FINAL_SANEADO,6106,86,ACREDITACION | ANIO_INICIO | CODIGO_IES_NUM | CODIGO_UNICO | COD_CARRERA | COD_JORNADA | COD_SEDE | DURACION_ESTUDIOS | DURACION_TITULACION | DURACION_TOTAL | JORNADA | MODALIDAD | NIVEL_GLOBAL | NOMBRE_CARRERA | NOMBRE_SEDE | REGIMEN | REQUISITO_INGRESO | SEMESTRES_RECONOCIDOS | VERSION | VIGENCIA,175,BASE_OPERATIVA_PRINCIPAL_PRELIMINAR,Nombre contiene SANEADO (+30) || Nombre contiene FINAL (+25) || Nombre contiene OPERATIVO (+20) || Tiene codigo/carrera/sede/jornada/modalidad/version (+30) || Tiene mas de 20 filas y mas de 10 columnas (+15) || Tiene estructura tabular clara (+15) || Tiene pocas columnas vacias o sin nombre (+10) || Tiene CODIGO_UNICO o equivalente (+20) || Tiene campos de duracion o vigencia (+10),
04__CNED_ARCHIVO_OPERATIVO_TRABAJO_MANUAL_FINAL_20260604_221550.xlsx,.xlsx,1073167,9d921da249efe69f,46,RESUMEN_EJECUTIVO | PROGRAMAS_FALTANTES_PARA_CREAR | NO_CREAR_CUBIERTO | REQUIERE_DECISION_INSTITUCIONAL | DUDOSOS_REV_MANUAL_RESUELTOS | DUDOSOS_REV_MANUAL_ACTUALIZADO | DICCIONARIO_OFERTA_2026 | MATCH_PROGRAMAS_VS_DICCIONARIO | AUDITORIA_COMPLETITUD | AUDITORIA_79_REGISTROS | CONTROL_TECNICO | AUDITORIA_APLICACION | CAMBIOS_APLICADOS | CELDAS_REVISAR | CONFLICTOS_REVISAR | CONTROL_TECNICO_APLICACION | AUDITORIA_5_COLUMNAS_BLOQUE_1 | AUDITORIA_BLOQUE_2 | AUDITORIA_BLOQUE_3 | AUDITORIA_BLOQUE_4 | AUDITORIA_BLOQUE_5 | AUDITORIA_BLOQUE_6 | AUDITORIA_BLOQUE_7 | AUDITORIA_BLOQUE_8 | AUDITORIA_BLOQUE_9 | AUDITORIA_BLOQUE_10 | RESUMEN_BLOQUE_10 | MATCH_BLOQUE_10 | FUENTES_BLOQUE_10 | CONTROL_BLOQUE_10 | AUDITORIA_BLOQUE_11 | RESUMEN_BLOQUE_11 | MATCH_BLOQUE_11 | FUENTES_BLOQUE_11 | CONTROL_BLOQUE_11 | AUDITORIA_BLOQUE_12 | CONTROL_FINAL_COLUMNAS | RESUMEN_BLOQUE_12 | MATCH_BLOQUE_12 | FUENTES_BLOQUE_12 | CONTROL_BLOQUE_12 | AUDITORIA_BLOQUE_CRITICO | CONTROL_CRITICOS | AUDITORIA_ANIO_INICIO | DECISION_ANIO_INICIO | CONTROL_FINAL_CNED,6106,86,ACREDITACION | ANIO_INICIO | CODIGO_IES_NUM | CODIGO_UNICO | COD_CARRERA | COD_JORNADA | COD_SEDE | DURACION_ESTUDIOS | DURACION_TITULACION | DURACION_TOTAL | JORNADA | MODALIDAD | NIVEL_GLOBAL | NOMBRE_CARRERA | NOMBRE_SEDE | REGIMEN | REQUISITO_INGRESO | SEMESTRES_RECONOCIDOS | VERSION | VIGENCIA,145,BASE_OPERATIVA_PRINCIPAL_PRELIMINAR,Nombre contiene FINAL (+25) || Nombre contiene OPERATIVO (+20) || Tiene codigo/carrera/sede/jornada/modalidad/version (+30) || Tiene mas de 20 filas y mas de 10 columnas (+15) || Tiene estructura tabular clara (+15) || Tiene pocas columnas vacias o sin nombre (+10) || Tiene CODIGO_UNICO o equivalente (+20) || Tiene campos de duracion o vigencia (+10),
06__CNED_GUIA_OPERATIVA_CREACION_PROGRAMAS_CON_COD_CARRERA_CNED.xlsx,.xlsx,38104,693f6f6e038b9732,12,00_RESUMEN_OPERATIVO | 01_CREAR_EVIDENCIA_2026 | 02_CREAR_EVIDENCIA_2025 | 03_REVISAR_SIN_MATCH_PROM_11 | 04_LISTOS_AUDITADOS_23 | 05_BLOQUEADOS_NOMINAL_4 | 06_NO_CREAR_EXISTEN_CNED_69 | 07_CATALOGO_VALORES_CNED | 08_DICCIONARIO_USO | 09_QA | 10_COD_CARRERA_CNED_VALID | 11_QA_COD_CARRERA_CNED,69,32,CODIGO_CARRERA | CODIGO_UNICO | REGIMEN,87,GUIA_OPERATIVA,Nombre contiene CON_COD_CARRERA (+15) || Nombre contiene CREACION_PROGRAMAS (+12) || Tiene mas de 20 filas y mas de 10 columnas (+15) || Tiene estructura tabular clara (+15) || Tiene pocas columnas vacias o sin nombre (+10) || Tiene CODIGO_UNICO o equivalente (+20),
02__CNED_10_CARRERAS_PRUEBA_SUBIDA_CNED_20260605_114209.xlsx,.xlsx,35920,9ebb0fa9b1052f99,7,SUBIBLE_10_CARRERAS | NO_APTA_10_CARRERAS | AUDITORIA_COLUMNA_A_COLUMNA | MATCH_DETALLADO_10 | CONTROL_FINAL_10 | SELECCION_10 | TABLA_COMPLETA_10,420,23,CODIGO_UNICO | COD_CARRERA | COD_SEDE | DURACION_TOTAL | JORNADA | MODALIDAD | REGIMEN | VERSION,70,PRUEBA_SUBIDA,Tiene codigo/carrera/sede/jornada/modalidad/version (+30) || Tiene mas de 20 filas y mas de 10 columnas (+15) || Tiene estructura tabular clara (+15) || Tiene pocas columnas vacias o sin nombre (+10) || Tiene CODIGO_UNICO o equivalente (+20) || Tiene campos de duracion o vigencia (+10),Nombre contiene PRUEBA (-30)
05__CNED_LISTO_CARGA_MANUAL_DESDE_DURACION_ESTUDIOS.xlsx,.xlsx,23480,6bf5218e3074841b,2,LISTO_PARA_CARGA_MANUAL | REVISAR_MANUAL,46,43,CODIGO_CARRERA | COD_SEDE | DURACION_ESTUDIOS | DURACION_TITULACION | DURACION_TOTAL | NIVEL_GLOBAL | NOMBRE_SEDE | REGIMEN | VIGENCIA,70,BASE_OPERATIVA_SECUNDARIA,Nombre contiene LISTO_CARGA (+20) || Tiene mas de 20 filas y mas de 10 columnas (+15) || Tiene estructura tabular clara (+15) || Tiene pocas columnas vacias o sin nombre (+10) || Tiene campos de duracion o vigencia (+10),
08__CNED_TABLA_EJECUTIVA_DECISION_INSTITUCIONAL_20260605_103124.xlsx,.xlsx,12523,8ca684b01566d200,5,RESUMEN_EJECUTIVO | DECISIONES_ANIO_INICIO | CONFLICTOS_I162S2C3J2V2 | CAMPOS_RESUELTOS_UNANIMIDAD | CONTROL_FINAL,23,13,CODIGO_UNICO | TIPO_CARRERA,45,INSUMO_DECISION_INSTITUCIONAL,Tiene mas de 20 filas y mas de 10 columnas (+15) || Tiene estructura tabular clara (+15) || Tiene pocas columnas vacias o sin nombre (+10) || Tiene CODIGO_UNICO o equivalente (+20),Nombre contiene TABLA_EJECUTIVA (-15)
09__CNED_TABLA_EJECUTIVA_DECISION_INSTITUCIONAL_20260605_103428.xlsx,.xlsx,12521,1ad2b3ea0bc7c309,5,RESUMEN_EJECUTIVO | DECISIONES_ANIO_INICIO | CONFLICTOS_I162S2C3J2V2 | CAMPOS_RESUELTOS_UNANIMIDAD | CONTROL_FINAL,23,13,CODIGO_UNICO | TIPO_CARRERA,45,INSUMO_DECISION_INSTITUCIONAL,Tiene mas de 20 filas y mas de 10 columnas (+15) || Tiene estructura tabular clara (+15) || Tiene pocas columnas vacias o sin nombre (+10) || Tiene CODIGO_UNICO o equivalente (+20),Nombre contiene TABLA_EJECUTIVA (-15)
07__CNED_CARGA_PARCIAL_SOLO_SIN_DECISION_PENDIENTE_20260605_112212.xlsx,.xlsx,26208,75caf7dc9e34e5d5,3,CARGA_CNED_SUBIBLE | EXCLUIDOS_PENDIENTES | CONTROL_FINAL,61,86,ACREDITACION | ANIO_INICIO | CODIGO_IES_NUM | CODIGO_UNICO | COD_SEDE | JORNADA | NIVEL_GLOBAL | REGIMEN | REQUISITO_INGRESO | SEMESTRES_RECONOCIDOS | VIGENCIA,25,CARGA_PARCIAL_PENDIENTE,Tiene mas de 20 filas y mas de 10 columnas (+15) || Tiene estructura tabular clara (+15) || Tiene pocas columnas vacias o sin nombre (+10) || Tiene CODIGO_UNICO o equivalente (+20) || Tiene campos de duracion o vigencia (+10),Nombre contiene PARCIAL (-20) || Nombre contiene SIN_DECISION (-25)
03__CNED_10_CARRERAS_PRUEBA_SUBIDA_CNED_20260605_114209.csv,.csv,77056,a122d2f74eebffdf,1,03__CNED_10_CARRERAS_PRUEBA_SUBIDA_CNED_20260605_114209,420,9,CODIGO_UNICO,15,PRUEBA_SUBIDA,Tiene estructura tabular clara (+15) || Tiene pocas columnas vacias o sin nombre (+10) || Tiene CODIGO_UNICO o equivalente (+20),Nombre contiene PRUEBA (-30)
10__CNED_CARGA_PARCIAL_SOLO_SIN_DECISION_PENDIENTE_20260605_112212.tsv,.tsv,93247,a8e9188d27d381f0,1,10__CNED_CARGA_PARCIAL_SOLO_SIN_DECISION_PENDIENTE_20260605_112212,61,42,REGIMEN,-5,CARGA_PARCIAL_PENDIENTE,Tiene mas de 20 filas y mas de 10 columnas (+15) || Tiene estructura tabular clara (+15) || Tiene pocas columnas vacias o sin nombre (+10),Nombre contiene PARCIAL (-20) || Nombre contiene SIN_DECISION (-25)
