fila_excel_aproximada,CODIGO_UNICO,NOMBRE_CARRERA,CNED_ESTADO_AUDITORIA,CNED_ALERTAS,CNED_PUEDE_SUBIR_PRELIMINAR
2,I162S2C101J4V1,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
3,I162S2C102J4V1,DIPLOMADO SALUD CON FOCO EN MIGRACION,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
4,I162S2C103J4V1,DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
5,I162S2C104J4V1,DIPLOMADO EN INNOVACION PARA LA DOCENCIA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
6,I162S2C105J4V1,DIPLOMADO EN HUMANIZACION EN SALUD,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
7,I162S2C10J1V1,TECNICO EN PREVENCION DE RIESGOS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
8,I162S2C10J4V1,TECNICO EN PREVENCION DE RIESGOS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
9,I162S2C111J4V1,INGENIERIA EN FINANZAS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
10,I162S2C111J4V2,INGENIERIA EN FINANZAS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
11,I162S2C112J4V1,INGENIERIA EN MARKETING DIGITAL,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
12,I162S2C112J4V2,INGENIERIA EN MARKETING DIGITAL,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
13,I162S2C113J4V1,INGENIERIA EN RECURSOS HUMANOS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
14,I162S2C113J4V2,INGENIERIA EN RECURSOS HUMANOS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
15,I162S2C114J2V1,TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
16,I162S2C115J2V1,TECNICO EN FARMACIA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
17,I162S2C116J4V1,TECNICO EN FINANZAS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
18,I162S2C117J4V1,TECNICO EN INFRAESTRUCTURA CLOUD,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
19,I162S2C118J4V1,TECNICO EN MARKETING DIGITAL,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
20,I162S2C119J4V1,TECNICO EN RECURSOS HUMANOS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
21,I162S2C124J4V1,INGENIERIA EN PREVENCION DE RIESGOS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
22,I162S2C124J4V2,INGENIERIA EN PREVENCION DE RIESGOS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
23,I162S2C125J4V1,INGENIERIA EN SEGURIDAD PRIVADA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
24,I162S2C125J4V2,INGENIERIA EN SEGURIDAD PRIVADA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
25,I162S2C13J1V1,SOPORTE DE SERVICIOS DE TELECOMUNICACIONES,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
26,I162S2C13J2V1,SOPORTE DE SERVICIOS DE TELECOMUNICACIONES,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
27,I162S2C1J2V2,INGENIERIA EN INFORMATICA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
28,I162S2C1J4V3,INGENIERIA EN INFORMATICA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
29,I162S2C21J1V1,INGENIERIA DE EJECUCION EN AUTOMATIZACION Y CONTROL INDUSTRIAL,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
30,I162S2C21J2V1,INGENIERIA DE EJECUCION EN AUTOMATIZACION Y CONTROL INDUSTRIAL,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
31,I162S2C23J1V1,INGENIERIA DE EJECUCION EN PREVENCION DE RIESGOS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
32,I162S2C23J2V1,INGENIERIA DE EJECUCION EN PREVENCION DE RIESGOS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
33,I162S2C24J1V1,TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
34,I162S2C24J2V1,TECNICO EN AUTOMATIZACION Y CONTROL INDUSTRIAL,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
35,I162S2C2J1V2,TECNICO EN PROGRAMACION COMPUTACIONAL,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
36,I162S2C2J2V2,TECNICO EN PROGRAMACION COMPUTACIONAL,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
37,I162S2C2J4V2,TECNICO EN PROGRAMACION COMPUTACIONAL,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
38,I162S2C35J1V2,TECNICO EN ANALISIS DE SISTEMAS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
39,I162S2C35J2V2,TECNICO EN ANALISIS DE SISTEMAS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
40,I162S2C35J4V2,TECNICO EN ANALISIS DE SISTEMAS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
41,I162S2C3J2V2,INGENIERIA EN CONECTIVIDAD Y REDES,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
42,I162S2C40J2V1,DIPLOMADO EN DOCENCIA EN EDUCACION SUPERIOR TECNICO PROFESIONAL,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
43,I162S2C41J2V1,DIPLOMADO EN GESTION DE PROYECTOS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
44,I162S2C53J3V1,DIPLOMADO EN CIBERSEGURIDAD APLICADA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
45,I162S2C63J4V1,DIPLOMADO EN ARQUITECTURA CLOUD,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
46,I162S2C64J4V1,DIPLOMADO EN BACKEND,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
47,I162S2C65J4V1,DIPLOMADO EN FRONTEND,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
48,I162S2C66J4V1,DIPLOMADO EN FULLSTACK,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
49,I162S2C67J4V1,DIPLOMADO EN QUALITY ASSURANCE,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
50,I162S2C68J4V1,DIPLOMADO EN SEGURIDAD OFENSIVA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
51,I162S2C69J4V1,DIPLOMADO INFRAESTRUCTURA CLOUD,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
52,I162S2C6J1V1,TECNICO EN CONECTIVIDAD Y REDES,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
53,I162S2C6J2V1,TECNICO EN CONECTIVIDAD Y REDES,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
54,I162S2C6J4V1,TECNICO EN CONECTIVIDAD Y REDES,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
55,I162S2C70J4V1,DIPLOMADO REDES INDUSTRIALES,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
56,I162S2C71J4V1,DIPLOMADO SEGURIDAD EN ARQUITECTURA DE REDES,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
57,I162S2C76J4V2,INGENIERIA EN ADMINISTRACION DE EMPRESAS,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
58,I162S2C77J4V2,INGENIERIA EN LOGISTICA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
59,I162S2C83J4V2,ADMINISTRACION PUBLICA,REQUIERE_REVISION,CONTIENE_MARCAS_TECNICAS_DE_REVISION,REVISAR
