nombre_original,nombre_normalizado,tipo_inferido,valores_no_nulos,valores_nulos,porcentaje_completitud,valores_unicos,ejemplos_valores_unicos,largo_maximo,contiene_posibles_codigos,contiene_posibles_textos_largos,contiene_posibles_fechas,contiene_posibles_numericos,alertas_columna
CODIGO_UNICO,CODIGO_UNICO,TEXTO_CATEGORICO,71,0,100.0,71,I162S2C101J4V1 | I162S2C102J4V1 | I162S2C103J4V1 | I162S2C104J4V1 | I162S2C105J4V1 | I162S2C10J1V1 | I162S2C10J4V1 | I162S2C111J4V1 | I162S2C111J4V2 | I162S2C112J4V1,14,SI,NO,NO,NO,
CODIGO_IES_NUM,CODIGO_IES_NUM,NUMERICA,71,0,100.0,1,162,3,SI,NO,NO,SI,
COD_SEDE,COD_SEDE,NUMERICA,71,0,100.0,2,2 | 3,1,SI,NO,NO,SI,
COD_CARRERA_DERIVADO,COD_CARRERA_DERIVADO,NUMERICA,71,0,100.0,51,1 | 10 | 101 | 102 | 103 | 104 | 105 | 111 | 112 | 113,3,SI,NO,NO,SI,
JORNADA,JORNADA,NUMERICA,71,0,100.0,4,1 | 2 | 3 | 4,1,NO,NO,NO,SI,
VERSION_DERIVADA,VERSION_DERIVADA,NUMERICA,71,0,100.0,3,1 | 2 | 3,1,NO,NO,NO,SI,
NOMBRE_CARRERA_ORIGINAL,NOMBRE_CARRERA_ORIGINAL,TEXTO_CATEGORICO,71,0,100.0,51,ADMINISTRACION PUBLICA | AUDITORIA | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD | DIPLOMADO EN ARQUITECTURA CLOUD | DIPLOMADO EN BACKEND | DIPLOMADO EN CIBERSEGURIDAD APLICADA | DIPLOMADO EN DOCENCIA EN EDUCACION SUPERIOR TECNICO PROFESIONAL | DIPLOMADO EN FRONTEND | DIPLOMADO EN FULLSTACK | DIPLOMADO EN GESTION DE PROYECTOS,83,NO,NO,NO,NO,
NOMBRE_CARRERA_NORMALIZADO,NOMBRE_CARRERA_NORMALIZADO,TEXTO_CATEGORICO,71,0,100.0,51,ADMINISTRACION PUBLICA | AUDITORIA | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD | DIPLOMADO EN ARQUITECTURA CLOUD | DIPLOMADO EN BACKEND | DIPLOMADO EN CIBERSEGURIDAD APLICADA | DIPLOMADO EN DOCENCIA EN EDUCACION SUPERIOR TECNICO PROFESIONAL | DIPLOMADO EN FRONTEND | DIPLOMADO EN FULLSTACK | DIPLOMADO EN GESTION DE PROYECTOS,83,NO,NO,NO,NO,
MODALIDAD_ORIGINAL,MODALIDAD_ORIGINAL,NUMERICA,71,0,100.0,3,1 | 2 | 3,1,SI,NO,NO,SI,
TIPO_PLAN_CARRERA_ORIGINAL,TIPO_PLAN_CARRERA_ORIGINAL,NUMERICA,71,0,100.0,2,1 | 3,1,NO,NO,NO,SI,
CARACT_PLAN_ESPECIAL_ORIGINAL,CARACT_PLAN_ESPECIAL_ORIGINAL,TEXTO_CATEGORICO,71,0,100.0,1,NO APLICA,9,NO,NO,NO,NO,
NIVEL_GLOBAL,NIVEL_GLOBAL,NUMERICA,71,0,100.0,2,1 | 3,1,NO,NO,NO,SI,
NIVEL_CARRERA,NIVEL_CARRERA,NUMERICA,71,0,100.0,3,1 | 2 | 5,1,NO,NO,NO,SI,
VIGENCIA,VIGENCIA,NUMERICA,71,0,100.0,1,1,1,NO,NO,NO,SI,
ESTADO_CRUCE_INDICES,ESTADO_CRUCE_INDICES,TEXTO_CATEGORICO,71,0,100.0,1,FALTA_CREAR_EN_INDICES,22,NO,NO,NO,NO,
MOTIVO_ESTADO_CRUCE,MOTIVO_ESTADO_CRUCE,TEXTO_CATEGORICO,71,0,100.0,1,No existe coincidencia exacta por CODIGO_UNICO ni match auxiliar fuerte,71,NO,NO,NO,NO,
FUENTE,FUENTE,TEXTO_CATEGORICO,71,0,100.0,1,PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz,42,NO,NO,NO,NO,PARECE_AUXILIAR_NO_OFICIAL
REVISADO_MANUALMENTE,REVISADO_MANUALMENTE,TEXTO_CATEGORICO,71,0,100.0,1,NO,2,NO,NO,NO,NO,
OBSERVACION_AUDITORIA,OBSERVACION_AUDITORIA,TEXTO_LARGO,71,0,100.0,1,Crear según PROMEDIOSDEALUMNOS_7804.xlsx hoja matriz; no encontrado en listado existente INDICES por CODIGO_UNICO.,114,NO,SI,NO,NO,PARECE_AUXILIAR_NO_OFICIAL
Sede,SEDE,TEXTO_CATEGORICO,71,0,100.0,2,Concepción | Santiago,10,NO,NO,NO,NO,
Tipo de Carrera,TIPO_DE_CARRERA,TEXTO_CATEGORICO,71,0,100.0,3,Diplomado | Profesional | Técnico Nivel Superior,22,NO,NO,NO,NO,
Nombre,NOMBRE,TEXTO_CATEGORICO,71,0,100.0,51,ADMINISTRACION PUBLICA | AUDITORIA | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD | DIPLOMADO EN ARQUITECTURA CLOUD | DIPLOMADO EN BACKEND | DIPLOMADO EN CIBERSEGURIDAD APLICADA | DIPLOMADO EN DOCENCIA EN EDUCACION SUPERIOR TECNICO PROFESIONAL | DIPLOMADO EN FRONTEND | DIPLOMADO EN FULLSTACK | DIPLOMADO EN GESTION DE PROYECTOS,83,NO,NO,NO,NO,
Mención o Especialidad,MENCION_O_ESPECIALIDAD,TEXTO_CATEGORICO,71,0,100.0,1,No aplica,9,SI,NO,NO,NO,
Año de inicio de Actividades,ANO_DE_INICIO_DE_ACTIVIDADES,TEXTO_CATEGORICO,71,0,100.0,10,1992 | 2002 | 2013 | 2017 | 2019 | 2023 | 2024 | 2025 | 2026 | DECISION_MANUAL_ANIO_INICIO,27,SI,NO,NO,NO,
Campus,CAMPUS,TEXTO_CATEGORICO,71,0,100.0,2,REVISAR_SEDE_CONCEPCION | República,23,NO,NO,NO,NO,
Horario,HORARIO,TEXTO_CATEGORICO,71,0,100.0,4,Diurno | Otro | REVISAR_HORARIO_3 | Vespertino,17,NO,NO,NO,NO,
Estado,ESTADO,TEXTO_CATEGORICO,71,0,100.0,1,Programa o Carrera Nueva(o),27,NO,NO,NO,NO,
Tipo Programa,TIPO_PROGRAMA,TEXTO_CATEGORICO,71,0,100.0,2,Programa Especial | Programa Regular,17,NO,NO,NO,NO,
