fila_excel_aproximada,columna,columna_normalizada,valor_completo,patron_detectado,tipo_columna,severidad_preliminar,clasificacion_marca,CODIGO_UNICO
2,Área del Conocimiento,AREA_DEL_CONOCIMIENTO,REVISAR_AREA_CODIGO_8,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,Sub Área,SUB_AREA,REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,Carrera Genérica,CARRERA_GENERICA,REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,Grado Académico que otorga el programa,GRADO_ACADEMICO_QUE_OTORGA_EL_PROGRAMA,REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,Dependencia,DEPENDENCIA,REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,Régimen,REGIMEN,REVISAR_REGIMEN_CODIGO_1,REVISAR,OFICIAL_PROBABLE,ALTA,CAMPO_PENDIENTE_REAL,I162S2C101J4V1
2,Ingreso Directo,INGRESO_DIRECTO,REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,Otro Tipo de Ingreso,OTRO_TIPO_DE_INGRESO,REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,Ingreso otro,INGRESO_OTRO,REVISAR_DESCRIPCION_OTRO_INGRESO_SIN_TEXTO_FUENTE,REVISAR,DESCONOCIDA,MEDIA,DUDA_METODOLOGICA,I162S2C101J4V1
2,Observaciones,OBSERVACIONES,Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.,REVISION,DESCONOCIDA,MEDIA,OBSERVACION_INSTITUCIONAL,I162S2C101J4V1
