fila_registro,CODIGO_UNICO,NOMBRE_CARRERA,campo,valor_actual,tipo_campo,patron_detectado,severidad,motivo_bloqueo,categoria_resolucion,fuente_sugerida,bloquea_subida,se_puede_excluir,observacion
2,I162S2C101J4V1,,Área del Conocimiento,REVISAR_AREA_CODIGO_8,FORMULARIO_CNED_DESCONOCIDO,REVISAR,MEDIA,DUDA_METODOLOGICA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
2,I162S2C101J4V1,,Sub Área,REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA,FORMULARIO_CNED_DESCONOCIDO,REVISAR,MEDIA,DUDA_METODOLOGICA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
2,I162S2C101J4V1,,Carrera Genérica,REVISAR_CARRERA_GENERICA_SIN_FUENTE_DIRECTA,FORMULARIO_CNED_DESCONOCIDO,REVISAR,MEDIA,DUDA_METODOLOGICA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
2,I162S2C101J4V1,,Grado Académico que otorga el programa,REVISAR_GRADO_ACADEMICO_SIN_FUENTE_DIRECTA,FORMULARIO_CNED_DESCONOCIDO,REVISAR,MEDIA,DUDA_METODOLOGICA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
2,I162S2C101J4V1,,Dependencia,REVISAR_DEPENDENCIA_SIN_FUENTE_DIRECTA,FORMULARIO_CNED_DESCONOCIDO,REVISAR,MEDIA,DUDA_METODOLOGICA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
2,I162S2C101J4V1,,Régimen,REVISAR_REGIMEN_CODIGO_1,OFICIAL_PROBABLE,REVISAR,ALTA,CAMPO_PENDIENTE_REAL,VALIDAR_CON_REGISTRO_CURRICULAR,REGISTRO_CURRICULAR_OFERTA_OFICIAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.
2,I162S2C101J4V1,,Ingreso Directo,REVISAR_INGRESO_DIRECTO_CODIGO_REQUISITO_INGRESO_2,FORMULARIO_CNED_DESCONOCIDO,REVISAR,MEDIA,DUDA_METODOLOGICA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
2,I162S2C101J4V1,,Otro Tipo de Ingreso,REVISAR_OTRO_TIPO_INGRESO_CODIGO_REQUISITO_INGRESO_2,FORMULARIO_CNED_DESCONOCIDO,REVISAR,MEDIA,DUDA_METODOLOGICA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
2,I162S2C101J4V1,,Ingreso otro,REVISAR_DESCRIPCION_OTRO_INGRESO_SIN_TEXTO_FUENTE,FORMULARIO_CNED_DESCONOCIDO,REVISAR,MEDIA,DUDA_METODOLOGICA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
2,I162S2C101J4V1,,Observaciones,Crear según matriz PROMEDIOSDEALUMNOS_7804.xlsx / hoja matriz; conciliado contra diccionario oferta 2026; no encontrado en listado existente INDICES por CODIGO_UNICO; campos sin fuente directa quedan con revisión específica.,FORMULARIO_CNED_DESCONOCIDO,REVISION,MEDIA,OBSERVACION_INSTITUCIONAL,MANTENER_SOLO_COMO_TRAZABILIDAD,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
