campo,tipo_campo,total_marcas,total_registros_afectados,severidad_maxima,accion_recomendada,fuente_sugerida,bloquea_subida,se_puede_excluir,observacion
Régimen,OFICIAL_PROBABLE,71,71,ALTA,VALIDAR_CON_REGISTRO_CURRICULAR,REGISTRO_CURRICULAR_OFERTA_OFICIAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.
VIGENCIA_CARRERA,OFICIAL_PROBABLE,62,62,ALTA,VALIDAR_CON_REGISTRO_CURRICULAR,REGISTRO_CURRICULAR_OFERTA_OFICIAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.
ACREDITACION,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_OFERTA_ACADEMICA,OFERTA_ACADEMICA_INSTITUCIONAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.
ANIO_INICIO,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_REGISTRO_CURRICULAR,REGISTRO_CURRICULAR_OFERTA_OFICIAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.
AREA_ACTUAL,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_OFERTA_ACADEMICA,OFERTA_ACADEMICA_INSTITUCIONAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.
DURACION_REGIMEN,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_REGISTRO_CURRICULAR,REGISTRO_CURRICULAR_OFERTA_OFICIAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.
NOMBRE_TITULO,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_OFERTA_ACADEMICA,OFERTA_ACADEMICA_INSTITUCIONAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.
REGIMEN,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_REGISTRO_CURRICULAR,REGISTRO_CURRICULAR_OFERTA_OFICIAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.
REQUISITO_INGRESO,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_OFERTA_ACADEMICA,OFERTA_ACADEMICA_INSTITUCIONAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.
SEMESTRES_RECONOCIDOS,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_OFERTA_ACADEMICA,OFERTA_ACADEMICA_INSTITUCIONAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.
CNED_ALERTAS,AUXILIAR_TECNICA,71,71,BAJA,EXCLUIR_DE_ARCHIVO_CARGA_SI_ES_AUXILIAR,TRAZABILIDAD_INTERNA_CNED,NO,SI,No debe ir en archivo de carga; conservar en trazabilidad.
CNED_ESTADO_AUDITORIA,AUXILIAR_TECNICA,71,71,BAJA,EXCLUIR_DE_ARCHIVO_CARGA_SI_ES_AUXILIAR,TRAZABILIDAD_INTERNA_CNED,NO,SI,No debe ir en archivo de carga; conservar en trazabilidad.
CNED_PUEDE_SUBIR_PRELIMINAR,AUXILIAR_TECNICA,71,71,BAJA,EXCLUIR_DE_ARCHIVO_CARGA_SI_ES_AUXILIAR,TRAZABILIDAD_INTERNA_CNED,NO,SI,No debe ir en archivo de carga; conservar en trazabilidad.
MATCH_CODIGO_UNICO_DERIVADO,AUXILIAR_TECNICA,1,1,BAJA,EXCLUIR_DE_ARCHIVO_CARGA_SI_ES_AUXILIAR,TRAZABILIDAD_INTERNA_CNED,NO,SI,No debe ir en archivo de carga; conservar en trazabilidad.
ARANCEL_ANUAL,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_FINANZAS_ARANCELES,FINANZAS_ARANCELES_INSTITUCIONAL,DEPENDE,DEPENDE,Requiere fuente monetaria explicita; no usar cero ni inferencias.
COSTO_TITULACION,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_FINANZAS_ARANCELES,FINANZAS_ARANCELES_INSTITUCIONAL,DEPENDE,DEPENDE,Requiere fuente monetaria explicita; no usar cero ni inferencias.
Carrera Genérica,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
Dependencia,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
EXPERIENCIA_LABORAL,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
FECHA_ADMISION_INICIAL,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
FORMATO_VALOR,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_FINANZAS_ARANCELES,FINANZAS_ARANCELES_INSTITUCIONAL,DEPENDE,DEPENDE,Requiere fuente monetaria explicita; no usar cero ni inferencias.
Grado Académico que otorga el programa,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
Ingreso Directo,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
LICENCIA_ENS_MEDIA,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
MAIL_DIFUSION_CARRERA,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
MALLA_CURRICULAR,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
NOTAS_ENS_MEDIA,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
OTROS_REQUISITOS,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
Observaciones,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,MANTENER_SOLO_COMO_TRAZABILIDAD,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
PERFIL_EGRESO,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
PROMEDIO_MIN_ENS_MEDIA,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.
