campo,tipo_campo,total_marcas,total_registros_afectados,severidad_maxima,accion_recomendada,fuente_sugerida,bloquea_subida,se_puede_excluir,observacion,campo_normalizado,CAMPO_MANUAL_MAPEADO,METODO_MAPEO,ESTADO_FUENTE_MANUAL,RECLASIFICACION_HITO7BIS,IMPACTO_HITO7BIS
Régimen,OFICIAL_PROBABLE,71,71,ALTA,VALIDAR_CON_REGISTRO_CURRICULAR,REGISTRO_CURRICULAR_OFERTA_OFICIAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.,REGIMEN,Tipo Régimen,EQUIVALENCIA_EXPLICITA,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
VIGENCIA_CARRERA,OFICIAL_PROBABLE,62,62,ALTA,VALIDAR_CON_REGISTRO_CURRICULAR,REGISTRO_CURRICULAR_OFERTA_OFICIAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.,VIGENCIA_CARRERA,Estado de la carrera o programa,EQUIVALENCIA_EXPLICITA,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
ACREDITACION,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_OFERTA_ACADEMICA,OFERTA_ACADEMICA_INSTITUCIONAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.,ACREDITACION,ACREDITACION,EQUIVALENCIA_EXPLICITA_NO_CONFIRMADA,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION,REQUIERE_REVISION_MANUAL,REQUIERE_VALIDACION_DE_EQUIVALENCIA
ANIO_INICIO,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_REGISTRO_CURRICULAR,REGISTRO_CURRICULAR_OFERTA_OFICIAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.,ANIO_INICIO,Año de Inicio de actividades,EQUIVALENCIA_EXPLICITA,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
AREA_ACTUAL,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_OFERTA_ACADEMICA,OFERTA_ACADEMICA_INSTITUCIONAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.,AREA_ACTUAL,Área actual,EXACTO_NORMALIZADO,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
DURACION_REGIMEN,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_REGISTRO_CURRICULAR,REGISTRO_CURRICULAR_OFERTA_OFICIAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.,DURACION_REGIMEN,Duración régimen,EXACTO_NORMALIZADO,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION,REQUIERE_REVISION_MANUAL,REQUIERE_VALIDACION_DE_EQUIVALENCIA
NOMBRE_TITULO,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_OFERTA_ACADEMICA,OFERTA_ACADEMICA_INSTITUCIONAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.,NOMBRE_TITULO,Título,EQUIVALENCIA_EXPLICITA,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
REGIMEN,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_REGISTRO_CURRICULAR,REGISTRO_CURRICULAR_OFERTA_OFICIAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.,REGIMEN,Tipo Régimen,EQUIVALENCIA_EXPLICITA,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
REQUISITO_INGRESO,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_OFERTA_ACADEMICA,OFERTA_ACADEMICA_INSTITUCIONAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.,REQUISITO_INGRESO,Requisito ingreso,EXACTO_NORMALIZADO,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
SEMESTRES_RECONOCIDOS,OFICIAL_PROBABLE,11,11,ALTA,VALIDAR_CON_OFERTA_ACADEMICA,OFERTA_ACADEMICA_INSTITUCIONAL,SI,NO,Campo estructural/oficial: no resolver sin fuente institucional.,SEMESTRES_RECONOCIDOS,SEMESTRES_RECONOCIDOS,EQUIVALENCIA_EXPLICITA_NO_CONFIRMADA,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION,REQUIERE_REVISION_MANUAL,REQUIERE_VALIDACION_DE_EQUIVALENCIA
CNED_ALERTAS,AUXILIAR_TECNICA,71,71,BAJA,EXCLUIR_DE_ARCHIVO_CARGA_SI_ES_AUXILIAR,TRAZABILIDAD_INTERNA_CNED,NO,SI,No debe ir en archivo de carga; conservar en trazabilidad.,CNED_ALERTAS,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,AUXILIAR_EXCLUIBLE_DE_CARGA
CNED_ESTADO_AUDITORIA,AUXILIAR_TECNICA,71,71,BAJA,EXCLUIR_DE_ARCHIVO_CARGA_SI_ES_AUXILIAR,TRAZABILIDAD_INTERNA_CNED,NO,SI,No debe ir en archivo de carga; conservar en trazabilidad.,CNED_ESTADO_AUDITORIA,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,AUXILIAR_EXCLUIBLE_DE_CARGA
CNED_PUEDE_SUBIR_PRELIMINAR,AUXILIAR_TECNICA,71,71,BAJA,EXCLUIR_DE_ARCHIVO_CARGA_SI_ES_AUXILIAR,TRAZABILIDAD_INTERNA_CNED,NO,SI,No debe ir en archivo de carga; conservar en trazabilidad.,CNED_PUEDE_SUBIR_PRELIMINAR,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,AUXILIAR_EXCLUIBLE_DE_CARGA
MATCH_CODIGO_UNICO_DERIVADO,AUXILIAR_TECNICA,1,1,BAJA,EXCLUIR_DE_ARCHIVO_CARGA_SI_ES_AUXILIAR,TRAZABILIDAD_INTERNA_CNED,NO,SI,No debe ir en archivo de carga; conservar en trazabilidad.,MATCH_CODIGO_UNICO_DERIVADO,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,AUXILIAR_EXCLUIBLE_DE_CARGA
ARANCEL_ANUAL,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_FINANZAS_ARANCELES,FINANZAS_ARANCELES_INSTITUCIONAL,DEPENDE,DEPENDE,Requiere fuente monetaria explicita; no usar cero ni inferencias.,ARANCEL_ANUAL,Valor arancel anual,EQUIVALENCIA_EXPLICITA,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
COSTO_TITULACION,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_FINANZAS_ARANCELES,FINANZAS_ARANCELES_INSTITUCIONAL,DEPENDE,DEPENDE,Requiere fuente monetaria explicita; no usar cero ni inferencias.,COSTO_TITULACION,Valor titulación,EQUIVALENCIA_EXPLICITA,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
Carrera Genérica,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,CARRERA_GENERICA,"Área, Subárea, Carrera genérica",CONTIENE_O_CONTENIDO,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
Dependencia,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,DEPENDENCIA,Dependencia,EXACTO_NORMALIZADO,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
EXPERIENCIA_LABORAL,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,EXPERIENCIA_LABORAL,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
FECHA_ADMISION_INICIAL,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,FECHA_ADMISION_INICIAL,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
FORMATO_VALOR,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_FINANZAS_ARANCELES,FINANZAS_ARANCELES_INSTITUCIONAL,DEPENDE,DEPENDE,Requiere fuente monetaria explicita; no usar cero ni inferencias.,FORMATO_VALOR,Tipo Moneda,EQUIVALENCIA_EXPLICITA,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
Grado Académico que otorga el programa,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,GRADO_ACADEMICO_QUE_OTORGA_EL_PROGRAMA,Grado académico,CONTIENE_O_CONTENIDO,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
Ingreso Directo,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,INGRESO_DIRECTO,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
LICENCIA_ENS_MEDIA,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,LICENCIA_ENS_MEDIA,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
MAIL_DIFUSION_CARRERA,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,MAIL_DIFUSION_CARRERA,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
MALLA_CURRICULAR,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,MALLA_CURRICULAR,Malla Curricular,EXACTO_NORMALIZADO,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
NOTAS_ENS_MEDIA,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,NOTAS_ENS_MEDIA,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
OTROS_REQUISITOS,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,OTROS_REQUISITOS,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
Observaciones,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,MANTENER_SOLO_COMO_TRAZABILIDAD,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,OBSERVACIONES,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
PERFIL_EGRESO,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,PERFIL_EGRESO,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
PROMEDIO_MIN_ENS_MEDIA,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,PROMEDIO_MIN_ENS_MEDIA,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
RECONOCIMIENTOS_APREN_PREVIOS,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,NO_RESOLVER_AUTOMATICAMENTE,INSTRUCTIVO_CNED_Y_DECISION_INSTITUCIONAL,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,RECONOCIMIENTOS_APREN_PREVIOS,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
Sub Área,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,SUB_AREA,"Área, Subárea, Carrera genérica",CONTIENE_O_CONTENIDO,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
TEXTO_REQUISITO_INGRESO,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_AREA_ACADEMICA,AREA_ACADEMICA_O_DUENO_DEL_PROGRAMA,DEPENDE,DEPENDE,Campo de formulario o carga potencial: validar contra instructivo CNED antes de excluir o completar.,TEXTO_REQUISITO_INGRESO,Requisito ingreso,CONTIENE_O_CONTENIDO,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO,CAMPO_CONFIRMADO_POR_MANUAL_O_EQUIVALENCIA
VALOR_CERTIFICADO_DIPLOMA,FORMULARIO_CNED_DESCONOCIDO,71,71,MEDIA,VALIDAR_CON_FINANZAS_ARANCELES,FINANZAS_ARANCELES_INSTITUCIONAL,DEPENDE,DEPENDE,Requiere fuente monetaria explicita; no usar cero ni inferencias.,VALOR_CERTIFICADO_DIPLOMA,,SIN_MAPEO,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL,SIGUE_NO_CONFIRMADO_EN_MANUAL
