COLUMNA_REAL,COLUMNA_NORMALIZADA,TOTAL_FILAS,NO_VACIOS,VACIOS,PORCENTAJE_COMPLETITUD,VALORES_UNICOS,EJEMPLOS,CONTIENE_MARCAS_TECNICAS,HOJA_BASE,CAMPO_MANUAL_MAPEADO,METODO_MAPEO,SCORE_MAPEO,ESTADO_FUENTE_MANUAL,RECLASIFICACION_HITO7BIS
CODIGO_UNICO,CODIGO_UNICO,71,71,0,100.0,71,I162S2C101J4V1 | I162S2C102J4V1 | I162S2C103J4V1 | I162S2C104J4V1 | I162S2C105J4V1 | I162S2C10J1V1 | I162S2C10J4V1 | I162S2C111J4V1,False,CANDIDATO_CARGA_LIMPIO,Código único,EXACTO_NORMALIZADO,1.0,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION,REQUIERE_REVISION_MANUAL
CODIGO_IES_NUM,CODIGO_IES_NUM,71,71,0,100.0,1,162,False,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
COD_SEDE,COD_SEDE,71,71,0,100.0,2,2 | 3,False,CANDIDATO_CARGA_LIMPIO,Sede,CONTIENE_O_CONTENIDO,0.82,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO
COD_CARRERA_DERIVADO,COD_CARRERA_DERIVADO,71,71,0,100.0,51,101 | 102 | 103 | 104 | 105 | 10 | 111 | 112,False,CANDIDATO_CARGA_LIMPIO,Código de carrera,EQUIVALENCIA_EXPLICITA,0.98,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO
JORNADA,JORNADA,71,71,0,100.0,4,4 | 1 | 2 | 3,False,CANDIDATO_CARGA_LIMPIO,Jornada,EXACTO_NORMALIZADO,1.0,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO
VERSION_DERIVADA,VERSION_DERIVADA,71,71,0,100.0,3,1 | 2 | 3,False,CANDIDATO_CARGA_LIMPIO,Versión,EQUIVALENCIA_EXPLICITA,0.98,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO
NOMBRE_CARRERA_ORIGINAL,NOMBRE_CARRERA_ORIGINAL,71,71,0,100.0,51,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD | TECNICO EN PREVENCION DE RIESGOS | INGENIERIA EN FINANZAS | INGENIERIA EN MARKETING DIGITAL,False,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
NOMBRE_CARRERA_NORMALIZADO,NOMBRE_CARRERA_NORMALIZADO,71,71,0,100.0,51,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD | TECNICO EN PREVENCION DE RIESGOS | INGENIERIA EN FINANZAS | INGENIERIA EN MARKETING DIGITAL,False,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
MODALIDAD_ORIGINAL,MODALIDAD_ORIGINAL,71,71,0,100.0,3,3 | 1 | 2,False,CANDIDATO_CARGA_LIMPIO,Modalidad del Programa,EQUIVALENCIA_EXPLICITA,0.98,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO
TIPO_PLAN_CARRERA_ORIGINAL,TIPO_PLAN_CARRERA_ORIGINAL,71,71,0,100.0,2,1 | 3,False,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
CARACT_PLAN_ESPECIAL_ORIGINAL,CARACT_PLAN_ESPECIAL_ORIGINAL,71,71,0,100.0,1,NO APLICA,False,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
NIVEL_GLOBAL,NIVEL_GLOBAL,71,71,0,100.0,2,3 | 1,False,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
NIVEL_CARRERA,NIVEL_CARRERA,71,71,0,100.0,3,5 | 1 | 2,False,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
VIGENCIA,VIGENCIA,71,71,0,100.0,1,1,False,CANDIDATO_CARGA_LIMPIO,Vigencia,EXACTO_NORMALIZADO,1.0,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO
ESTADO_CRUCE_INDICES,ESTADO_CRUCE_INDICES,71,71,0,100.0,1,FALTA_CREAR_EN_INDICES,False,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
REVISADO_MANUALMENTE,REVISADO_MANUALMENTE,71,71,0,100.0,1,NO,False,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
Sede,SEDE,71,71,0,100.0,2,Santiago | Concepción,False,CANDIDATO_CARGA_LIMPIO,Sede,EXACTO_NORMALIZADO,1.0,CONFIRMADO_EN_MANUAL,OFICIAL_CNED_CONFIRMADO
Tipo de Carrera,TIPO_DE_CARRERA,71,71,0,100.0,3,Diplomado | Técnico Nivel Superior | Profesional,False,CANDIDATO_CARGA_LIMPIO,Tipo de Carrera/Programa,CONTIENE_O_CONTENIDO,0.82,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Nombre,NOMBRE,71,71,0,100.0,51,DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD | TECNICO EN PREVENCION DE RIESGOS | INGENIERIA EN FINANZAS | INGENIERIA EN MARKETING DIGITAL,False,CANDIDATO_CARGA_LIMPIO,Nombre del Programa,CONTIENE_O_CONTENIDO,0.82,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Mención o Especialidad,MENCION_O_ESPECIALIDAD,71,71,0,100.0,1,No aplica,False,CANDIDATO_CARGA_LIMPIO,,SIN_MAPEO,0.0,NO_CONFIRMADO_EN_MANUAL,NO_CONFIRMADO_EN_MANUAL
Año de inicio de Actividades,ANO_DE_INICIO_DE_ACTIVIDADES,71,71,0,100.0,10,2025 | 2013 | 2026 | DECISION_MANUAL_ANIO_INICIO | 1992 | 2019 | 2017 | 2023,True,CANDIDATO_CARGA_LIMPIO,Año de Inicio de actividades,EXACTO_NORMALIZADO,1.0,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Campus,CAMPUS,71,71,0,100.0,2,República | REVISAR_SEDE_CONCEPCION,True,CANDIDATO_CARGA_LIMPIO,Campus,EXACTO_NORMALIZADO,1.0,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Horario,HORARIO,71,71,0,100.0,4,Otro | Diurno | Vespertino | REVISAR_HORARIO_3,True,CANDIDATO_CARGA_LIMPIO,Horario,EXACTO_NORMALIZADO,1.0,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Estado,ESTADO,71,71,0,100.0,1,Programa o Carrera Nueva(o),False,CANDIDATO_CARGA_LIMPIO,Estado de la carrera o programa,CONTIENE_O_CONTENIDO,0.82,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Tipo Programa,TIPO_PROGRAMA,71,71,0,100.0,2,Programa Regular | Programa Especial,False,CANDIDATO_CARGA_LIMPIO,Tipo del programa,SIMILITUD_TOKENS,0.667,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Detalle del Tipo de Programa (especiales),DETALLE_DEL_TIPO_DE_PROGRAMA_ESPECIALES,71,71,0,100.0,2,No aplica | REVISAR_DETALLE_PROGRAMA_ESPECIAL,True,CANDIDATO_CARGA_LIMPIO,Detalle del Tipo de Programa (especiales),EXACTO_NORMALIZADO,1.0,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Modalidad del Programa,MODALIDAD_DEL_PROGRAMA,71,71,0,100.0,3,No presencial | Presencial | REVISAR_MODALIDAD_2,True,CANDIDATO_CARGA_LIMPIO,Modalidad del Programa,EXACTO_NORMALIZADO,1.0,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Área del Conocimiento,AREA_DEL_CONOCIMIENTO,71,71,0,100.0,9,REVISAR_AREA_CODIGO_8 | REVISAR_AREA_CODIGO_6 | REVISAR_AREA_CODIGO_9 | REVISAR_AREA_CODIGO_1 | REVISAR_AREA_CODIGO_10 | REVISAR_AREA_SIN_FUENTE_DIRECTA | REVISAR_AREA_CONOCIMIENTO_10 | REVISAR_AREA_CODIGO_7,True,CANDIDATO_CARGA_LIMPIO,"Área, Subárea, Carrera genérica",EQUIVALENCIA_EXPLICITA,0.98,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
Sub Área,SUB_AREA,71,71,0,100.0,1,REVISAR_SUB_AREA_SIN_FUENTE_DIRECTA,True,CANDIDATO_CARGA_LIMPIO,"Área, Subárea, Carrera genérica",CONTIENE_O_CONTENIDO,0.82,CONFIRMADO_EN_MANUAL,FORMULARIO_CNED_CONFIRMADO
