campo,tipo_campo,total_marcas,total_registros_afectados,clasificacion_hito7,fuente_o_decision_requerida,decision_institucional,observacion
ARANCEL_ANUAL,FORMULARIO_CNED_DESCONOCIDO,71,71,REQUIERE_DECISION_INSTITUCIONAL,FINANZAS_ARANCELES,,No excluir ni completar sin instructivo CNED o decision institucional.
COSTO_TITULACION,FORMULARIO_CNED_DESCONOCIDO,71,71,REQUIERE_DECISION_INSTITUCIONAL,FINANZAS_ARANCELES,,No excluir ni completar sin instructivo CNED o decision institucional.
Carrera Genérica,FORMULARIO_CNED_DESCONOCIDO,71,71,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
Dependencia,FORMULARIO_CNED_DESCONOCIDO,71,71,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
EXPERIENCIA_LABORAL,FORMULARIO_CNED_DESCONOCIDO,71,71,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
FECHA_ADMISION_INICIAL,FORMULARIO_CNED_DESCONOCIDO,71,71,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
FORMATO_VALOR,FORMULARIO_CNED_DESCONOCIDO,71,71,REQUIERE_DECISION_INSTITUCIONAL,FINANZAS_ARANCELES,,No excluir ni completar sin instructivo CNED o decision institucional.
Grado Académico que otorga el programa,FORMULARIO_CNED_DESCONOCIDO,71,71,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
Ingreso Directo,FORMULARIO_CNED_DESCONOCIDO,71,71,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
LICENCIA_ENS_MEDIA,FORMULARIO_CNED_DESCONOCIDO,71,71,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
MAIL_DIFUSION_CARRERA,FORMULARIO_CNED_DESCONOCIDO,71,71,SOLO_TRAZABILIDAD_O_FORMULARIO,INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
MALLA_CURRICULAR,FORMULARIO_CNED_DESCONOCIDO,71,71,REQUIERE_DECISION_INSTITUCIONAL,AREA_ACADEMICA_INSTRUCTIVO_CNED,,No excluir ni completar sin instructivo CNED o decision institucional.
