CAMPO_OFICIAL,EQUIVALENCIAS_BUSCADAS,COLUMNAS_EXISTENTES,COLUMNAS_EQUIVALENTES_LIMPIAS,COLUMNAS_CON_MARCAS,VALORES_LIMPIOS_EJEMPLO,TOTAL_REGISTROS_AFECTADOS,TOTAL_MARCAS,PROPUESTA_RESOLUCION,FUENTE_REQUERIDA,APLICAR_AUTOMATICAMENTE,OBSERVACION
Régimen,REGIMEN | REGIMEN | Régimen,Régimen,,Régimen,"{""Régimen"": [""REVISAR_REGIMEN_CODIGO_1"", ""REVISAR_REGIMEN_CODIGO_2"", ""REVISAR_REGIMEN_MATCH_AMBIGUO"", ""REVISAR_REGIMEN_SIN_FUENTE""]}",71,71,SIN_EQUIVALENCIA_LIMPIA,FUENTE_INSTITUCIONAL,NO,Propuesta de resolucion; no se aplica reemplazo automatico.
VIGENCIA_CARRERA,VIGENCIA | VIGENCIA_CARRERA,VIGENCIA | VIGENCIA_CARRERA,VIGENCIA,VIGENCIA_CARRERA,"{""VIGENCIA"": [""1""], ""VIGENCIA_CARRERA"": [""1""]}",62,62,RESUELTO_POR_EQUIVALENCIA_INTERNA_PROPUESTA,VALIDAR_EQUIVALENCIA_INTERNA,NO,Propuesta de resolucion; no se aplica reemplazo automatico.
ACREDITACION,ACREDITACION | ACREDITACIÓN,ACREDITACION,,ACREDITACION,"{""ACREDITACION"": [""2""]}",11,11,SIN_EQUIVALENCIA_LIMPIA,FUENTE_INSTITUCIONAL,NO,Propuesta de resolucion; no se aplica reemplazo automatico.
ANIO_INICIO,ANIO_INICIO | AÑO_INICIO | ANO_INICIO | Año de inicio de Actividades,ANIO_INICIO | Año de inicio de Actividades,,ANIO_INICIO | Año de inicio de Actividades,"{""ANIO_INICIO"": [""1992"", ""2002"", ""2013"", ""2017"", ""2019"", ""2023"", ""2024"", ""2025"", ""2026""], ""Año de inicio de Actividades"": [""1992"", ""2002"", ""2013"", ""2017"", ""2019"", ""2023"", ""2024"", ""2025"", ""2026""]}",11,11,SIN_EQUIVALENCIA_LIMPIA,FUENTE_INSTITUCIONAL,NO,Propuesta de resolucion; no se aplica reemplazo automatico.
AREA_ACTUAL,AREA_ACTUAL | AREA | ÁREA | Área del Conocimiento,AREA_ACTUAL | Área del Conocimiento,,AREA_ACTUAL | Área del Conocimiento,"{""AREA_ACTUAL"": [""1"", ""10"", ""4"", ""6"", ""7"", ""8"", ""9""], ""Área del Conocimiento"": [""REVISAR_AREA_CODIGO_1"", ""REVISAR_AREA_CODIGO_10"", ""REVISAR_AREA_CODIGO_4"", ""REVISAR_AREA_CODIGO_6"", ""REVISAR_AREA_CODIGO_7"", ""REVISAR_AREA_CODIGO_8"", ""REVISAR_AREA_CODIGO_9"", ""REVISAR_AREA_CONOCIMIENTO_10"", ""REVISAR_AREA_SIN_FUENTE_DIRECTA""]}",11,11,SIN_EQUIVALENCIA_LIMPIA,FUENTE_INSTITUCIONAL,NO,Propuesta de resolucion; no se aplica reemplazo automatico.
DURACION_REGIMEN,DURACION_REGIMEN | DURACIÓN_RÉGIMEN | Duración del programa en Semestres,DURACION_REGIMEN | Duración del programa en Semestres,Duración del programa en Semestres,DURACION_REGIMEN,"{""DURACION_REGIMEN"": [""1"", ""12"", ""2"", ""4"", ""5"", ""6"", ""7""], ""Duración del programa en Semestres"": [""1"", ""2"", ""4"", ""5"", ""6"", ""8""]}",11,11,EQUIVALENCIAS_INTERNAS_CON_VALORES_DISTINTOS,DECISION_MANUAL,NO,Propuesta de resolucion; no se aplica reemplazo automatico.
NOMBRE_TITULO,NOMBRE_TITULO | NOMBRE_TÍTULO | TITULO | TÍTULO | Título que otorga el programa,NOMBRE_TITULO | Título que otorga el programa,,NOMBRE_TITULO | Título que otorga el programa,"{""NOMBRE_TITULO"": [""ADMINISTRADOR PUBLICO"", ""CONTADOR AUDITOR"", ""DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN APS"", ""DIPLOMADO EN ARQUITECTURA CLOUD"", ""DIPLOMADO EN BACKEND"", ""DIPLOMADO EN CIBERSEGURIDAD APLICADA"", ""DIPLOMADO EN DOCENCIA EN EDUCACION SUPERIOR TECNICO PROFESIONAL"", ""DIPLOMADO EN FRONTEND"", ""DIPLOMADO EN FULLSTACK"", ""DIPLOMADO EN GESTION PUBLICA LOCAL"", ""DIPLOMADO EN GOBERNANZA DE DATOS"", ""DIPLOMADO EN HABILIDADES DIRECTIVAS PARA PROFESIONALES STEM"", ""DIPLOMADO EN HUMANIZACION EN SALUD"", ""DIPLOMADO EN INNOVACION PARA LA DOCENCIA"", ""DIPLOMADO EN INTELIGENCIA ARTIFICIAL"", ""DIPLOMADO EN QUALITY ASSURANCE"", ""DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO"", ""DIPLOMADO EN SEGURIDAD OFENSIVA"", ""DIPLOMADO EN SUPPLY CHAIN MANAGEMENT Y MINERIA DE REQUERIMIENTOS"", ""DIPLOMADO INFRAESTRUCTURA CLOUD""], ""Título que otorga el programa"": [""ADMINISTRADOR PUBLICO"", ""CONTADOR AUDITOR"", ""DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN APS"", ""DIPLOMADO EN ARQUITECTUR",11,11,SIN_EQUIVALENCIA_LIMPIA,FUENTE_INSTITUCIONAL,NO,Propuesta de resolucion; no se aplica reemplazo automatico.
REQUISITO_INGRESO,REQUISITO_INGRESO | REQUISITO_DE_INGRESO | TEXTO_REQUISITO_INGRESO,REQUISITO_INGRESO | TEXTO_REQUISITO_INGRESO,,REQUISITO_INGRESO | TEXTO_REQUISITO_INGRESO,"{""REQUISITO_INGRESO"": [""1"", ""2""], ""TEXTO_REQUISITO_INGRESO"": [""REVISAR_TEXTO_REQUISITO_INGRESO_SIN_FUENTE""]}",11,11,SIN_EQUIVALENCIA_LIMPIA,FUENTE_INSTITUCIONAL,NO,Propuesta de resolucion; no se aplica reemplazo automatico.
SEMESTRES_RECONOCIDOS,SEMESTRES_RECONOCIDOS,SEMESTRES_RECONOCIDOS,,SEMESTRES_RECONOCIDOS,"{""SEMESTRES_RECONOCIDOS"": [""0"", ""4"", ""5""]}",11,11,SIN_EQUIVALENCIA_LIMPIA,FUENTE_INSTITUCIONAL,NO,Propuesta de resolucion; no se aplica reemplazo automatico.
REGIMEN,REGIMEN | Régimen,Régimen,,Régimen,"{""Régimen"": [""REVISAR_REGIMEN_CODIGO_1"", ""REVISAR_REGIMEN_CODIGO_2"", ""REVISAR_REGIMEN_MATCH_AMBIGUO"", ""REVISAR_REGIMEN_SIN_FUENTE""]}",11,11,SIN_EQUIVALENCIA_LIMPIA,FUENTE_INSTITUCIONAL,NO,Propuesta de resolucion; no se aplica reemplazo automatico.
