CODCLI	MOTIVO	ANIO	PERIODO	VIG
20261ADMP008	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ADMP010	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ADMP014	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ADMP024	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ADMP030	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ADMP032	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ADMP035	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ADMP042	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ADMP046	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ADMP050	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261ADMP056	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261AUDT001	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261AUDT007	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261AUDT008	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261AUDT010	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261AUDT011	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261AUDT012	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261AUDT013	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261AUDT020	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261AUDT022	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261AUDT032	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261AUDT036	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261AUDT045	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261AUDT052	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261CADMP006	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261CIADM009	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261CICIB004	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
20261CICIB006	CONTROL_VIGENCIA_0_CODCLI	2026	1	0
