ESTADOACADEMICO	SITUACION	VIG_ESPERADO	NOTA
EGRESADO	14 - APRUEBA PROGRAMA EC	2	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	1 - ALUMNO REGULAR	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	10 - ACTUALIZACIÓN DE PLAN DE ESTUDIO 2024	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	100 - TITULACIÓN INTERMEDIA	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	101 - TITULO INTERMEDIO 2	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	11 - RENUNCIA POST INICIO CLASES	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	12 - ELIMINADO MATRICULA SIN FIRMA	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	15 - REPRUEBA PROGRAMA EC	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	2 - SUSPENSIÓN TEMPORAL	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	20 - VIGENTE SIN ACTIVIDAD ACADEMICA	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	23 - RETIRO - RETRACTO	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	24 - CAMBIO DE CARRERA	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	27 - CAMBIO PLAN OTRA JORNADA	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	3 - ELIMINACION AUTOMATICA	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	38 - REINCORPORACION DE ACTIVIDADES	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	41 - RETIRO SIN AVISO	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	49 - CAMBIO DE JORNADA	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	5 - RENUNCIA ENTRE PERIODOS	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	7 - NO RENUEVA MATRICULA	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	8 - ELIMINADO SIN ACTIVIDAD ACADÉMICA	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	9 - RECHAZO ACTUALIZACION DE PLAN 2024	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
ELIMINADO	95 - DEFUNCIÓN	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
SUSPENDIDO	2 - SUSPENSIÓN TEMPORAL	0	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
TITULADO	31 - TITULADO APROBADO	2	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
VIGENTE	1 - ALUMNO REGULAR	1	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
VIGENTE	100 - TITULACIÓN INTERMEDIA	1	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
VIGENTE	20 - VIGENTE SIN ACTIVIDAD ACADEMICA	1	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
VIGENTE	38 - REINCORPORACION DE ACTIVIDADES	1	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
VIGENTE	49 - CAMBIO DE JORNADA	1	Catálogo válido DatosAlumnos. Regla: '2 - SUSPENSIÓN TEMPORAL' => VIG=0.
