ESTADO_ACADEMICO	DESCRIPCION_ESTADO	VIG_ESPERADO	NOTA
EGRESADO	APROBADO	2	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
ELIMINADO	APROBADO	0	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
ELIMINADO	CONVALIDACION	0	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
ELIMINADO	HOMOLOGADO	0	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
ELIMINADO	REPROBADO	0	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
ELIMINADO		0	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
SUSPENDIDO	APROBADO	0	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
SUSPENDIDO	CONVALIDACION	0	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
SUSPENDIDO	HOMOLOGADO	0	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
SUSPENDIDO	REPROBADO	0	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
TITULADO	APROBADO	2	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
TITULADO	CONVALIDACION	2	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
TITULADO	HOMOLOGADO	2	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
TITULADO	REPROBADO	2	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
VIGENTE	APROBADO	1	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
VIGENTE	CONVALIDACION	1	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
VIGENTE	HOMOLOGADO	1	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
VIGENTE	REPROBADO	1	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
VIGENTE		1	Catálogo válido Hoja1. DESCRIPCION_ESTADO vacío = SIN_INFO (no cursada o no registrada).
