COMUNACOLEGIO_NORM	CIUDADCOLEGIO_NORM	PAIS	COD_PAIS_EST_SEC	ORIGEN
ALGARROBO	ALGARROBO	CHILE	38	Tabla negocio PAIS_EST_SEC
ALHUE	VILLA ALHUE	CHILE	38	Tabla negocio PAIS_EST_SEC
ALTO BIOBIO	RALCO	CHILE	38	Tabla negocio PAIS_EST_SEC
ALTO DEL CARMEN	ALTO DEL CARMEN	CHILE	38	Tabla negocio PAIS_EST_SEC
ALTO HOSPICIO	ALTO HOSPICIO	CHILE	38	Tabla negocio PAIS_EST_SEC
ALTO HOSPICIO	IQUIQUE	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
ANCUD	ANCUD	CHILE	38	Tabla negocio PAIS_EST_SEC
ANCUD	CASTRO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
ANDACOLLO	ANDACOLLO	CHILE	38	Tabla negocio PAIS_EST_SEC
ANDACOLLO	LA SERENA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
ANGOL	ANGOL	CHILE	38	Tabla negocio PAIS_EST_SEC
ANTARTICA	VILLA LAS ESTRELLAS	CHILE	38	Tabla negocio PAIS_EST_SEC
ANTARTICA CHILENA	PUERTO COVADONGA	CHILE	38	Tabla negocio PAIS_EST_SEC
ANTOFAGASTA	ANTOFAGASTA	CHILE	38	Tabla negocio PAIS_EST_SEC
ANTUCO	ANTUCO	CHILE	38	Tabla negocio PAIS_EST_SEC
ARAUCO	ARAUCO	CHILE	38	Tabla negocio PAIS_EST_SEC
ARICA	ARICA	CHILE	38	Tabla negocio PAIS_EST_SEC
AYSEN	PUERTO AYSEN	CHILE	38	Tabla negocio PAIS_EST_SEC
BUIN	BUIN	CHILE	38	Tabla negocio PAIS_EST_SEC
BUIN	SAN BERNARDO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
BUIN	SANTIAGO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
BULNES	BULNES	CHILE	38	Tabla negocio PAIS_EST_SEC
BULNES	CHILLAN	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CABILDO	CABILDO	CHILE	38	Tabla negocio PAIS_EST_SEC
CABILDO	LA LIGUA	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CABO DE HORNOS	PUERTO WILLIAMS	CHILE	38	Tabla negocio PAIS_EST_SEC
CABRERO	CABRERO	CHILE	38	Tabla negocio PAIS_EST_SEC
CABRERO	LOS ANGELES	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CALAMA	CALAMA	CHILE	38	Tabla negocio PAIS_EST_SEC
CALBUCO	CALBUCO	CHILE	38	Tabla negocio PAIS_EST_SEC
CALBUCO	PUERTO MONTT	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
CALDERA	CALDERA	CHILE	38	Tabla negocio PAIS_EST_SEC
CALDERA	COPIAPO	CHILE	38	Derivado DatosAlumnos exacto (2026-03-31)
